------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Washington",53000,3.9,106245,"38 of 51"
"United States",00000,4.5,5305440,"N/A"
"Ferry County",53019,0.1,4,"457 of 3140"
"Pend Oreille County",53051,0.2,12,"609 of 3140"
"Asotin County",53003,0.3,25,"727 of 3140"
"Jefferson County",53031,0.3,48,"867 of 3140"
"Wahkiakum County",53069,0.4,7,"941 of 3140"
"Skamania County",53059,0.4,19,"980 of 3140"
"Stevens County",53065,0.4,72,"993 of 3140"
"Lincoln County",53043,0.6,26,"1261 of 3140"
"Garfield County",53023,0.6,6,"1276 of 3140"
"Kitsap County",53035,1.0,989,"1700 of 3140"
"Kittitas County",53037,1.0,185,"1767 of 3140"
"Clallam County",53009,1.1,357,"1810 of 3140"
"Klickitat County",53039,1.2,102,"1913 of 3140"
"San Juan County",53055,1.3,98,"1935 of 3140"
"Island County",53029,1.3,447,"1965 of 3140"
"Lewis County",53041,1.4,423,"2026 of 3140"
"Spokane County",53063,1.4,2799,"2043 of 3140"
"Columbia County",53013,1.5,26,"2067 of 3140"
"Pacific County",53049,1.6,140,"2152 of 3140"
"Cowlitz County",53015,1.7,673,"2190 of 3140"
"Mason County",53045,1.8,406,"2235 of 3140"
"Whatcom County",53073,2.0,1693,"2334 of 3140"
"Grays Harbor County",53027,2.2,626,"2409 of 3140"
"Thurston County",53067,2.2,2386,"2420 of 3140"
"Pierce County",53053,2.8,8727,"2589 of 3140"
"Skagit County",53057,2.8,1329,"2592 of 3140"
"Clark County",53011,2.9,4868,"2618 of 3140"
"Okanogan County",53047,3.2,552,"2675 of 3140"
"Whitman County",53075,3.6,644,"2733 of 3140"
"Snohomish County",53061,3.8,10676,"2746 of 3140"
"Benton County",53005,3.8,2670,"2751 of 3140"
"Chelan County",53007,3.8,1041,"2753 of 3140"
"Walla Walla County",53071,4.2,941,"2788 of 3140"
"King County",53033,5.6,47671,"2894 of 3140"
"Douglas County",53017,6.5,956,"2948 of 3140"
"Yakima County",53077,8.9,7271,"3031 of 3140"
"Grant County",53025,9.1,2786,"3041 of 3140"
"Franklin County",53021,13.2,3422,"3102 of 3140"
"Adams County",53001,19.3,1122,"3127 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
