------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Washington",53000,50.1,3589079,"11 of 52"
"United States",00000,50.8,162985654,"N/A"
"Franklin County",53021,48.0,42741,"352 of 3141"
"Ferry County",53019,48.3,3657,"423 of 3141"
"Grays Harbor County",53027,48.5,34668,"465 of 3141"
"Mason County",53045,48.5,29874,"466 of 3141"
"Walla Walla County",53071,48.7,29170,"514 of 3141"
"Whitman County",53075,48.9,23371,"569 of 3141"
"Kitsap County",53035,49.0,126799,"596 of 3141"
"Lincoln County",53043,49.1,5080,"638 of 3141"
"Pend Oreille County",53051,49.2,6430,"669 of 3141"
"Skamania County",53059,49.3,5664,"690 of 3141"
"Adams County",53001,49.4,9511,"764 of 3141"
"Grant County",53025,49.5,46254,"822 of 3141"
"Okanogan County",53047,49.6,20509,"847 of 3141"
"Kittitas County",53037,49.6,21687,"866 of 3141"
"Garfield County",53023,49.8,1108,"1004 of 3141"
"Douglas County",53017,49.8,20203,"1011 of 3141"
"Snohomish County",53061,49.9,384826,"1080 of 3141"
"Yakima County",53077,49.9,123910,"1124 of 3141"
"Benton County",53005,49.9,95091,"1127 of 3141"
"King County",53033,50.0,1059424,"1213 of 3141"
"Pacific County",53049,50.0,10478,"1231 of 3141"
"Klickitat County",53039,50.1,10600,"1260 of 3141"
"Lewis County",53041,50.2,38128,"1345 of 3141"
"Island County",53029,50.2,40303,"1357 of 3141"
"Stevens County",53065,50.2,22024,"1390 of 3141"
"Pierce County",53053,50.3,425023,"1453 of 3141"
"Chelan County",53007,50.3,37786,"1458 of 3141"
"Spokane County",53063,50.4,247498,"1601 of 3141"
"Clallam County",53009,50.5,37050,"1620 of 3141"
"Whatcom County",53073,50.5,107342,"1631 of 3141"
"Skagit County",53057,50.5,61502,"1707 of 3141"
"Clark County",53011,50.6,231296,"1756 of 3141"
"Cowlitz County",53015,50.7,52511,"1938 of 3141"
"Jefferson County",53031,50.9,15543,"2174 of 3141"
"Thurston County",53067,51.1,137786,"2293 of 3141"
"Columbia County",53013,51.1,2043,"2337 of 3141"
"Wahkiakum County",53069,51.6,2120,"2741 of 3141"
"San Juan County",53055,51.8,8404,"2826 of 3141"
"Asotin County",53003,52.4,11665,"2986 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
