------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"United States",00000,5.5,17756436,"N/A"
"Washington",53000,8.7,624893,"4 of 52"
"Klickitat County",53039,0.7,154,"1410 of 3141"
"Stevens County",53065,0.7,323,"1381 of 3141"
"Douglas County",53017,0.9,366,"1174 of 3141"
"Pend Oreille County",53051,0.9,123,"1135 of 3141"
"Lincoln County",53043,1.0,101,"1100 of 3141"
"Asotin County",53003,1.1,234,"1020 of 3141"
"Yakima County",53077,1.1,2665,"1001 of 3141"
"Okanogan County",53047,1.1,448,"990 of 3141"
"Chelan County",53007,1.1,852,"953 of 3141"
"Grant County",53025,1.2,1088,"926 of 3141"
"Adams County",53001,1.2,228,"912 of 3141"
"Skamania County",53059,1.2,137,"900 of 3141"
"Lewis County",53041,1.4,1087,"753 of 3141"
"San Juan County",53055,1.5,237,"733 of 3141"
"Cowlitz County",53015,1.5,1574,"700 of 3141"
"Clallam County",53009,1.6,1148,"681 of 3141"
"Walla Walla County",53071,1.6,965,"657 of 3141"
"Ferry County",53019,1.7,125,"647 of 3141"
"Wahkiakum County",53069,1.7,71,"619 of 3141"
"Garfield County",53023,1.8,40,"597 of 3141"
"Mason County",53045,1.8,1110,"596 of 3141"
"Grays Harbor County",53027,1.9,1371,"568 of 3141"
"Pacific County",53049,2.0,424,"527 of 3141"
"Skagit County",53057,2.1,2515,"516 of 3141"
"Kittitas County",53037,2.1,918,"509 of 3141"
"Jefferson County",53031,2.1,656,"498 of 3141"
"Franklin County",53021,2.4,2126,"447 of 3141"
"Benton County",53005,2.6,5018,"395 of 3141"
"Spokane County",53063,2.7,13493,"371 of 3141"
"Columbia County",53013,3.2,129,"298 of 3141"
"Whatcom County",53073,4.3,9234,"200 of 3141"
"Island County",53029,4.9,3912,"169 of 3141"
"Clark County",53011,5.2,23899,"152 of 3141"
"Kitsap County",53035,5.6,14604,"134 of 3141"
"Thurston County",53067,6.5,17660,"96 of 3141"
"Pierce County",53053,7.5,63754,"75 of 3141"
"Whitman County",53075,8.1,3868,"65 of 3141"
"Snohomish County",53061,10.5,81098,"45 of 3141"
"King County",53033,17.3,367138,"19 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
