------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Washington",53000,3.8,188200,"24 of 52"
"United States",00000,5.4,11759554,"N/A"
"Garfield County",53023,0.9,14,"29 of 3141"
"San Juan County",53055,1.1,141,"52 of 3141"
"Whitman County",53075,1.1,259,"58 of 3141"
"Jefferson County",53031,1.4,341,"102 of 3141"
"Island County",53029,1.4,829,"112 of 3141"
"Asotin County",53003,1.5,239,"140 of 3141"
"Kitsap County",53035,1.7,3012,"205 of 3141"
"Spokane County",53063,1.9,6186,"266 of 3141"
"Clallam County",53009,1.9,1066,"286 of 3141"
"Thurston County",53067,2.1,3973,"384 of 3141"
"Wahkiakum County",53069,2.3,72,"479 of 3141"
"Clark County",53011,2.4,7446,"537 of 3141"
"Ferry County",53019,2.5,137,"552 of 3141"
"Stevens County",53065,2.5,769,"554 of 3141"
"Kittitas County",53037,2.6,673,"605 of 3141"
"Skamania County",53059,2.6,217,"614 of 3141"
"Pend Oreille County",53051,2.7,263,"689 of 3141"
"Whatcom County",53073,2.7,3825,"727 of 3141"
"Snohomish County",53061,2.8,15018,"785 of 3141"
"Pierce County",53053,2.9,16065,"796 of 3141"
"Lincoln County",53043,2.9,218,"829 of 3141"
"Cowlitz County",53015,3.4,2418,"1110 of 3141"
"King County",53033,3.4,51011,"1122 of 3141"
"Columbia County",53013,3.7,114,"1307 of 3141"
"Grays Harbor County",53027,4.1,2105,"1496 of 3141"
"Mason County",53045,4.2,1893,"1530 of 3141"
"Lewis County",53041,4.3,2294,"1569 of 3141"
"Skagit County",53057,4.7,3957,"1742 of 3141"
"Benton County",53005,5.3,6565,"1975 of 3141"
"Pacific County",53049,5.5,885,"2020 of 3141"
"Klickitat County",53039,5.6,856,"2050 of 3141"
"Walla Walla County",53071,6.1,2400,"2240 of 3141"
"Okanogan County",53047,8.6,2477,"2733 of 3141"
"Chelan County",53007,9.1,4613,"2784 of 3141"
"Douglas County",53017,9.4,2484,"2810 of 3141"
"Grant County",53025,15.0,8404,"3060 of 3141"
"Yakima County",53077,16.0,23965,"3072 of 3141"
"Franklin County",53021,16.7,8531,"3083 of 3141"
"Adams County",53001,23.3,2465,"3129 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
