------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,57652.000000000,"N/A"
"Washington",53000,66174.000000000,"11 of 52"
"Pacific County",53049,39895.000000000,"2478 of 3141"
"Ferry County",53019,41081.000000000,"2369 of 3141"
"Whitman County",53075,41574.000000000,"2294 of 3141"
"Okanogan County",53047,42598.000000000,"2181 of 3141"
"Grays Harbor County",53027,45483.000000000,"1874 of 3141"
"Columbia County",53013,46250.000000000,"1781 of 3141"
"Lewis County",53041,46387.000000000,"1760 of 3141"
"Stevens County",53065,47272.000000000,"1655 of 3141"
"Yakima County",53077,47470.000000000,"1629 of 3141"
"Asotin County",53003,47483.000000000,"1628 of 3141"
"Clallam County",53009,48002.000000000,"1576 of 3141"
"Adams County",53001,48131.000000000,"1565 of 3141"
"Pend Oreille County",53051,49184.000000000,"1449 of 3141"
"Lincoln County",53043,49460.000000000,"1424 of 3141"
"Wahkiakum County",53069,49508.000000000,"1420 of 3141"
"Cowlitz County",53015,49804.000000000,"1381 of 3141"
"Klickitat County",53039,51258.000000000,"1203 of 3141"
"Garfield County",53023,51399.000000000,"1191 of 3141"
"Jefferson County",53031,51842.000000000,"1136 of 3141"
"Spokane County",53063,52159.000000000,"1102 of 3141"
"Grant County",53025,52382.000000000,"1076 of 3141"
"Walla Walla County",53071,52630.000000000,"1048 of 3141"
"Mason County",53045,53087.000000000,"1008 of 3141"
"Kittitas County",53037,53163.000000000,"1005 of 3141"
"Skamania County",53059,53606.000000000,"971 of 3141"
"Chelan County",53007,54975.000000000,"842 of 3141"
"Douglas County",53017,55805.000000000,"782 of 3141"
"Whatcom County",53073,56419.000000000,"732 of 3141"
"Skagit County",53057,59263.000000000,"562 of 3141"
"San Juan County",53055,60271.000000000,"510 of 3141"
"Franklin County",53021,60275.000000000,"508 of 3141"
"Island County",53029,61516.000000000,"445 of 3141"
"Benton County",53005,63001.000000000,"376 of 3141"
"Pierce County",53053,63881.000000000,"350 of 3141"
"Thurston County",53067,66113.000000000,"286 of 3141"
"Clark County",53011,67832.000000000,"251 of 3141"
"Kitsap County",53035,68336.000000000,"241 of 3141"
"Snohomish County",53061,78020.000000000,"125 of 3141"
"King County",53033,83571.000000000,"77 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
