------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Washington",53000,49.9,3580888,"42 of 52"
"Asotin County",53003,47.6,10594,"156 of 3141"
"San Juan County",53055,48.2,7817,"316 of 3141"
"Wahkiakum County",53069,48.4,1985,"401 of 3141"
"Columbia County",53013,48.9,1956,"805 of 3141"
"Thurston County",53067,48.9,132099,"848 of 3141"
"Jefferson County",53031,49.1,14981,"968 of 3141"
"Cowlitz County",53015,49.3,51079,"1203 of 3141"
"Clark County",53011,49.4,226178,"1386 of 3141"
"Skagit County",53057,49.5,60223,"1435 of 3141"
"Whatcom County",53073,49.5,105396,"1511 of 3141"
"Clallam County",53009,49.6,36389,"1521 of 3141"
"Spokane County",53063,49.6,243266,"1541 of 3141"
"Chelan County",53007,49.7,37352,"1684 of 3141"
"Pierce County",53053,49.7,420170,"1689 of 3141"
"Stevens County",53065,49.8,21834,"1752 of 3141"
"Island County",53029,49.8,40020,"1784 of 3141"
"Lewis County",53041,49.8,37884,"1797 of 3141"
"Klickitat County",53039,49.9,10572,"1881 of 3141"
"Pacific County",53049,50.0,10462,"1911 of 3141"
"King County",53033,50.0,1058695,"1929 of 3141"
"Benton County",53005,50.1,95438,"2015 of 3141"
"Yakima County",53077,50.1,124369,"2018 of 3141"
"Snohomish County",53061,50.1,387078,"2062 of 3141"
"Douglas County",53017,50.2,20382,"2131 of 3141"
"Garfield County",53023,50.2,1118,"2138 of 3141"
"Kittitas County",53037,50.4,22039,"2276 of 3141"
"Okanogan County",53047,50.4,20868,"2295 of 3141"
"Grant County",53025,50.5,47166,"2320 of 3141"
"Adams County",53001,50.6,9750,"2377 of 3141"
"Skamania County",53059,50.7,5834,"2452 of 3141"
"Pend Oreille County",53051,50.8,6636,"2473 of 3141"
"Lincoln County",53043,50.9,5264,"2504 of 3141"
"Kitsap County",53035,51.0,132104,"2546 of 3141"
"Whitman County",53075,51.1,24423,"2573 of 3141"
"Walla Walla County",53071,51.3,30692,"2628 of 3141"
"Mason County",53045,51.5,31695,"2676 of 3141"
"Grays Harbor County",53027,51.5,36786,"2677 of 3141"
"Ferry County",53019,51.7,3911,"2719 of 3141"
"Franklin County",53021,52.0,46383,"2790 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
