------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Washington",53000,6.0,218821,"22 of 52"
"United States",00000,6.6,10560305,"N/A"
"Douglas County",53017,3.9,739,"584 of 3141"
"San Juan County",53055,4.0,322,"638 of 3141"
"Lincoln County",53043,4.2,181,"690 of 3141"
"Klickitat County",53039,5.0,432,"1036 of 3141"
"King County",53033,5.0,60066,"1048 of 3141"
"Kittitas County",53037,5.3,1174,"1191 of 3141"
"Snohomish County",53061,5.4,22239,"1235 of 3141"
"Kitsap County",53035,5.7,6710,"1352 of 3141"
"Chelan County",53007,5.8,2082,"1414 of 3141"
"Franklin County",53021,5.8,2377,"1419 of 3141"
"Adams County",53001,5.9,488,"1502 of 3141"
"Benton County",53005,6.0,5424,"1532 of 3141"
"Walla Walla County",53071,6.0,1691,"1543 of 3141"
"Skamania County",53059,6.2,327,"1651 of 3141"
"Clark County",53011,6.2,14228,"1665 of 3141"
"Wahkiakum County",53069,6.3,81,"1672 of 3141"
"Spokane County",53063,6.3,14794,"1674 of 3141"
"Pacific County",53049,6.4,474,"1752 of 3141"
"Skagit County",53057,6.4,3722,"1757 of 3141"
"Asotin County",53003,6.7,703,"1905 of 3141"
"Island County",53029,6.7,2319,"1920 of 3141"
"Stevens County",53065,6.7,1192,"1923 of 3141"
"Okanogan County",53047,6.7,1209,"1930 of 3141"
"Whatcom County",53073,6.8,7470,"1960 of 3141"
"Pierce County",53053,6.9,28410,"2005 of 3141"
"Grant County",53025,6.9,2945,"2033 of 3141"
"Garfield County",53023,7.2,72,"2101 of 3141"
"Yakima County",53077,7.5,8413,"2230 of 3141"
"Jefferson County",53031,7.5,914,"2233 of 3141"
"Thurston County",53067,7.7,10197,"2303 of 3141"
"Columbia County",53013,7.9,139,"2378 of 3141"
"Pend Oreille County",53051,8.0,381,"2416 of 3141"
"Mason County",53045,8.3,2081,"2506 of 3141"
"Cowlitz County",53015,8.4,3895,"2538 of 3141"
"Whitman County",53075,8.5,2057,"2557 of 3141"
"Lewis County",53041,8.8,2871,"2625 of 3141"
"Clallam County",53009,8.8,2710,"2634 of 3141"
"Ferry County",53019,9.5,259,"2769 of 3141"
"Grays Harbor County",53027,10.1,3033,"2866 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
