------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Washington",53000,3.2,89123,"12 of 52"
"United States",00000,3.3,3975282,"N/A"
"Garfield County",53023,0.6,6,"2944 of 3141"
"Jefferson County",53031,0.8,109,"2823 of 3141"
"Whitman County",53075,1.2,204,"2432 of 3141"
"Island County",53029,1.4,470,"2161 of 3141"
"Pacific County",53049,1.5,134,"1996 of 3141"
"Lincoln County",53043,1.6,69,"1957 of 3141"
"Asotin County",53003,1.8,162,"1753 of 3141"
"Spokane County",53063,1.8,3452,"1739 of 3141"
"Kittitas County",53037,1.8,317,"1717 of 3141"
"Kitsap County",53035,1.8,1827,"1686 of 3141"
"Thurston County",53067,1.9,2069,"1550 of 3141"
"Skamania County",53059,2.0,93,"1528 of 3141"
"Wahkiakum County",53069,2.0,36,"1524 of 3141"
"Clallam County",53009,2.0,658,"1460 of 3141"
"Cowlitz County",53015,2.3,920,"1235 of 3141"
"Columbia County",53013,2.3,40,"1224 of 3141"
"Stevens County",53065,2.3,399,"1223 of 3141"
"Grays Harbor County",53027,2.4,662,"1148 of 3141"
"Pierce County",53053,2.8,8697,"834 of 3141"
"Clark County",53011,2.8,4696,"825 of 3141"
"Snohomish County",53061,2.9,8266,"781 of 3141"
"Whatcom County",53073,2.9,2426,"779 of 3141"
"Walla Walla County",53071,3.1,696,"680 of 3141"
"Mason County",53045,3.1,723,"664 of 3141"
"Lewis County",53041,3.3,990,"598 of 3141"
"San Juan County",53055,3.3,258,"573 of 3141"
"King County",53033,3.5,29762,"524 of 3141"
"Chelan County",53007,3.5,959,"522 of 3141"
"Ferry County",53019,3.6,109,"497 of 3141"
"Pend Oreille County",53051,3.7,208,"464 of 3141"
"Benton County",53005,3.7,2632,"445 of 3141"
"Klickitat County",53039,4.1,341,"348 of 3141"
"Okanogan County",53047,4.8,819,"243 of 3141"
"Skagit County",53057,5.5,2586,"189 of 3141"
"Grant County",53025,6.6,2011,"121 of 3141"
"Douglas County",53017,7.1,1044,"102 of 3141"
"Yakima County",53077,8.3,6800,"75 of 3141"
"Franklin County",53021,10.5,2713,"35 of 3141"
"Adams County",53001,13.0,760,"18 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
