------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"United States",00000,0.7,2074097,"N/A"
"Washington",53000,0.9,60815,"46 of 51"
"Columbia County",53013,0.0,0,"1 of 3140"
"Ferry County",53019,0.0,0,"1 of 3140"
"Klickitat County",53039,0.1,24,"1019 of 3140"
"Pend Oreille County",53051,0.1,15,"1035 of 3140"
"Asotin County",53003,0.2,35,"1315 of 3140"
"Grays Harbor County",53027,0.2,116,"1362 of 3140"
"Pacific County",53049,0.2,36,"1420 of 3140"
"Lincoln County",53043,0.2,22,"1645 of 3140"
"Cowlitz County",53015,0.2,220,"1648 of 3140"
"Lewis County",53041,0.3,196,"1855 of 3140"
"Skamania County",53059,0.3,30,"1867 of 3140"
"San Juan County",53055,0.3,49,"2029 of 3140"
"Okanogan County",53047,0.3,127,"2048 of 3140"
"Yakima County",53077,0.3,814,"2125 of 3140"
"Jefferson County",53031,0.3,106,"2181 of 3140"
"Douglas County",53017,0.4,166,"2343 of 3140"
"Spokane County",53063,0.4,2079,"2368 of 3140"
"Clallam County",53009,0.4,315,"2377 of 3140"
"Benton County",53005,0.5,848,"2417 of 3140"
"Stevens County",53065,0.5,198,"2421 of 3140"
"Walla Walla County",53071,0.5,271,"2426 of 3140"
"Clark County",53011,0.5,2069,"2429 of 3140"
"Island County",53029,0.5,373,"2454 of 3140"
"Franklin County",53021,0.5,416,"2462 of 3140"
"Chelan County",53007,0.5,384,"2532 of 3140"
"Skagit County",53057,0.5,644,"2569 of 3140"
"Whatcom County",53073,0.5,1126,"2575 of 3140"
"Mason County",53045,0.5,333,"2593 of 3140"
"Wahkiakum County",53069,0.6,25,"2676 of 3140"
"Snohomish County",53061,0.6,4944,"2725 of 3140"
"Pierce County",53053,0.7,5657,"2752 of 3140"
"Kitsap County",53035,0.7,1749,"2762 of 3140"
"Adams County",53001,0.8,155,"2868 of 3140"
"Kittitas County",53037,0.8,357,"2875 of 3140"
"Thurston County",53067,0.9,2523,"2940 of 3140"
"Grant County",53025,1.0,895,"2951 of 3140"
"Garfield County",53023,1.3,28,"3027 of 3140"
"King County",53033,1.5,32429,"3064 of 3140"
"Whitman County",53075,2.2,1041,"3105 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
