industry_code,industry_detail,industry_region,ACID,ENRG,ETOX,EUTR,FOOD,GCC,HAPS,HAZW,HC,HNC,HRSP,HTOX,JOBS,LAND,METL,MINE,MSW,NREN,OZON,PEST,REN,SMOG,VADD,WATR,Related 2012 NAICS Codes,relavant_naics_codes
1111a0,"fresh soybeans, canola, flaxseeds, and other oilseeds",us-ga,0.00699104876315687,0.0,27.141609053612957,0.00808440468250227,2.13339521041e-05,0.549897799062953,9.931176753098176e-05,4.77319086176524e-08,1.73558288880606e-10,3.817596743740842e-09,0.019943987499629362,3.991539292113314e-09,7.069589206,5.718573834684897,5.481033775672299e-09,0.0,8.287707258242138e-05,0.0,5.229164198901e-06,0.000379878559929193,0.0,0.04880913581125436,0.471063635757,0.00960760683237,11111-2,"[11111, 11112]"
1111a0,"fresh soybeans, canola, flaxseeds, and other oilseeds",rous,0.0031874990274191398,0.0,25.802976462763272,0.011001796877525847,2.43335826914e-05,0.5461633235432249,0.0001133437325680066,5.4567935459863404e-08,1.0146629288114053e-10,4.43551760194894e-09,0.008105628428949846,4.5372241366038925e-09,7.069589206,4.5431659973649685,3.767787850423e-09,0.0,9.452988780829628e-05,0.0,7.41878538e-06,0.00038368258929904835,0.0,0.023410956797932675,0.471063635757,0.002854528282571,11111-2,"[11111, 11112]"
1111b0,"fresh wheat, corn, rice, and other grains",us-ga,0.023198291813770897,0.0,9.711578982860988,0.033350184556363544,0.000130262128629,1.7033817901529342,0.0001312245514877589,2.8870571578921e-07,4.5783880779503124e-10,3.0134693970299242e-09,0.012099012890953555,3.471838507379088e-09,44.81156254,19.995883997009358,8.166104125877995e-07,0.0,0.000506035817295309,0.0,5.7129252840777456e-06,0.0005697598783408543,0.0,0.05935939265210318,-0.0025480308449,0.461626436404,"11113-6, 11119","[11113, 11114, 11115, 11116, 11119]"
1111b0,"fresh wheat, corn, rice, and other grains",rous,0.01981043384732048,0.0,10.625057581425699,0.03241921272128209,0.000145041714244,1.934153484992168,0.00015423197952165862,3.2146236493163e-07,4.779293508804578e-10,3.6119840197216027e-09,0.009824759999681201,4.090452313637901e-09,44.81156254,21.58712157874016,1.0429568245924376e-06,0.0,0.0005634508139995419,0.0,7.526492371320382e-06,0.000636316038450327,0.0,0.05522196740805175,-0.0025480308449,0.460966406298,"11113-6, 11119","[11113, 11114, 11115, 11116, 11119]"
111200,"fresh vegetables, melons, and potatoes",us-ga,0.0056373121374123395,0.0023395652991,22.179051577656523,0.005695207527138564,0.000999542543362,0.354327616368516,0.0003491953979259831,2.2153303379881e-06,1.0107771633283029e-10,6.792944484671659e-09,0.0013483003371987472,6.880438633356887e-09,111.5264856,3.6983585730901356,2.3903399129372705e-06,0.0,0.0038829729958737937,0.0,1.2418487431713e-05,0.0009512580874636114,0.0023395652991,0.01731705388346351,0.604596512593,0.451799029059,1112,[1112]
111200,"fresh vegetables, melons, and potatoes",rous,0.00702036904558314,0.00331921740767,23.05662498772131,0.006349657936320418,0.00107567114563,0.443356530404818,0.0003689914424616371,2.3840575255525e-06,1.2617796575416003e-10,7.2705480326828755e-09,0.0016502447468540841,7.383759500195436e-09,111.5264856,3.7498493760390197,2.037979222959365e-06,0.0,0.004178713591193341,0.0,1.4960040112146002e-05,0.0011415785640751714,0.00331921740767,0.02169264587548864,0.604596512593,0.6064998688100001,1112,[1112]
111300,fresh fruits and tree nuts,us-ga,0.003150103653619476,0.0,13.99523927946263,0.0003055704877572341,0.00133037770369,0.23540703697591012,9.095915867792083e-05,3.120520827185343e-06,1.2832662398528376e-10,2.5554193999634887e-09,0.0010336331323984123,2.6838980383804434e-09,235.3827634,4.685397366896611,1.0300739526562097e-05,0.0,0.005168184918245596,0.0,6.172101546040422e-06,0.00020912375442324008,0.0,0.016047527904488258,0.605345443063,0.403343734918,1113,[1113]
111300,fresh fruits and tree nuts,rous,0.0035932900647399125,0.0,16.644541288784637,0.000269610310568418,0.00157389925871,0.2852156862485971,0.00012337127829687924,3.7322477580403224e-06,1.680273793277144e-10,3.5300898783364683e-09,0.0011457910761241844,3.698423896684445e-09,235.3827634,4.187667507568719,1.3005086452485368e-05,0.0,0.006114205303604378,0.0,8.756561272900887e-06,0.0002599452363745533,0.0,0.018208508582167857,0.605345443063,0.45803417300000004,1113,[1113]
111400,"greenhouse crops, mushrooms, nurseries, and flowers",us-ga,0.0007797551883279777,3.631624606614e-06,0.006250945593168888,9.668708902358086e-05,0.00181227414147,0.6572740213361508,9.637975270742167e-05,4.476893098598475e-06,2.0328561066865743e-10,2.178015529721085e-09,0.00011157716469961066,2.3817542598096673e-09,233.881588776,1.584028780810925,1.8583722455476834e-08,0.0,0.007077607721116738,0.0,5.236234156738447e-06,4.605271137211048e-05,3.631624606614e-06,0.03209911010228542,0.534020185355,0.056251253221200004,1114,[1114]
111400,"greenhouse crops, mushrooms, nurseries, and flowers",rous,0.0009575965273108385,5.152303984431e-06,0.008797839729170732,0.00011831875826211613,0.00197777898364,0.6353347016422205,0.0001308321832996361,4.839134248089043e-06,2.569366405121358e-10,3.0446922994906326e-09,0.00013855073302370647,3.3022042705455387e-09,233.881588776,1.7051255284742628,2.5320353793875804e-08,0.0,0.007716136356783827,0.0,7.428815759198812e-06,6.533647995010956e-05,5.152303984431e-06,0.037934544575813904,0.534020185355,0.045507093681800004,1114,[1114]
