------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=26&areatype=county&cancer=040&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'cancer': '040', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=26&areatype=county&cancer=040&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Michigan by County

"Pancreas, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Michigan",26000,***,11.9 ,11.7, 12.2,1465,stable,0.1 ,-0.6, 0.8
"United States",00000,***,11 ,10.9, 11,40517,rising,0.3 ,0.2, 0.3
"Roscommon County",26143,***,21.3 ,14.9, 30.2,10,stable,2.0 ,-0.1, 4.2
"Iosco County",26069,***,17.2 ,12, 24.6,8,stable,1.9 ,-0.5, 4.3
"Alcona County",26001,***,16.9 ,10, 30.6,4,*,*,*,*
"Wexford County",26165,***,15.9 ,11, 22.5,7,*,*,*,*
"Delta County",26041,***,15.4 ,11.3, 20.9,9,rising,10.1 ,3.7, 16.9
"Manistee County",26101,***,15.3 ,10.2, 22.5,6,*,*,*,*
"Genesee County",26049,***,14.9 ,13.4, 16.5,77,rising,0.9 ,0.1, 1.6
"Ogemaw County",26129,***,14.6 ,9.3, 22.4,5,stable,1.1 ,-1.1, 3.3
"Tuscola County",26157,***,14.4 ,10.9, 18.9,11,stable,1.5 ,-0.8, 3.8
"Sanilac County",26151,***,14.3 ,10.4, 19.3,9,rising,2.2 ,0.2, 4.3
"Emmet County",26047,***,14.2 ,9.9, 20,7,stable,21.6 ,0.0, 47.9
"Menominee County",26109,***,14.1 ,9.3, 21.2,6,stable,0.5 ,-1.6, 2.5
"Osceola County",26133,***,14.1 ,9.1, 21.3,5,*,*,*,*
"Kalkaska County",26079,***,14.1 ,8.3, 23,4,*,*,*,*
"Berrien County",26021,***,14 ,11.8, 16.4,31,rising,2.4 ,0.7, 4.2
"Dickinson County",26043,***,13.9 ,9.1, 20.8,6,*,*,*,*
"Gratiot County",26057,***,13.9 ,9.7, 19.4,7,rising,12.5 ,1.5, 24.7
"Huron County",26063,***,13.8 ,9.9, 19.3,8,stable,0.6 ,-1.2, 2.5
"Branch County",26023,***,13.6 ,9.5, 19.1,7,stable,1.7 ,-0.6, 4.1
"Jackson County",26075,***,13.6 ,11.4, 16.2,27,rising,2.9 ,1.2, 4.6
"Mecosta County",26107,***,13.3 ,9.3, 18.8,7,*,*,*,*
"Leelanau County",26089,***,13.2 ,8.8, 20.2,6,*,*,*,*
"Lenawee County",26091,***,12.9 ,10.2, 16.1,17,rising,1.9 ,0.2, 3.6
"Alpena County",26007,***,12.8 ,8.7, 18.7,6,stable,1.2 ,-1.0, 3.4
"Muskegon County",26121,***,12.8 ,10.7, 15.3,26,stable,0.8 ,-0.2, 1.8
