------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"Michigan",26000,13.8,1374515,"16 of 52"
"Montmorency County",26119,0.2,22,"2823 of 3141"
"Delta County",26041,0.3,96,"2797 of 3141"
"Roscommon County",26143,0.3,68,"2786 of 3141"
"Ontonagon County",26131,0.3,19,"2746 of 3141"
"Alcona County",26001,0.3,33,"2738 of 3141"
"Ogemaw County",26129,0.3,68,"2724 of 3141"
"Menominee County",26109,0.3,77,"2718 of 3141"
"Antrim County",26009,0.3,77,"2706 of 3141"
"Benzie County",26019,0.3,60,"2701 of 3141"
"Gladwin County",26051,0.4,90,"2695 of 3141"
"Charlevoix County",26029,0.4,101,"2666 of 3141"
"Shiawassee County",26155,0.4,269,"2662 of 3141"
"Huron County",26063,0.4,127,"2648 of 3141"
"Otsego County",26137,0.4,106,"2611 of 3141"
"Missaukee County",26113,0.5,68,"2590 of 3141"
"Leelanau County",26089,0.5,104,"2547 of 3141"
"Arenac County",26011,0.5,79,"2506 of 3141"
"Presque Isle County",26141,0.5,68,"2495 of 3141"
"Barry County",26015,0.5,317,"2491 of 3141"
"Clare County",26035,0.5,168,"2468 of 3141"
"Livingston County",26093,0.6,1035,"2463 of 3141"
"Emmet County",26047,0.6,188,"2449 of 3141"
"Oscoda County",26135,0.6,48,"2436 of 3141"
"Alpena County",26007,0.6,170,"2419 of 3141"
"Dickinson County",26043,0.6,153,"2411 of 3141"
"Sanilac County",26151,0.6,249,"2403 of 3141"
"Schoolcraft County",26153,0.6,49,"2400 of 3141"
"Iosco County",26069,0.7,171,"2311 of 3141"
"Crawford County",26039,0.7,94,"2305 of 3141"
"Kalkaska County",26079,0.7,122,"2280 of 3141"
"Wexford County",26165,0.7,236,"2263 of 3141"
"Hillsdale County",26059,0.8,346,"2238 of 3141"
"Houghton County",26061,0.8,279,"2228 of 3141"
"Cheboygan County",26031,0.8,196,"2227 of 3141"
"Iron County",26071,0.8,89,"2210 of 3141"
"Mason County",26105,0.9,273,"2078 of 3141"
"Osceola County",26133,1.0,228,"2048 of 3141"
"Grand Traverse County",26055,1.2,1061,"1954 of 3141"
"Tuscola County",26157,1.2,641,"1938 of 3141"
"Oceana County",26127,1.2,327,"1921 of 3141"
"Lapeer County",26087,1.3,1110,"1912 of 3141"
"Newaygo County",26123,1.3,628,"1895 of 3141"
"Allegan County",26005,1.4,1593,"1846 of 3141"
"Ottawa County",26139,1.4,4019,"1833 of 3141"
"Midland County",26111,1.5,1220,"1819 of 3141"
"Keweenaw County",26083,1.6,35,"1743 of 3141"
"Marquette County",26103,1.6,1103,"1739 of 3141"
"Bay County",26017,1.7,1753,"1732 of 3141"
"Clinton County",26037,1.7,1288,"1729 of 3141"
"Montcalm County",26117,2.0,1284,"1618 of 3141"
"St. Clair County",26147,2.1,3321,"1609 of 3141"
"Monroe County",26115,2.3,3442,"1555 of 3141"
"Mackinac County",26097,2.4,258,"1540 of 3141"
"Branch County",26023,2.4,1045,"1531 of 3141"
"St. Joseph County",26149,2.5,1538,"1503 of 3141"
"Mecosta County",26107,2.5,1098,"1495 of 3141"
"Isabella County",26073,2.6,1816,"1487 of 3141"
"Lenawee County",26091,2.7,2649,"1469 of 3141"
"Manistee County",26101,2.9,697,"1435 of 3141"
"Van Buren County",26159,3.3,2447,"1366 of 3141"
"Gogebic County",26053,4.3,671,"1214 of 3141"
"Cass County",26027,4.8,2490,"1161 of 3141"
"Ionia County",26067,5.0,3187,"1142 of 3141"
"Gratiot County",26057,5.8,2388,"1062 of 3141"
"Chippewa County",26033,6.6,2493,"994 of 3141"
"Eaton County",26045,6.7,7243,"987 of 3141"
"Luce County",26095,6.9,440,"969 of 3141"
"Alger County",26003,7.2,665,"948 of 3141"
"Lake County",26085,7.6,885,"921 of 3141"
"Jackson County",26075,8.3,13207,"885 of 3141"
"Kent County",26081,9.7,61686,"808 of 3141"
"Calhoun County",26025,10.8,14476,"764 of 3141"
"Kalamazoo County",26077,10.9,28322,"761 of 3141"
"Macomb County",26099,11.0,95399,"752 of 3141"
"Ingham County",26065,11.1,31888,"747 of 3141"
"Washtenaw County",26161,11.9,42966,"709 of 3141"
"Muskegon County",26121,13.6,23426,"654 of 3141"
"Oakland County",26125,13.7,170390,"647 of 3141"
"Berrien County",26021,14.7,22829,"619 of 3141"
"Baraga County",26013,16.0,1374,"591 of 3141"
"Saginaw County",26145,18.5,35902,"534 of 3141"
"Genesee County",26049,20.0,82289,"495 of 3141"
"Wayne County",26163,39.1,689583,"199 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
