------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"United States",00000,14.9,47732389,"N/A"
"Michigan",26000,15.9,1575233,"19 of 52"
"Isabella County",26073,11.4,8028,"2967 of 3141"
"Ingham County",26065,12.4,35475,"2852 of 3141"
"Washtenaw County",26161,12.5,45102,"2845 of 3141"
"Kent County",26081,12.5,79797,"2832 of 3141"
"Ionia County",26067,13.5,8670,"2679 of 3141"
"Ottawa County",26139,13.7,38532,"2646 of 3141"
"Kalamazoo County",26077,13.8,35923,"2629 of 3141"
"Wayne County",26163,14.4,253640,"2520 of 3141"
"Allegan County",26005,15.2,17311,"2336 of 3141"
"Livingston County",26093,15.2,28440,"2324 of 3141"
"Muskegon County",26121,15.5,26768,"2252 of 3141"
"Oakland County",26125,15.5,192477,"2252 of 3141"
"Clinton County",26037,15.5,11987,"2249 of 3141"
"Macomb County",26099,15.9,137311,"2135 of 3141"
"Genesee County",26049,16.1,66191,"2068 of 3141"
"Jackson County",26075,16.2,25827,"2026 of 3141"
"Montcalm County",26117,16.3,10236,"2018 of 3141"
"Monroe County",26115,16.3,24345,"2010 of 3141"
"Houghton County",26061,16.3,5914,"2008 of 3141"
"Gratiot County",26057,16.3,6734,"1997 of 3141"
"Lapeer County",26087,16.4,14480,"1969 of 3141"
"Van Buren County",26159,16.5,12397,"1946 of 3141"
"Calhoun County",26025,16.6,22244,"1914 of 3141"
"Chippewa County",26033,16.7,6342,"1875 of 3141"
"St. Joseph County",26149,16.7,10189,"1862 of 3141"
"Eaton County",26045,16.9,18358,"1805 of 3141"
"Shiawassee County",26155,16.9,11608,"1798 of 3141"
"Midland County",26111,16.9,14137,"1794 of 3141"
"Marquette County",26103,17.2,11536,"1720 of 3141"
"St. Clair County",26147,17.2,27482,"1710 of 3141"
"Branch County",26023,17.2,7492,"1706 of 3141"
"Lenawee County",26091,17.3,17040,"1683 of 3141"
"Mecosta County",26107,17.3,7485,"1663 of 3141"
"Barry County",26015,17.4,10353,"1651 of 3141"
"Saginaw County",26145,17.7,34251,"1548 of 3141"
"Grand Traverse County",26055,17.8,16202,"1517 of 3141"
"Wexford County",26165,17.8,5875,"1481 of 3141"
"Hillsdale County",26059,18.0,8244,"1457 of 3141"
"Newaygo County",26123,18.0,8636,"1437 of 3141"
"Berrien County",26021,18.4,28504,"1328 of 3141"
"Bay County",26017,18.8,19757,"1216 of 3141"
"Tuscola County",26157,18.8,10085,"1187 of 3141"
"Cass County",26027,19.4,9959,"1016 of 3141"
"Kalkaska County",26079,19.4,3368,"1010 of 3141"
"Missaukee County",26113,19.5,2925,"982 of 3141"
"Osceola County",26133,19.7,4568,"951 of 3141"
"Otsego County",26137,19.7,4778,"939 of 3141"
"Oceana County",26127,19.8,5207,"920 of 3141"
"Baraga County",26013,20.0,1712,"883 of 3141"
"Sanilac County",26151,20.0,8292,"878 of 3141"
"Emmet County",26047,20.2,6651,"818 of 3141"
"Luce County",26095,20.5,1315,"734 of 3141"
"Dickinson County",26043,21.1,5418,"627 of 3141"
"Mason County",26105,21.7,6256,"524 of 3141"
"Delta County",26041,22.0,8011,"493 of 3141"
"Alpena County",26007,22.0,6326,"490 of 3141"
"Menominee County",26109,22.2,5196,"462 of 3141"
"Charlevoix County",26029,22.2,5815,"456 of 3141"
"Clare County",26035,22.5,6874,"434 of 3141"
"Arenac County",26011,23.2,3537,"362 of 3141"
"Alger County",26003,23.6,2182,"333 of 3141"
"Huron County",26063,23.8,7565,"311 of 3141"
"Manistee County",26101,23.8,5826,"309 of 3141"
"Crawford County",26039,24.0,3316,"297 of 3141"
"Gogebic County",26053,24.2,3762,"278 of 3141"
"Ogemaw County",26129,24.3,5105,"263 of 3141"
"Benzie County",26019,24.4,4269,"253 of 3141"
"Schoolcraft County",26153,24.7,2001,"236 of 3141"
"Cheboygan County",26031,25.3,6439,"197 of 3141"
"Gladwin County",26051,25.4,6431,"191 of 3141"
"Antrim County",26009,25.7,5938,"177 of 3141"
"Mackinac County",26097,25.8,2792,"170 of 3141"
"Oscoda County",26135,26.2,2177,"144 of 3141"
"Lake County",26085,26.8,3127,"120 of 3141"
"Leelanau County",26089,27.9,6023,"80 of 3141"
"Iosco County",26069,28.4,7201,"69 of 3141"
"Iron County",26071,28.9,3262,"57 of 3141"
"Presque Isle County",26141,29.3,3767,"52 of 3141"
"Montmorency County",26119,30.1,2793,"42 of 3141"
"Roscommon County",26143,30.5,7301,"37 of 3141"
"Keweenaw County",26083,31.3,669,"30 of 3141"
"Ontonagon County",26131,33.3,2022,"19 of 3141"
"Alcona County",26001,35.1,3652,"10 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
