------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Michigan",26000,33.7,3348320,"42 of 52"
"Isabella County",26073,25.1,17681,"47 of 3141"
"Houghton County",26061,26.9,9791,"120 of 3141"
"Ingham County",26065,28.1,80496,"198 of 3141"
"Mecosta County",26107,29.3,12634,"304 of 3141"
"Kalamazoo County",26077,29.5,76710,"328 of 3141"
"Washtenaw County",26161,29.6,106898,"332 of 3141"
"Ottawa County",26139,30.3,84987,"454 of 3141"
"Kent County",26081,31.1,197792,"618 of 3141"
"Marquette County",26103,32.0,21453,"887 of 3141"
"St. Joseph County",26149,32.6,19844,"1146 of 3141"
"Gratiot County",26057,32.8,13559,"1246 of 3141"
"Oceana County",26127,32.9,8649,"1274 of 3141"
"Chippewa County",26033,33.0,12538,"1325 of 3141"
"Wayne County",26163,33.1,584394,"1395 of 3141"
"Saginaw County",26145,33.2,64329,"1428 of 3141"
"Calhoun County",26025,33.4,44800,"1499 of 3141"
"Muskegon County",26121,33.6,58026,"1633 of 3141"
"Baraga County",26013,33.6,2885,"1658 of 3141"
"Berrien County",26021,33.7,52213,"1705 of 3141"
"Genesee County",26049,34.0,139643,"1864 of 3141"
"Wexford County",26165,34.0,11201,"1887 of 3141"
"Branch County",26023,34.0,14822,"1893 of 3141"
"Missaukee County",26113,34.1,5115,"1943 of 3141"
"Eaton County",26045,34.2,37135,"1971 of 3141"
"Osceola County",26133,34.2,7947,"1979 of 3141"
"Montcalm County",26117,34.3,21603,"2023 of 3141"
