------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Michigan",26000,24.5,2373732,"33 of 52"
"Livingston County",26093,10.7,19861,"59 of 3141"
"Oakland County",26125,14.5,178655,"206 of 3141"
"Clinton County",26037,15.2,11654,"249 of 3141"
"Leelanau County",26089,15.3,3267,"255 of 3141"
"Ottawa County",26139,16.8,45280,"363 of 3141"
"Grand Traverse County",26055,17.7,15749,"461 of 3141"
"Eaton County",26045,18.5,19737,"543 of 3141"
"Benzie County",26019,18.7,3221,"577 of 3141"
"Barry County",26015,18.8,11010,"588 of 3141"
"Allegan County",26005,18.8,21280,"594 of 3141"
"Midland County",26111,19.0,15591,"611 of 3141"
"Monroe County",26115,19.0,28126,"612 of 3141"
"Macomb County",26099,19.9,170213,"728 of 3141"
"Lapeer County",26087,19.9,17216,"731 of 3141"
"Charlevoix County",26029,20.5,5279,"811 of 3141"
"Emmet County",26047,20.6,6651,"824 of 3141"
"Washtenaw County",26161,20.6,70505,"830 of 3141"
"Cass County",26027,21.0,10703,"882 of 3141"
"St. Clair County",26147,21.8,34435,"982 of 3141"
"Kent County",26081,22.3,139805,"1053 of 3141"
"Shiawassee County",26155,22.8,15439,"1123 of 3141"
"Lenawee County",26091,23.4,21811,"1196 of 3141"
"Ionia County",26067,23.4,14074,"1202 of 3141"
"Manistee County",26101,23.4,5418,"1204 of 3141"
"Antrim County",26009,23.5,5348,"1212 of 3141"
"Alger County",26003,23.8,1961,"1252 of 3141"
"Huron County",26063,23.9,7470,"1264 of 3141"
"Menominee County",26109,24.3,5592,"1334 of 3141"
"Jackson County",26075,24.6,36596,"1375 of 3141"
"Marquette County",26103,24.6,15405,"1377 of 3141"
"Otsego County",26137,25.1,5985,"1452 of 3141"
"Bay County",26017,25.3,26323,"1488 of 3141"
"Baraga County",26013,25.7,1699,"1541 of 3141"
"Kalamazoo County",26077,25.8,64665,"1549 of 3141"
"St. Joseph County",26149,25.9,15509,"1575 of 3141"
"Alpena County",26007,26.0,7303,"1586 of 3141"
"Sanilac County",26151,26.2,10754,"1609 of 3141"
"Presque Isle County",26141,26.4,3343,"1627 of 3141"
"Montmorency County",26119,26.5,2431,"1670 of 3141"
"Branch County",26023,26.6,10898,"1678 of 3141"
"Mackinac County",26097,26.7,2857,"1690 of 3141"
"Tuscola County",26157,26.7,13965,"1695 of 3141"
"Alcona County",26001,26.8,2746,"1705 of 3141"
"Hillsdale County",26059,26.9,11891,"1719 of 3141"
"Dickinson County",26043,27.0,6821,"1731 of 3141"
"Cheboygan County",26031,27.2,6832,"1762 of 3141"
"Keweenaw County",26083,27.2,578,"1768 of 3141"
"Delta County",26041,27.6,9906,"1819 of 3141"
"Crawford County",26039,27.6,3745,"1829 of 3141"
"Mason County",26105,27.8,7880,"1852 of 3141"
"Calhoun County",26025,27.8,36314,"1859 of 3141"
"Iron County",26071,27.9,3054,"1868 of 3141"
"Missaukee County",26113,28.2,4169,"1898 of 3141"
"Berrien County",26021,28.2,42509,"1903 of 3141"
"Newaygo County",26123,28.2,13317,"1906 of 3141"
"Iosco County",26069,28.3,7023,"1921 of 3141"
"Van Buren County",26159,28.4,21048,"1931 of 3141"
"Montcalm County",26117,28.5,17111,"1945 of 3141"
"Saginaw County",26145,28.5,53433,"1949 of 3141"
"Chippewa County",26033,28.5,9651,"1955 of 3141"
"Kalkaska County",26079,29.1,5005,"2031 of 3141"
"Muskegon County",26121,29.2,48339,"2036 of 3141"
"Oscoda County",26135,29.2,2404,"2046 of 3141"
"Ingham County",26065,29.5,78882,"2076 of 3141"
"Ontonagon County",26131,29.6,1781,"2091 of 3141"
"Arenac County",26011,30.2,4529,"2160 of 3141"
"Genesee County",26049,30.3,123109,"2182 of 3141"
"Luce County",26095,30.6,1643,"2211 of 3141"
"Schoolcraft County",26153,31.1,2478,"2261 of 3141"
"Ogemaw County",26129,31.2,6425,"2286 of 3141"
