------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Michigan",26000,3.8,373100,"42 of 51"
"Ontonagon County",26131,1.0,62,"53 of 3140"
"Iron County",26071,1.1,118,"55 of 3140"
"Dickinson County",26043,1.7,441,"228 of 3140"
"Berrien County",26021,1.8,2815,"261 of 3140"
"Wayne County",26163,2.0,34797,"334 of 3140"
"Delta County",26041,2.5,907,"625 of 3140"
"Genesee County",26049,2.5,10225,"631 of 3140"
"Menominee County",26109,2.5,588,"651 of 3140"
"Monroe County",26115,2.6,3894,"721 of 3140"
"St. Joseph County",26149,2.7,1626,"771 of 3140"
"Huron County",26063,2.8,886,"858 of 3140"
"Hillsdale County",26059,3.1,1418,"1066 of 3140"
"Cass County",26027,3.1,1599,"1077 of 3140"
"Gogebic County",26053,3.2,490,"1097 of 3140"
"Bay County",26017,3.2,3311,"1108 of 3140"
"Midland County",26111,3.2,2626,"1113 of 3140"
"Saginaw County",26145,3.4,6459,"1239 of 3140"
"Shiawassee County",26155,3.4,2296,"1246 of 3140"
"Calhoun County",26025,3.4,4560,"1287 of 3140"
"Schoolcraft County",26153,3.4,278,"1297 of 3140"
"St. Clair County",26147,3.5,5461,"1306 of 3140"
"Oakland County",26125,3.5,42512,"1320 of 3140"
"Kent County",26081,3.5,22101,"1363 of 3140"
"Van Buren County",26159,3.5,2622,"1367 of 3140"
"Macomb County",26099,3.5,30277,"1381 of 3140"
"Branch County",26023,3.6,1536,"1409 of 3140"
"Alpena County",26007,3.6,1034,"1447 of 3140"
"Allegan County",26005,3.8,4262,"1555 of 3140"
"Presque Isle County",26141,3.8,487,"1581 of 3140"
"Emmet County",26047,3.8,1248,"1596 of 3140"
"Livingston County",26093,3.9,7136,"1614 of 3140"
"Sanilac County",26151,3.9,1610,"1654 of 3140"
"Barry County",26015,3.9,2312,"1663 of 3140"
"Benzie County",26019,4.0,685,"1683 of 3140"
"Mackinac County",26097,4.1,438,"1745 of 3140"
"Keweenaw County",26083,4.2,88,"1797 of 3140"
"Lenawee County",26091,4.2,4091,"1813 of 3140"
"Gladwin County",26051,4.2,1052,"1818 of 3140"
"Tuscola County",26157,4.3,2282,"1877 of 3140"
"Muskegon County",26121,4.3,7383,"1881 of 3140"
"Osceola County",26133,4.4,1002,"1904 of 3140"
"Newaygo County",26123,4.4,2072,"1914 of 3140"
"Jackson County",26075,4.4,6901,"1919 of 3140"
"Cheboygan County",26031,4.4,1117,"1936 of 3140"
"Marquette County",26103,4.4,2950,"1950 of 3140"
"Montmorency County",26119,4.5,417,"1996 of 3140"
"Alcona County",26001,4.6,475,"2035 of 3140"
"Grand Traverse County",26055,4.7,4202,"2068 of 3140"
"Lapeer County",26087,4.7,4131,"2121 of 3140"
"Oceana County",26127,4.8,1239,"2137 of 3140"
"Manistee County",26101,4.8,1160,"2146 of 3140"
"Mason County",26105,4.9,1384,"2179 of 3140"
"Leelanau County",26089,4.9,1037,"2194 of 3140"
"Arenac County",26011,5.0,749,"2235 of 3140"
"Oscoda County",26135,5.0,408,"2247 of 3140"
"Houghton County",26061,5.0,1800,"2259 of 3140"
"Charlevoix County",26029,5.0,1296,"2260 of 3140"
"Iosco County",26069,5.0,1267,"2273 of 3140"
"Ogemaw County",26129,5.1,1053,"2288 of 3140"
"Antrim County",26009,5.2,1188,"2341 of 3140"
"Roscommon County",26143,5.2,1231,"2345 of 3140"
"Missaukee County",26113,5.2,770,"2350 of 3140"
"Kalamazoo County",26077,5.4,13760,"2421 of 3140"
"Wexford County",26165,5.4,1741,"2425 of 3140"
"Montcalm County",26117,5.4,3382,"2457 of 3140"
"Clare County",26035,5.5,1678,"2500 of 3140"
"Chippewa County",26033,5.6,2084,"2505 of 3140"
"Baraga County",26013,5.6,477,"2516 of 3140"
"Washtenaw County",26161,5.6,20198,"2529 of 3140"
"Ionia County",26067,5.6,3567,"2531 of 3140"
"Clinton County",26037,5.6,4307,"2532 of 3140"
"Otsego County",26137,5.7,1362,"2543 of 3140"
"Crawford County",26039,5.7,777,"2544 of 3140"
"Ottawa County",26139,5.8,15978,"2584 of 3140"
"Gratiot County",26057,5.8,2372,"2586 of 3140"
"Lake County",26085,6.2,713,"2667 of 3140"
"Kalkaska County",26079,6.5,1112,"2740 of 3140"
"Eaton County",26045,7.2,7674,"2854 of 3140"
"Luce County",26095,7.7,494,"2927 of 3140"
"Ingham County",26065,8.3,23616,"2976 of 3140"
"Mecosta County",26107,8.5,3656,"2995 of 3140"
"Alger County",26003,9.0,833,"3027 of 3140"
"Isabella County",26073,10.7,7457,"3082 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
