------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Michigan",26000,78.7,7813199,"25 of 52"
"Wayne County",26163,53.2,937802,"2919 of 3141"
"Chippewa County",26033,71.2,27057,"2530 of 3141"
"Baraga County",26013,73.5,6307,"2463 of 3141"
"Washtenaw County",26161,73.9,267225,"2450 of 3141"
"Mackinac County",26097,74.7,8090,"2429 of 3141"
"Genesee County",26049,74.9,307679,"2416 of 3141"
"Ingham County",26065,75.0,214632,"2410 of 3141"
"Saginaw County",26145,75.1,145477,"2407 of 3141"
"Oakland County",26125,75.6,939218,"2393 of 3141"
"Berrien County",26021,78.4,121542,"2281 of 3141"
"Luce County",26095,79.6,5098,"2236 of 3141"
"Kent County",26081,80.3,511125,"2203 of 3141"
"Muskegon County",26121,80.7,139308,"2185 of 3141"
"Kalamazoo County",26077,81.4,211533,"2150 of 3141"
"Macomb County",26099,82.1,709260,"2123 of 3141"
"Calhoun County",26025,82.2,110351,"2118 of 3141"
"Alger County",26003,85.2,7882,"1966 of 3141"
"Van Buren County",26159,86.4,64989,"1882 of 3141"
"Eaton County",26045,86.8,94216,"1857 of 3141"
"Schoolcraft County",26153,86.8,7042,"1855 of 3141"
"Lake County",26085,86.9,10137,"1848 of 3141"
"Jackson County",26075,87.5,139047,"1808 of 3141"
"Isabella County",26073,88.5,62422,"1697 of 3141"
"Cass County",26027,88.8,45641,"1664 of 3141"
"Ottawa County",26139,90.0,252213,"1559 of 3141"
"Gogebic County",26053,90.4,14075,"1525 of 3141"
"St. Joseph County",26149,90.9,55338,"1468 of 3141"
"Gratiot County",26057,91.3,37711,"1421 of 3141"
"Ionia County",26067,91.4,58653,"1401 of 3141"
"Manistee County",26101,91.4,22343,"1399 of 3141"
"Emmet County",26047,92.4,30480,"1266 of 3141"
"Lenawee County",26091,92.7,91353,"1235 of 3141"
"Leelanau County",26089,92.9,20030,"1205 of 3141"
"Newaygo County",26123,93.1,44583,"1177 of 3141"
"Cheboygan County",26031,93.2,23731,"1162 of 3141"
"Mecosta County",26107,93.2,40256,"1147 of 3141"
"Marquette County",26103,93.3,62655,"1128 of 3141"
"Houghton County",26061,93.4,33948,"1110 of 3141"
"Midland County",26111,93.5,78044,"1107 of 3141"
"St. Clair County",26147,93.6,149488,"1089 of 3141"
"Clinton County",26037,93.7,72481,"1054 of 3141"
"Delta County",26041,93.9,34166,"1037 of 3141"
"Branch County",26023,93.9,40880,"1036 of 3141"
"Menominee County",26109,94.3,22067,"960 of 3141"
"Allegan County",26005,94.4,107713,"957 of 3141"
"Montcalm County",26117,94.5,59497,"926 of 3141"
"Monroe County",26115,94.5,141412,"922 of 3141"
"Bay County",26017,94.5,99587,"919 of 3141"
"Oceana County",26127,94.7,24923,"884 of 3141"
"Grand Traverse County",26055,94.7,86419,"873 of 3141"
"Charlevoix County",26029,95.1,24873,"813 of 3141"
"Mason County",26105,95.5,27500,"738 of 3141"
"Lapeer County",26087,95.6,84327,"708 of 3141"
"Ontonagon County",26131,95.8,5818,"656 of 3141"
"Iron County",26071,95.8,10822,"646 of 3141"
"Benzie County",26019,95.9,16741,"639 of 3141"
"Otsego County",26137,95.9,23261,"620 of 3141"
"Antrim County",26009,96.0,22215,"596 of 3141"
"Wexford County",26165,96.0,31609,"595 of 3141"
"Crawford County",26039,96.0,13274,"593 of 3141"
"Iosco County",26069,96.1,24328,"583 of 3141"
"Kalkaska County",26079,96.2,16690,"568 of 3141"
"Barry County",26015,96.2,57362,"543 of 3141"
"Arenac County",26011,96.2,14665,"542 of 3141"
"Osceola County",26133,96.4,22376,"511 of 3141"
"Livingston County",26093,96.4,180154,"506 of 3141"
"Clare County",26035,96.4,29496,"500 of 3141"
"Ogemaw County",26129,96.5,20252,"471 of 3141"
"Tuscola County",26157,96.5,51718,"467 of 3141"
"Dickinson County",26043,96.6,24811,"460 of 3141"
"Oscoda County",26135,96.6,8019,"457 of 3141"
"Missaukee County",26113,96.6,14470,"450 of 3141"
"Presque Isle County",26141,96.7,12426,"419 of 3141"
"Sanilac County",26151,96.7,40179,"401 of 3141"
"Shiawassee County",26155,96.8,66409,"387 of 3141"
"Alpena County",26007,96.8,27816,"376 of 3141"
"Roscommon County",26143,96.9,23182,"363 of 3141"
"Montmorency County",26119,96.9,9005,"345 of 3141"
"Hillsdale County",26059,97.0,44512,"339 of 3141"
"Alcona County",26001,97.2,10119,"276 of 3141"
"Gladwin County",26051,97.3,24648,"234 of 3141"
"Huron County",26063,97.3,30903,"233 of 3141"
"Keweenaw County",26083,98.0,2093,"94 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
