------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Michigan",26000,28.1,2793494,"7 of 52"
"United States",00000,29.8,95565066,"N/A"
"Ontonagon County",26131,14.9,907,"14 of 3141"
"Alcona County",26001,15.3,1591,"17 of 3141"
"Montmorency County",26119,15.9,1479,"24 of 3141"
"Presque Isle County",26141,17.2,2217,"44 of 3141"
"Keweenaw County",26083,17.4,371,"49 of 3141"
"Roscommon County",26143,17.6,4217,"60 of 3141"
"Iron County",26071,18.0,2033,"76 of 3141"
"Oscoda County",26135,18.5,1538,"98 of 3141"
"Schoolcraft County",26153,18.6,1506,"101 of 3141"
"Leelanau County",26089,18.9,4083,"114 of 3141"
"Iosco County",26069,19.3,4877,"133 of 3141"
"Crawford County",26039,19.3,2666,"135 of 3141"
"Antrim County",26009,19.3,4471,"141 of 3141"
"Lake County",26085,19.6,2288,"159 of 3141"
"Mackinac County",26097,20.0,2167,"183 of 3141"
"Benzie County",26019,20.4,3555,"219 of 3141"
"Cheboygan County",26031,20.6,5249,"242 of 3141"
"Gladwin County",26051,20.6,5223,"244 of 3141"
"Ogemaw County",26129,20.7,4352,"256 of 3141"
"Charlevoix County",26029,20.8,5441,"262 of 3141"
"Huron County",26063,21.1,6710,"313 of 3141"
"Menominee County",26109,21.3,4987,"331 of 3141"
"Arenac County",26011,21.5,3281,"357 of 3141"
"Delta County",26041,21.9,7964,"418 of 3141"
"Clare County",26035,22.2,6778,"470 of 3141"
"Manistee County",26101,22.4,5464,"521 of 3141"
"Cass County",26027,22.6,11620,"582 of 3141"
"Dickinson County",26043,22.7,5841,"612 of 3141"
"Sanilac County",26151,22.8,9470,"631 of 3141"
"Alpena County",26007,22.9,6571,"650 of 3141"
"Osceola County",26133,22.9,5321,"666 of 3141"
"Mason County",26105,23.0,6629,"697 of 3141"
"Otsego County",26137,23.1,5602,"723 of 3141"
"Missaukee County",26113,23.1,3465,"729 of 3141"
"Kalkaska County",26079,23.5,4080,"825 of 3141"
"Emmet County",26047,23.5,7754,"830 of 3141"
"Livingston County",26093,23.7,44399,"897 of 3141"
"Lapeer County",26087,23.8,20952,"898 of 3141"
"Tuscola County",26157,23.8,12750,"911 of 3141"
"Van Buren County",26159,24.1,18128,"1014 of 3141"
"Newaygo County",26123,24.2,11571,"1024 of 3141"
"Oceana County",26127,24.2,6360,"1028 of 3141"
"Barry County",26015,24.4,14547,"1088 of 3141"
"Wexford County",26165,24.7,8116,"1171 of 3141"
"St. Clair County",26147,24.7,39480,"1197 of 3141"
"Alger County",26003,25.0,2309,"1300 of 3141"
"Gogebic County",26053,25.0,3891,"1307 of 3141"
"Monroe County",26115,25.0,37447,"1327 of 3141"
"Hillsdale County",26059,25.2,11571,"1384 of 3141"
"Branch County",26023,25.3,11028,"1423 of 3141"
"Allegan County",26005,25.6,29206,"1517 of 3141"
"Berrien County",26021,25.6,39696,"1535 of 3141"
"St. Joseph County",26149,25.7,15636,"1555 of 3141"
"Bay County",26017,25.8,27202,"1600 of 3141"
"Shiawassee County",26155,26.0,17826,"1649 of 3141"
"Midland County",26111,26.3,21992,"1760 of 3141"
"Montcalm County",26117,26.5,16689,"1815 of 3141"
