------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Michigan",26000,1.5,147481,"3 of 51"
"United States",00000,2.3,7354769,"N/A"
"Arenac County",26011,0.4,53,"104 of 3140"
"Gladwin County",26051,0.5,125,"177 of 3140"
"Huron County",26063,0.6,187,"242 of 3140"
"Ogemaw County",26129,0.7,140,"305 of 3140"
"Allegan County",26005,0.7,782,"329 of 3140"
"Luce County",26095,0.8,48,"372 of 3140"
"Wexford County",26165,0.8,256,"412 of 3140"
"Macomb County",26099,0.8,6760,"418 of 3140"
"Lapeer County",26087,0.8,709,"436 of 3140"
"Sanilac County",26151,0.8,335,"440 of 3140"
"Ionia County",26067,0.8,524,"453 of 3140"
"Gratiot County",26057,0.9,349,"471 of 3140"
"Livingston County",26093,0.9,1626,"505 of 3140"
"Crawford County",26039,0.9,122,"525 of 3140"
"Mecosta County",26107,0.9,382,"526 of 3140"
"Bay County",26017,0.9,935,"530 of 3140"
"Barry County",26015,0.9,536,"549 of 3140"
"Alpena County",26007,1.0,271,"593 of 3140"
"Saginaw County",26145,1.0,1874,"620 of 3140"
"Otsego County",26137,1.0,235,"625 of 3140"
"Muskegon County",26121,1.0,1685,"632 of 3140"
"Oscoda County",26135,1.0,81,"634 of 3140"
"Jackson County",26075,1.1,1721,"759 of 3140"
"Tuscola County",26157,1.1,582,"763 of 3140"
"Genesee County",26049,1.1,4517,"783 of 3140"
"Shiawassee County",26155,1.1,760,"793 of 3140"
"Mackinac County",26097,1.1,123,"815 of 3140"
"Wayne County",26163,1.2,20026,"828 of 3140"
"Montcalm County",26117,1.2,717,"829 of 3140"
"Presque Isle County",26141,1.2,150,"857 of 3140"
"Keweenaw County",26083,1.2,25,"872 of 3140"
"Ontonagon County",26131,1.3,76,"958 of 3140"
"Lake County",26085,1.3,146,"964 of 3140"
"Eaton County",26045,1.3,1414,"1034 of 3140"
"Charlevoix County",26029,1.3,345,"1046 of 3140"
"Clinton County",26037,1.4,1047,"1095 of 3140"
"Delta County",26041,1.4,501,"1116 of 3140"
"St. Clair County",26147,1.4,2205,"1127 of 3140"
"Mason County",26105,1.4,401,"1145 of 3140"
"Calhoun County",26025,1.4,1867,"1147 of 3140"
"Antrim County",26009,1.4,323,"1150 of 3140"
"Missaukee County",26113,1.4,212,"1180 of 3140"
"Oakland County",26125,1.4,17593,"1181 of 3140"
"Van Buren County",26159,1.4,1067,"1187 of 3140"
"Kalkaska County",26079,1.4,247,"1191 of 3140"
"Osceola County",26133,1.4,333,"1196 of 3140"
"Schoolcraft County",26153,1.4,117,"1197 of 3140"
"Lenawee County",26091,1.5,1418,"1198 of 3140"
