------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Michigan",26000,7.4,361624,"43 of 52"
"Allegan County",26005,3.6,1996,"476 of 3141"
"Clinton County",26037,4.3,1686,"749 of 3141"
"Ottawa County",26139,4.4,6636,"793 of 3141"
"Livingston County",26093,4.6,4604,"883 of 3141"
"Branch County",26023,4.6,919,"888 of 3141"
"Oakland County",26125,5.3,35571,"1207 of 3141"
"St. Joseph County",26149,5.3,1560,"1208 of 3141"
"Grand Traverse County",26055,5.4,2586,"1233 of 3141"
"Washtenaw County",26161,5.4,10479,"1234 of 3141"
"Kent County",26081,5.4,18363,"1239 of 3141"
"Keweenaw County",26083,5.5,50,"1295 of 3141"
"Iron County",26071,5.7,264,"1373 of 3141"
"Huron County",26063,5.8,861,"1412 of 3141"
"Eaton County",26045,5.8,3256,"1453 of 3141"
"Monroe County",26115,5.9,4337,"1492 of 3141"
"Lenawee County",26091,5.9,2801,"1512 of 3141"
"Menominee County",26109,6.0,673,"1518 of 3141"
"Baraga County",26013,6.0,158,"1535 of 3141"
"Dickinson County",26043,6.0,715,"1555 of 3141"
"Emmet County",26047,6.1,1046,"1572 of 3141"
"Antrim County",26009,6.1,635,"1598 of 3141"
"Hillsdale County",26059,6.1,1261,"1604 of 3141"
"Charlevoix County",26029,6.2,782,"1624 of 3141"
"Barry County",26015,6.2,1833,"1627 of 3141"
"Ionia County",26067,6.2,1851,"1646 of 3141"
"Marquette County",26103,6.3,1989,"1683 of 3141"
"Leelanau County",26089,6.3,658,"1717 of 3141"
"Otsego County",26137,6.4,740,"1730 of 3141"
"Alpena County",26007,6.4,868,"1751 of 3141"
"Benzie County",26019,6.5,531,"1790 of 3141"
"Delta County",26041,6.5,1105,"1830 of 3141"
"Macomb County",26099,6.6,29059,"1846 of 3141"
"Van Buren County",26159,6.6,2352,"1852 of 3141"
"Kalamazoo County",26077,6.6,9062,"1855 of 3141"
"Gogebic County",26053,6.7,428,"1911 of 3141"
"Houghton County",26061,6.8,1114,"1972 of 3141"
"Alger County",26003,6.9,236,"2032 of 3141"
"Missaukee County",26113,7.0,468,"2056 of 3141"
"Montcalm County",26117,7.0,1946,"2059 of 3141"
"Midland County",26111,7.0,2874,"2069 of 3141"
"Shiawassee County",26155,7.1,2360,"2088 of 3141"
"Wexford County",26165,7.2,1070,"2108 of 3141"
"Osceola County",26133,7.2,699,"2122 of 3141"
"Berrien County",26021,7.3,5576,"2161 of 3141"
"Lapeer County",26087,7.4,3084,"2184 of 3141"
"Tuscola County",26157,7.4,1841,"2195 of 3141"
"Gladwin County",26051,7.4,714,"2205 of 3141"
"Gratiot County",26057,7.4,1223,"2206 of 3141"
"Calhoun County",26025,7.4,4680,"2213 of 3141"
"Bay County",26017,7.4,3718,"2215 of 3141"
"St. Clair County",26147,7.6,5923,"2258 of 3141"
"Mason County",26105,7.6,1019,"2268 of 3141"
"Jackson County",26075,7.6,5569,"2285 of 3141"
"Newaygo County",26123,7.7,1612,"2328 of 3141"
"Oceana County",26127,7.7,898,"2337 of 3141"
"Sanilac County",26151,7.7,1481,"2339 of 3141"
"Cass County",26027,7.8,1965,"2351 of 3141"
"Manistee County",26101,8.0,817,"2431 of 3141"
"Ingham County",26065,8.1,12143,"2454 of 3141"
"Saginaw County",26145,8.2,7356,"2482 of 3141"
"Isabella County",26073,8.4,3110,"2542 of 3141"
"Kalkaska County",26079,8.7,663,"2605 of 3141"
"Mecosta County",26107,8.7,1744,"2617 of 3141"
"Muskegon County",26121,8.9,7179,"2654 of 3141"
