------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Michigan",26000,1.7,67974,"19 of 51"
"United States",00000,4.5,5305440,"N/A"
"Luce County",26095,0.0,0,"1 of 3140"
"Montmorency County",26119,0.0,1,"302 of 3140"
"Otsego County",26137,0.0,4,"318 of 3140"
"Delta County",26041,0.0,7,"324 of 3140"
"Alger County",26003,0.1,2,"351 of 3140"
"Keweenaw County",26083,0.1,1,"404 of 3140"
"Kalkaska County",26079,0.1,8,"423 of 3140"
"Cheboygan County",26031,0.1,13,"424 of 3140"
"Huron County",26063,0.1,16,"426 of 3140"
"Crawford County",26039,0.1,9,"489 of 3140"
"Arenac County",26011,0.2,10,"492 of 3140"
"Mecosta County",26107,0.2,24,"499 of 3140"
"Benzie County",26019,0.2,11,"515 of 3140"
"Roscommon County",26143,0.2,18,"523 of 3140"
"Lake County",26085,0.2,9,"583 of 3140"
"Ogemaw County",26129,0.2,20,"614 of 3140"
"Newaygo County",26123,0.2,42,"636 of 3140"
"Gladwin County",26051,0.2,26,"660 of 3140"
"Ontonagon County",26131,0.2,7,"662 of 3140"
"Dickinson County",26043,0.2,27,"668 of 3140"
"Mason County",26105,0.2,30,"681 of 3140"
"Antrim County",26009,0.3,25,"704 of 3140"
"Midland County",26111,0.3,92,"727 of 3140"
"Schoolcraft County",26153,0.3,9,"736 of 3140"
"Emmet County",26047,0.3,41,"751 of 3140"
"Chippewa County",26033,0.3,40,"758 of 3140"
"Hillsdale County",26059,0.3,52,"765 of 3140"
"Charlevoix County",26029,0.3,33,"770 of 3140"
"Tuscola County",26157,0.3,64,"775 of 3140"
"Alpena County",26007,0.3,38,"780 of 3140"
"Gratiot County",26057,0.3,44,"784 of 3140"
"Shiawassee County",26155,0.3,84,"791 of 3140"
"Leelanau County",26089,0.3,29,"819 of 3140"
"Monroe County",26115,0.3,193,"836 of 3140"
"Iron County",26071,0.3,18,"856 of 3140"
"St. Clair County",26147,0.3,221,"862 of 3140"
"Livingston County",26093,0.4,251,"893 of 3140"
"Cass County",26027,0.4,74,"895 of 3140"
