------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Michigan",26000,2.9,291890,"24 of 52"
"United States",00000,5.5,17756436,"N/A"
"Montmorency County",26119,0.0,3,"2894 of 3141"
"Keweenaw County",26083,0.1,2,"2793 of 3141"
"Alger County",26003,0.1,10,"2757 of 3141"
"Roscommon County",26143,0.2,44,"2614 of 3141"
"Ontonagon County",26131,0.2,12,"2586 of 3141"
"Oscoda County",26135,0.2,17,"2568 of 3141"
"Lake County",26085,0.2,26,"2537 of 3141"
"Missaukee County",26113,0.2,37,"2496 of 3141"
"Oceana County",26127,0.3,66,"2487 of 3141"
"Luce County",26095,0.3,17,"2463 of 3141"
"Antrim County",26009,0.3,72,"2364 of 3141"
"Osceola County",26133,0.3,75,"2339 of 3141"
"Tuscola County",26157,0.3,178,"2321 of 3141"
"Lenawee County",26091,0.3,333,"2305 of 3141"
"Newaygo County",26123,0.3,164,"2291 of 3141"
"Clare County",26035,0.3,105,"2289 of 3141"
"Gogebic County",26053,0.3,54,"2281 of 3141"
"Schoolcraft County",26153,0.4,29,"2266 of 3141"
"Hillsdale County",26059,0.4,170,"2226 of 3141"
"Gratiot County",26057,0.4,156,"2210 of 3141"
"Ionia County",26067,0.4,248,"2189 of 3141"
"Arenac County",26011,0.4,59,"2183 of 3141"
"Sanilac County",26151,0.4,168,"2140 of 3141"
"Delta County",26041,0.4,148,"2135 of 3141"
"Cheboygan County",26031,0.4,104,"2134 of 3141"
"Presque Isle County",26141,0.4,54,"2098 of 3141"
"Kalkaska County",26079,0.4,73,"2096 of 3141"
"Menominee County",26109,0.4,99,"2091 of 3141"
"Alcona County",26001,0.5,47,"2007 of 3141"
"Iron County",26071,0.5,52,"1986 of 3141"
"Benzie County",26019,0.5,82,"1970 of 3141"
"Shiawassee County",26155,0.5,329,"1936 of 3141"
"Gladwin County",26051,0.5,122,"1926 of 3141"
"Mason County",26105,0.5,139,"1923 of 3141"
"Otsego County",26137,0.5,119,"1905 of 3141"
"Charlevoix County",26029,0.5,130,"1888 of 3141"
"Lapeer County",26087,0.5,456,"1841 of 3141"
"Montcalm County",26117,0.5,329,"1827 of 3141"
"Baraga County",26013,0.5,45,"1824 of 3141"
"Manistee County",26101,0.5,129,"1817 of 3141"
"Barry County",26015,0.5,316,"1811 of 3141"
"Muskegon County",26121,0.5,930,"1788 of 3141"
"Branch County",26023,0.6,246,"1734 of 3141"
"Bay County",26017,0.6,597,"1730 of 3141"
"Dickinson County",26043,0.6,147,"1719 of 3141"
"Allegan County",26005,0.6,656,"1715 of 3141"
"St. Joseph County",26149,0.6,356,"1695 of 3141"
"Alpena County",26007,0.6,170,"1682 of 3141"
"Mackinac County",26097,0.6,65,"1668 of 3141"
"Ogemaw County",26129,0.6,127,"1653 of 3141"
"Iosco County",26069,0.6,154,"1650 of 3141"
"Huron County",26063,0.6,195,"1637 of 3141"
"Monroe County",26115,0.6,956,"1576 of 3141"
"Emmet County",26047,0.7,226,"1499 of 3141"
"Crawford County",26039,0.7,95,"1496 of 3141"
"Van Buren County",26159,0.7,523,"1476 of 3141"
"St. Clair County",26147,0.7,1122,"1461 of 3141"
