------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Michigan",26000,85.4,8378979,"22 of 51"
"Isabella County",26073,72.2,50510,"3114 of 3140"
"Ingham County",26065,74.6,211165,"3094 of 3140"
"Washtenaw County",26161,76.5,274063,"3061 of 3140"
"Kalamazoo County",26077,79.0,203098,"2994 of 3140"
"Houghton County",26061,81.2,29226,"2835 of 3140"
"Mecosta County",26107,82.1,35109,"2749 of 3140"
"Chippewa County",26033,82.1,30809,"2735 of 3140"
"Luce County",26095,82.5,5266,"2690 of 3140"
"Marquette County",26103,82.9,55179,"2637 of 3140"
"Kent County",26081,82.9,520482,"2632 of 3140"
"Muskegon County",26121,83.3,142410,"2583 of 3140"
"Calhoun County",26025,84.0,111459,"2435 of 3140"
"Eaton County",26045,84.3,90379,"2383 of 3140"
"Ottawa County",26139,84.5,233804,"2341 of 3140"
"Clare County",26035,84.5,25609,"2337 of 3140"
"Jackson County",26075,84.9,133473,"2252 of 3140"
"Berrien County",26021,84.9,130071,"2229 of 3140"
"Alger County",26003,85.2,7849,"2178 of 3140"
"Grand Traverse County",26055,85.3,76992,"2139 of 3140"
"Roscommon County",26143,85.4,20239,"2126 of 3140"
"Iosco County",26069,85.4,21491,"2120 of 3140"
"St. Joseph County",26149,85.5,51423,"2094 of 3140"
"Schoolcraft County",26153,85.5,6904,"2089 of 3140"
"Ionia County",26067,85.5,54045,"2087 of 3140"
"Gratiot County",26057,85.6,35115,"2067 of 3140"
"Emmet County",26047,85.6,27890,"2063 of 3140"
"St. Clair County",26147,85.7,135544,"2050 of 3140"
"Mason County",26105,86.0,24522,"1951 of 3140"
"Wexford County",26165,86.0,27943,"1948 of 3140"
"Genesee County",26049,86.0,349450,"1943 of 3140"
"Lenawee County",26091,86.0,83980,"1934 of 3140"
"Saginaw County",26145,86.2,165223,"1879 of 3140"
"Otsego County",26137,86.3,20701,"1857 of 3140"
"Wayne County",26163,86.4,1503155,"1840 of 3140"
"Oakland County",26125,86.5,1062412,"1774 of 3140"
"Montcalm County",26117,86.8,54075,"1677 of 3140"
"Ogemaw County",26129,86.9,18080,"1647 of 3140"
"Oceana County",26127,87.1,22692,"1585 of 3140"
"Missaukee County",26113,87.3,12926,"1512 of 3140"
"Midland County",26111,87.4,72257,"1490 of 3140"
"Crawford County",26039,87.4,11956,"1475 of 3140"
"Alpena County",26007,87.5,24917,"1444 of 3140"
"Kalkaska County",26079,87.6,15009,"1424 of 3140"
"Hillsdale County",26059,87.6,39648,"1418 of 3140"
"Manistee County",26101,87.6,21298,"1397 of 3140"
"Macomb County",26099,87.7,749143,"1394 of 3140"
"Osceola County",26133,87.8,20183,"1360 of 3140"
"Cass County",26027,87.8,44709,"1342 of 3140"
"Van Buren County",26159,87.8,65233,"1339 of 3140"
"Branch County",26023,87.8,37762,"1323 of 3140"
"Bay County",26017,87.8,91730,"1322 of 3140"
"Charlevoix County",26029,88.0,22790,"1270 of 3140"
"Cheboygan County",26031,88.0,22261,"1266 of 3140"
"Newaygo County",26123,88.1,41783,"1217 of 3140"
"Menominee County",26109,88.1,20441,"1215 of 3140"
"Tuscola County",26157,88.3,46806,"1164 of 3140"
"Barry County",26015,88.4,51996,"1133 of 3140"
"Montmorency County",26119,88.5,8192,"1099 of 3140"
"Delta County",26041,88.5,32014,"1091 of 3140"
"Lapeer County",26087,88.7,77518,"1019 of 3140"
"Benzie County",26019,89.0,15368,"942 of 3140"
"Antrim County",26009,89.0,20400,"936 of 3140"
"Clinton County",26037,89.0,67919,"931 of 3140"
"Mackinac County",26097,89.0,9600,"905 of 3140"
"Dickinson County",26043,89.1,22630,"891 of 3140"
"Shiawassee County",26155,89.2,60542,"859 of 3140"
"Baraga County",26013,89.2,7594,"852 of 3140"
"Lake County",26085,89.4,10349,"808 of 3140"
"Monroe County",26115,89.5,132466,"777 of 3140"
"Presque Isle County",26141,89.5,11454,"774 of 3140"
"Arenac County",26011,89.6,13527,"753 of 3140"
"Alcona County",26001,89.6,9276,"745 of 3140"
"Allegan County",26005,89.6,101201,"736 of 3140"
"Oscoda County",26135,89.8,7366,"694 of 3140"
"Leelanau County",26089,90.1,19166,"617 of 3140"
