------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Texas",48000,26.4,7065728,"38 of 52"
"Borden County",48033,6.3,38,"4 of 3141"
"Armstrong County",48011,10.1,187,"45 of 3141"
"Collin County",48085,11.6,105671,"76 of 3141"
"Roberts County",48393,12.0,105,"96 of 3141"
"Rockwall County",48397,12.1,10836,"97 of 3141"
"Kendall County",48259,12.2,4835,"103 of 3141"
"Williamson County",48491,12.5,62991,"124 of 3141"
"Carson County",48065,12.9,766,"134 of 3141"
"Hartley County",48205,13.2,567,"147 of 3141"
"Sutton County",48435,13.5,522,"155 of 3141"
"Fort Bend County",48157,13.7,96880,"164 of 3141"
"Denton County",48121,14.6,111849,"211 of 3141"
"Schleicher County",48413,15.0,467,"236 of 3141"
"Midland County",48329,15.0,23694,"240 of 3141"
"Parker County",48367,15.6,19347,"273 of 3141"
"Brazoria County",48039,16.3,54388,"322 of 3141"
"Irion County",48235,16.3,260,"327 of 3141"
"Randall County",48381,16.4,21023,"340 of 3141"
"Comal County",48091,16.9,21620,"380 of 3141"
"Loving County",48301,17.1,12,"405 of 3141"
"Mitchell County",48335,17.5,1097,"450 of 3141"
"Montgomery County",48339,17.9,95106,"483 of 3141"
"McMullen County",48311,18.2,109,"505 of 3141"
"Guadalupe County",48187,18.2,27055,"508 of 3141"
"Crane County",48103,18.4,861,"524 of 3141"
"Wilson County",48493,18.4,8527,"528 of 3141"
"Ellis County",48139,18.4,29870,"532 of 3141"
"Archer County",48009,19.0,1656,"613 of 3141"
"Andrews County",48003,19.2,3349,"626 of 3141"
"Martin County",48317,19.3,1055,"637 of 3141"
"Lavaca County",48285,19.7,3829,"706 of 3141"
"Menard County",48327,19.8,409,"721 of 3141"
"Hood County",48221,20.0,10942,"748 of 3141"
"Kaufman County",48257,20.1,22732,"755 of 3141"
"Hardin County",48199,20.1,11136,"759 of 3141"
"Foard County",48155,20.1,277,"764 of 3141"
"Sherman County",48421,20.3,614,"784 of 3141"
"Austin County",48015,20.5,5952,"819 of 3141"
"Fayette County",48149,20.8,5096,"851 of 3141"
"Lipscomb County",48295,20.8,715,"857 of 3141"
"Johnson County",48251,20.9,32752,"862 of 3141"
"Jackson County",48239,21.0,3008,"876 of 3141"
"Hemphill County",48211,21.0,863,"881 of 3141"
"Mason County",48319,21.1,866,"898 of 3141"
"Garza County",48169,21.3,1022,"930 of 3141"
"Crockett County",48105,21.3,802,"933 of 3141"
"Burnet County",48053,21.4,9555,"942 of 3141"
"Kent County",48263,21.5,136,"947 of 3141"
"Medina County",48325,21.5,9865,"950 of 3141"
"Blanco County",48031,21.6,2357,"958 of 3141"
"Travis County",48453,21.6,248970,"959 of 3141"
"Galveston County",48167,21.9,68673,"989 of 3141"
"Chambers County",48071,21.9,8532,"993 of 3141"
"Bandera County",48019,21.9,4590,"999 of 3141"
"Lampasas County",48281,21.9,4422,"1002 of 3141"
"Gillespie County",48171,22.0,5616,"1013 of 3141"
"Pecos County",48371,22.1,3024,"1018 of 3141"
"Colorado County",48089,22.1,4540,"1028 of 3141"
"Ector County",48135,22.2,34045,"1030 of 3141"
"Cooke County",48097,22.3,8516,"1040 of 3141"
"King County",48269,22.5,65,"1076 of 3141"
"Tom Green County",48451,22.6,25055,"1083 of 3141"
"Wise County",48497,22.6,14029,"1089 of 3141"
"Burleson County",48051,22.7,3922,"1099 of 3141"
"Clay County",48077,22.7,2327,"1101 of 3141"
"Concho County",48095,22.8,589,"1112 of 3141"
"Tarrant County",48439,22.8,446480,"1119 of 3141"
"Goliad County",48175,23.2,1716,"1165 of 3141"
"Ward County",48475,23.2,2640,"1171 of 3141"
"Oldham County",48359,23.3,355,"1179 of 3141"
"Hays County",48209,23.3,43570,"1181 of 3141"
"Upshur County",48459,23.3,9290,"1190 of 3141"
"Edwards County",48137,23.5,493,"1211 of 3141"
"Lee County",48287,23.7,3880,"1245 of 3141"
"Wood County",48499,23.9,9984,"1262 of 3141"
"Yoakum County",48501,24.1,2043,"1302 of 3141"
"Washington County",48477,24.2,7845,"1310 of 3141"
"Gaines County",48165,24.2,4784,"1317 of 3141"
"Bell County",48027,24.4,79581,"1343 of 3141"
"Franklin County",48159,24.5,2575,"1355 of 3141"
"Fisher County",48151,24.5,939,"1359 of 3141"
"Calhoun County",48057,24.7,5303,"1393 of 3141"
"Bastrop County",48021,24.8,19291,"1414 of 3141"
"Rains County",48379,24.8,2765,"1416 of 3141"
"Van Zandt County",48467,24.9,13139,"1428 of 3141"
"Shackelford County",48417,24.9,824,"1430 of 3141"
"Stonewall County",48433,24.9,256,"1438 of 3141"
"Mills County",48333,25.0,1175,"1444 of 3141"
"Grayson County",48181,25.1,30999,"1463 of 3141"
"Atascosa County",48013,25.2,11981,"1466 of 3141"
"Morris County",48343,25.3,3128,"1485 of 3141"
"Ochiltree County",48357,25.3,2640,"1492 of 3141"
"Scurry County",48415,25.4,3940,"1496 of 3141"
"Coryell County",48099,25.4,15570,"1501 of 3141"
"Tyler County",48457,25.5,4749,"1505 of 3141"
"Kerr County",48265,25.5,12549,"1514 of 3141"
"Orange County",48361,25.5,21137,"1516 of 3141"
"Donley County",48129,25.5,800,"1518 of 3141"
"Victoria County",48469,25.6,22983,"1524 of 3141"
"Reeves County",48389,25.6,3135,"1527 of 3141"
"Newton County",48351,25.8,3623,"1560 of 3141"
"Hutchinson County",48233,25.9,5584,"1570 of 3141"
"Robertson County",48395,26.0,4288,"1577 of 3141"
"Llano County",48299,26.0,5184,"1579 of 3141"
"San Patricio County",48409,26.0,17199,"1590 of 3141"
"Refugio County",48391,26.1,1851,"1594 of 3141"
"Throckmorton County",48447,26.2,398,"1611 of 3141"
"Upton County",48461,26.3,922,"1622 of 3141"
"Knox County",48275,26.3,949,"1625 of 3141"
"Live Oak County",48297,26.4,2759,"1631 of 3141"
"Fannin County",48147,26.4,8142,"1639 of 3141"
"Baylor County",48023,26.7,936,"1703 of 3141"
"Hockley County",48219,26.8,6023,"1711 of 3141"
"Jack County",48237,26.8,2052,"1714 of 3141"
"Callahan County",48059,26.9,3633,"1724 of 3141"
"Howard County",48227,26.9,8407,"1726 of 3141"
"Jones County",48253,26.9,3412,"1727 of 3141"
"Bosque County",48035,27.0,4724,"1737 of 3141"
"Motley County",48345,27.1,301,"1745 of 3141"
"Glasscock County",48173,27.1,385,"1748 of 3141"
"Briscoe County",48045,27.1,428,"1754 of 3141"
"Harrison County",48203,27.5,17863,"1805 of 3141"
"Brown County",48049,27.5,9901,"1808 of 3141"
"Harris County",48201,27.5,1233813,"1812 of 3141"
"Bexar County",48029,27.6,512168,"1816 of 3141"
"Madison County",48313,27.6,2715,"1817 of 3141"
"Taylor County",48441,27.6,35664,"1826 of 3141"
"Panola County",48365,27.6,6349,"1828 of 3141"
"Nueces County",48355,27.6,96929,"1834 of 3141"
"Smith County",48423,27.7,60204,"1845 of 3141"
"Rusk County",48401,27.8,13333,"1851 of 3141"
"Moore County",48341,27.8,6045,"1854 of 3141"
"Collingsworth County",48087,27.8,822,"1855 of 3141"
"Coke County",48081,27.8,864,"1856 of 3141"
"Montague County",48337,27.8,5309,"1857 of 3141"
"Brewster County",48043,27.9,2514,"1875 of 3141"
"Hamilton County",48193,28.0,2211,"1879 of 3141"
"Hill County",48217,28.1,9571,"1892 of 3141"
"Dallam County",48111,28.3,2025,"1916 of 3141"
"Cass County",48067,28.4,8404,"1933 of 3141"
"Karnes County",48255,28.4,3502,"1934 of 3141"
"Castro County",48069,28.5,2203,"1944 of 3141"
"Wichita County",48485,28.5,33145,"1947 of 3141"
"Wheeler County",48483,28.6,1567,"1966 of 3141"
"Winkler County",48495,28.6,2198,"1972 of 3141"
"Somervell County",48425,28.6,2400,"1973 of 3141"
"Hardeman County",48197,28.7,1138,"1976 of 3141"
"Milam County",48331,28.7,6879,"1979 of 3141"
"DeWitt County",48123,28.9,5359,"1997 of 3141"
"Nolan County",48353,28.9,4208,"1998 of 3141"
"Leon County",48289,28.9,4866,"1999 of 3141"
"McCulloch County",48307,28.9,2300,"2002 of 3141"
"Young County",48503,28.9,5157,"2003 of 3141"
"Gray County",48179,28.9,6167,"2010 of 3141"
"Parmer County",48369,29.0,2816,"2017 of 3141"
"Kinney County",48271,29.1,967,"2024 of 3141"
"Childress County",48075,29.2,1677,"2041 of 3141"
"Jasper County",48241,29.3,10061,"2057 of 3141"
"Hunt County",48231,29.4,25730,"2067 of 3141"
"Sterling County",48431,29.4,321,"2073 of 3141"
"Kimble County",48267,29.5,1288,"2074 of 3141"
"Lubbock County",48303,29.5,84274,"2077 of 3141"
"Bee County",48025,29.5,7373,"2079 of 3141"
"Jeff Davis County",48243,29.6,643,"2084 of 3141"
"Comanche County",48093,29.6,3913,"2085 of 3141"
"Bowie County",48037,29.6,26107,"2089 of 3141"
"Angelina County",48005,29.7,25193,"2093 of 3141"
"Caldwell County",48055,29.7,11424,"2099 of 3141"
"Reagan County",48383,29.7,1099,"2101 of 3141"
"Henderson County",48213,29.8,23277,"2115 of 3141"
"Liberty County",48291,29.9,21766,"2127 of 3141"
"Deaf Smith County",48117,30.0,5600,"2134 of 3141"
"Waller County",48473,30.0,13100,"2139 of 3141"
"La Salle County",48283,30.0,1955,"2143 of 3141"
"Palo Pinto County",48363,30.1,8309,"2146 of 3141"
"Freestone County",48161,30.1,5412,"2149 of 3141"
"Jefferson County",48245,30.2,71867,"2157 of 3141"
"Dallas County",48113,30.2,762614,"2172 of 3141"
"Eastland County",48133,30.4,5281,"2188 of 3141"
"Lamar County",48277,30.5,14808,"2195 of 3141"
"Runnels County",48399,30.6,3039,"2208 of 3141"
"Aransas County",48007,30.6,7444,"2209 of 3141"
"Anderson County",48001,30.7,13596,"2228 of 3141"
"Hopkins County",48223,30.8,10868,"2229 of 3141"
"Delta County",48119,30.8,1573,"2241 of 3141"
"Polk County",48373,31.0,13415,"2248 of 3141"
"Erath County",48143,31.0,12078,"2254 of 3141"
