------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Texas",48000,28.7,5010395,"30 of 52"
"United States",00000,30.9,66887603,"N/A"
"Loving County",48301,4.7,3,"3141 of 3141"
"Kenedy County",48261,6.5,22,"3137 of 3141"
"Frio County",48163,7.2,827,"3132 of 3141"
"Hudspeth County",48229,7.6,187,"3127 of 3141"
"Zavala County",48507,7.6,530,"3125 of 3141"
"Duval County",48131,8.7,641,"3100 of 3141"
"Newton County",48351,8.8,872,"3093 of 3141"
"Crockett County",48105,8.9,219,"3090 of 3141"
"Culberson County",48109,9.0,141,"3081 of 3141"
"Willacy County",48489,9.0,1230,"3079 of 3141"
"Bee County",48025,9.2,2047,"3075 of 3141"
"Liberty County",48291,9.3,4865,"3065 of 3141"
"Reeves County",48389,9.5,933,"3054 of 3141"
"Pecos County",48371,9.6,1025,"3049 of 3141"
"Starr County",48427,9.7,3388,"3046 of 3141"
"Andrews County",48003,9.8,1018,"3039 of 3141"
"San Jacinto County",48407,10.1,1925,"3028 of 3141"
"Dimmit County",48127,10.1,661,"3027 of 3141"
"Garza County",48169,10.2,516,"3022 of 3141"
"Cochran County",48079,10.5,192,"2996 of 3141"
"Winkler County",48495,10.7,489,"2988 of 3141"
"Rains County",48379,10.8,884,"2973 of 3141"
"Jones County",48253,10.9,1603,"2964 of 3141"
"Reagan County",48383,11.0,259,"2953 of 3141"
"Upton County",48461,11.1,247,"2941 of 3141"
"Gaines County",48165,11.2,1218,"2934 of 3141"
"Concho County",48095,11.3,323,"2925 of 3141"
"Live Oak County",48297,11.3,984,"2924 of 3141"
"Jim Wells County",48249,11.3,2898,"2923 of 3141"
"Jim Hogg County",48247,11.3,360,"2920 of 3141"
"Jack County",48237,11.4,696,"2901 of 3141"
"Zapata County",48505,11.4,919,"2897 of 3141"
"Kinney County",48271,11.5,305,"2896 of 3141"
"Jasper County",48241,11.6,2783,"2879 of 3141"
"Freestone County",48161,11.7,1607,"2869 of 3141"
"Trinity County",48455,11.7,1243,"2866 of 3141"
"Crane County",48103,11.7,339,"2863 of 3141"
"Maverick County",48323,11.8,3807,"2851 of 3141"
"Mitchell County",48335,11.8,705,"2850 of 3141"
"Falls County",48145,12.1,1446,"2829 of 3141"
"Refugio County",48391,12.1,596,"2825 of 3141"
"Tyler County",48457,12.1,1820,"2819 of 3141"
"San Augustine County",48405,12.1,744,"2815 of 3141"
"Polk County",48373,12.3,4111,"2795 of 3141"
"Haskell County",48207,12.3,532,"2792 of 3141"
"Dallam County",48111,12.4,541,"2778 of 3141"
"Anderson County",48001,12.4,5194,"2766 of 3141"
"Stonewall County",48433,12.5,99,"2753 of 3141"
"Hall County",48191,12.7,264,"2715 of 3141"
"Dawson County",48115,12.7,1069,"2713 of 3141"
"Eastland County",48133,12.7,1594,"2711 of 3141"
"Gray County",48179,12.8,1959,"2698 of 3141"
"Terry County",48445,12.8,1045,"2695 of 3141"
"Howard County",48227,12.9,3182,"2689 of 3141"
"Swisher County",48437,13.0,653,"2670 of 3141"
"Crosby County",48107,13.0,483,"2669 of 3141"
"Madison County",48313,13.0,1262,"2654 of 3141"
"Gonzales County",48177,13.2,1743,"2627 of 3141"
"Nolan County",48353,13.3,1297,"2612 of 3141"
"Moore County",48341,13.4,1692,"2607 of 3141"
"Castro County",48069,13.4,634,"2604 of 3141"
"Ward County",48475,13.5,975,"2583 of 3141"
"DeWitt County",48123,13.6,1965,"2565 of 3141"
"Hockley County",48219,13.6,1952,"2561 of 3141"
"Karnes County",48255,13.7,1409,"2548 of 3141"
"Grimes County",48185,13.7,2577,"2544 of 3141"
"Hutchinson County",48233,13.7,1946,"2543 of 3141"
"Red River County",48387,13.8,1224,"2533 of 3141"
"Limestone County",48293,13.8,2217,"2527 of 3141"
"Marion County",48315,14.1,1078,"2480 of 3141"
"Deaf Smith County",48117,14.2,1573,"2459 of 3141"
"Atascosa County",48013,14.3,4340,"2453 of 3141"
"Caldwell County",48055,14.3,3726,"2444 of 3141"
"San Patricio County",48409,14.3,6063,"2443 of 3141"
"Coleman County",48083,14.4,880,"2435 of 3141"
"Bailey County",48017,14.4,624,"2427 of 3141"
"Sabine County",48403,14.4,1159,"2422 of 3141"
"Hardeman County",48197,14.4,404,"2412 of 3141"
"Houston County",48225,14.5,2410,"2408 of 3141"
"Wheeler County",48483,14.6,548,"2376 of 3141"
"Panola County",48365,14.7,2325,"2367 of 3141"
"Brooks County",48047,14.7,613,"2364 of 3141"
"Matagorda County",48321,14.7,3527,"2358 of 3141"
"Burleson County",48051,14.8,1817,"2349 of 3141"
"Potter County",48375,14.8,11306,"2347 of 3141"
"Irion County",48235,14.8,156,"2338 of 3141"
"Wharton County",48481,15.0,4023,"2306 of 3141"
"Milam County",48331,15.0,2493,"2305 of 3141"
"Robertson County",48395,15.0,1696,"2304 of 3141"
"Ector County",48135,15.0,13859,"2301 of 3141"
"San Saba County",48411,15.1,626,"2297 of 3141"
"Yoakum County",48501,15.1,736,"2292 of 3141"
"Uvalde County",48463,15.1,2521,"2288 of 3141"
"La Salle County",48283,15.1,770,"2287 of 3141"
"Dickens County",48125,15.2,244,"2277 of 3141"
