------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"United States",00000,29.8,95565066,"N/A"
"Texas",48000,31.4,8621445,"46 of 52"
"Loving County",48301,4.1,3,"1 of 3141"
"Kent County",48263,15.1,103,"16 of 3141"
"Cottle County",48101,15.8,236,"19 of 3141"
"Stonewall County",48433,15.9,172,"21 of 3141"
"Real County",48385,16.3,547,"29 of 3141"
"Llano County",48299,16.8,3390,"37 of 3141"
"Coke County",48081,17.4,562,"48 of 3141"
"Sterling County",48431,17.9,204,"68 of 3141"
"Kimble County",48267,18.1,801,"78 of 3141"
"Blanco County",48031,18.2,2020,"82 of 3141"
"McMullen County",48311,18.3,110,"85 of 3141"
"Gillespie County",48171,18.6,4837,"103 of 3141"
"Throckmorton County",48447,19.1,295,"126 of 3141"
"Mills County",48333,19.3,943,"136 of 3141"
"Jeff Davis County",48243,19.4,434,"147 of 3141"
"Marion County",48315,19.5,1977,"152 of 3141"
"Baylor County",48023,19.6,706,"158 of 3141"
"Borden County",48033,19.8,119,"169 of 3141"
"Sabine County",48403,19.8,2063,"172 of 3141"
"Presidio County",48377,19.8,1426,"174 of 3141"
"Trinity County",48455,19.9,2881,"176 of 3141"
"Bandera County",48019,20.4,4345,"223 of 3141"
"Terrell County",48443,20.5,148,"233 of 3141"
"Armstrong County",48011,20.5,396,"234 of 3141"
"Irion County",48235,20.9,332,"272 of 3141"
"Foard County",48155,20.9,295,"274 of 3141"
"Bosque County",48035,20.9,3754,"285 of 3141"
"Mason County",48319,20.9,862,"286 of 3141"
"Dickens County",48125,21.0,467,"296 of 3141"
"Aransas County",48007,21.0,5224,"303 of 3141"
"Menard County",48327,21.2,450,"318 of 3141"
"Coleman County",48083,21.2,1787,"321 of 3141"
"Roberts County",48393,21.4,190,"339 of 3141"
"Clay County",48077,21.4,2224,"347 of 3141"
"Fayette County",48149,21.8,5447,"403 of 3141"
"Goliad County",48175,21.8,1639,"405 of 3141"
"Hood County",48221,21.9,12156,"426 of 3141"
"San Augustine County",48405,22.0,1851,"446 of 3141"
"Callahan County",48059,22.1,3016,"455 of 3141"
"Oldham County",48359,22.1,461,"468 of 3141"
"Wood County",48499,22.2,9609,"476 of 3141"
"Comanche County",48093,22.2,2995,"480 of 3141"
"Knox County",48275,22.2,835,"490 of 3141"
"Cass County",48067,22.3,6716,"501 of 3141"
"Hall County",48191,22.3,692,"505 of 3141"
"Lavaca County",48285,22.5,4477,"567 of 3141"
"Hamilton County",48193,22.6,1856,"573 of 3141"
"Colorado County",48089,22.7,4745,"598 of 3141"
"Carson County",48065,22.7,1370,"604 of 3141"
"Rains County",48379,22.7,2556,"611 of 3141"
"Kendall County",48259,22.8,9181,"626 of 3141"
"Leon County",48289,22.8,3868,"629 of 3141"
"McCulloch County",48307,22.9,1863,"651 of 3141"
"Montague County",48337,22.9,4450,"670 of 3141"
"Franklin County",48159,23.1,2455,"714 of 3141"
"Van Zandt County",48467,23.1,12395,"728 of 3141"
"Delta County",48119,23.3,1206,"775 of 3141"
"Briscoe County",48045,23.3,371,"776 of 3141"
"Kerr County",48265,23.4,11860,"783 of 3141"
"Shackelford County",48417,23.5,786,"814 of 3141"
"Hill County",48217,23.5,8243,"817 of 3141"
"Archer County",48009,23.5,2066,"823 of 3141"
"Henderson County",48213,23.7,18900,"883 of 3141"
"Milam County",48331,23.8,5828,"913 of 3141"
"Burleson County",48051,23.8,4190,"914 of 3141"
"Young County",48503,23.8,4326,"915 of 3141"
"Lampasas County",48281,23.8,4880,"923 of 3141"
"Austin County",48015,23.9,7012,"952 of 3141"
"Refugio County",48391,23.9,1746,"953 of 3141"
"Fisher County",48151,24.0,930,"972 of 3141"
"Robertson County",48395,24.0,4021,"988 of 3141"
"Runnels County",48399,24.0,2468,"989 of 3141"
"San Jacinto County",48407,24.1,6601,"992 of 3141"
"Comal County",48091,24.1,31092,"1003 of 3141"
"Sutton County",48435,24.2,942,"1034 of 3141"
"Wheeler County",48483,24.3,1359,"1058 of 3141"
"Burnet County",48053,24.3,10937,"1064 of 3141"
"Morris County",48343,24.6,3081,"1148 of 3141"
"Hardeman County",48197,24.6,983,"1166 of 3141"
"Wilson County",48493,24.8,11688,"1218 of 3141"
"Edwards County",48137,24.8,523,"1225 of 3141"
"Newton County",48351,24.8,3515,"1226 of 3141"
"Navarro County",48349,24.8,11956,"1231 of 3141"
"Polk County",48373,24.9,11691,"1272 of 3141"
"Red River County",48387,24.9,3079,"1288 of 3141"
"Hansford County",48195,24.9,1380,"1296 of 3141"
"Houston County",48225,25.0,5701,"1299 of 3141"
