------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"United States",00000,13.4,43028127,"N/A"
"Texas",48000,16.9,4622395,"7 of 51"
"Motley County",48345,0.0,0,"3128 of 3140"
"Kent County",48263,0.6,4,"2945 of 3140"
"Sabine County",48403,1.0,104,"2649 of 3140"
"Newton County",48351,1.0,148,"2610 of 3140"
"Marion County",48315,1.2,120,"2500 of 3140"
"Baylor County",48023,1.3,47,"2388 of 3140"
"Throckmorton County",48447,1.5,23,"2254 of 3140"
"Delta County",48119,1.5,78,"2238 of 3140"
"Hardin County",48199,1.8,992,"2052 of 3140"
"Stonewall County",48433,1.8,20,"2020 of 3140"
"Oldham County",48359,2.0,41,"1943 of 3140"
"Armstrong County",48011,2.0,39,"1923 of 3140"
"Cass County",48067,2.1,620,"1893 of 3140"
"Tyler County",48457,2.1,447,"1878 of 3140"
"Callahan County",48059,2.1,285,"1876 of 3140"
"Carson County",48065,2.1,127,"1864 of 3140"
"Clay County",48077,2.1,219,"1858 of 3140"
"Archer County",48009,2.2,190,"1829 of 3140"
"Red River County",48387,2.2,270,"1815 of 3140"
"Goliad County",48175,2.2,165,"1811 of 3140"
"Jasper County",48241,2.3,807,"1761 of 3140"
"Refugio County",48391,2.3,167,"1747 of 3140"
"Borden County",48033,2.3,14,"1735 of 3140"
"Shackelford County",48417,2.4,82,"1697 of 3140"
"Donley County",48129,2.5,86,"1667 of 3140"
"Coleman County",48083,2.5,211,"1666 of 3140"
"Crosby County",48107,2.6,152,"1631 of 3140"
"Hood County",48221,2.7,1488,"1574 of 3140"
"Roberts County",48393,2.8,25,"1513 of 3140"
"Orange County",48361,2.8,2363,"1510 of 3140"
"San Augustine County",48405,2.9,243,"1480 of 3140"
"Wood County",48499,3.1,1348,"1386 of 3140"
"Upshur County",48459,3.1,1263,"1384 of 3140"
"Jones County",48253,3.2,632,"1358 of 3140"
"Coke County",48081,3.2,105,"1341 of 3140"
