------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Texas",48000,11.7,3215906,"50 of 52"
"United States",00000,14.9,47732389,"N/A"
"King County",48269,7.3,21,"3130 of 3141"
"Brazos County",48041,8.5,18110,"3113 of 3141"
"Gaines County",48165,8.6,1713,"3109 of 3141"
"Webb County",48479,8.8,23659,"3100 of 3141"
"Travis County",48453,8.9,104344,"3097 of 3141"
"Coryell County",48099,9.2,6943,"3095 of 3141"
"Denton County",48121,9.2,71591,"3094 of 3141"
"Ector County",48135,9.5,14793,"3084 of 3141"
"Harris County",48201,9.6,432729,"3082 of 3141"
"Fort Bend County",48157,9.7,69049,"3075 of 3141"
"Moore County",48341,9.8,2161,"3073 of 3141"
"Dallas County",48113,10.0,255384,"3065 of 3141"
"Bell County",48027,10.0,33740,"3064 of 3141"
"Ochiltree County",48357,10.1,1054,"3063 of 3141"
"Collin County",48085,10.1,92047,"3061 of 3141"
"Andrews County",48003,10.2,1788,"3058 of 3141"
"Hays County",48209,10.2,19839,"3057 of 3141"
"Midland County",48329,10.2,16386,"3056 of 3141"
"Hidalgo County",48215,10.4,87567,"3043 of 3141"
"Tarrant County",48439,10.5,208089,"3041 of 3141"
"Chambers County",48071,10.7,4193,"3026 of 3141"
"Dallam County",48111,10.8,775,"3019 of 3141"
"Reagan County",48383,11.1,413,"3003 of 3141"
"Starr County",48427,11.1,7023,"3002 of 3141"
"Brazoria County",48039,11.1,38356,"2998 of 3141"
"Yoakum County",48501,11.1,944,"2992 of 3141"
"Maverick County",48323,11.2,6426,"2985 of 3141"
"Williamson County",48491,11.2,56929,"2983 of 3141"
"Winkler County",48495,11.2,873,"2980 of 3141"
"Garza County",48169,11.3,761,"2975 of 3141"
"El Paso County",48141,11.4,95067,"2964 of 3141"
"Waller County",48473,11.4,5519,"2963 of 3141"
"Bexar County",48029,11.4,215795,"2961 of 3141"
"Crane County",48103,11.4,552,"2959 of 3141"
"Potter County",48375,11.6,14090,"2940 of 3141"
"Rockwall County",48397,11.7,10576,"2933 of 3141"
"Bee County",48025,11.7,3843,"2929 of 3141"
"Kaufman County",48257,11.8,13514,"2924 of 3141"
"Lubbock County",48303,11.8,35225,"2914 of 3141"
"Walker County",48471,12.0,8473,"2901 of 3141"
"Deaf Smith County",48117,12.0,2269,"2899 of 3141"
"Ellis County",48139,12.0,19756,"2894 of 3141"
"Martin County",48317,12.1,673,"2882 of 3141"
"Frio County",48163,12.3,2355,"2859 of 3141"
"Montgomery County",48339,12.3,65963,"2858 of 3141"
"Hemphill County",48211,12.4,515,"2851 of 3141"
"Pecos County",48371,12.5,1979,"2836 of 3141"
"Cameron County",48061,12.5,52630,"2835 of 3141"
"Howard County",48227,12.5,4572,"2834 of 3141"
"Zapata County",48505,12.7,1832,"2805 of 3141"
"Kleberg County",48273,12.7,4018,"2801 of 3141"
"Liberty County",48291,12.8,10220,"2791 of 3141"
"Reeves County",48389,12.8,1896,"2784 of 3141"
"Hale County",48189,12.9,4468,"2764 of 3141"
"Guadalupe County",48187,13.1,19710,"2741 of 3141"
"Willacy County",48489,13.1,2858,"2736 of 3141"
"Parmer County",48369,13.1,1294,"2734 of 3141"
"Galveston County",48167,13.2,42256,"2728 of 3141"
"Nacogdoches County",48347,13.2,8628,"2721 of 3141"
"Caldwell County",48055,13.2,5362,"2714 of 3141"
"Zavala County",48507,13.3,1614,"2708 of 3141"
"Nueces County",48355,13.3,47851,"2704 of 3141"
"Titus County",48449,13.4,4372,"2693 of 3141"
"Johnson County",48251,13.5,21591,"2688 of 3141"
"Upton County",48461,13.5,482,"2687 of 3141"
"Hockley County",48219,13.5,3143,"2682 of 3141"
"McLennan County",48309,13.6,33503,"2664 of 3141"
"Jefferson County",48245,13.7,34839,"2660 of 3141"
"Oldham County",48359,13.8,287,"2640 of 3141"
"Erath County",48143,13.8,5666,"2633 of 3141"
"Bastrop County",48021,13.8,11115,"2626 of 3141"
"Randall County",48381,13.9,18129,"2620 of 3141"
"Val Verde County",48465,13.9,6810,"2616 of 3141"
"Atascosa County",48013,13.9,6696,"2615 of 3141"
"Hartley County",48205,13.9,810,"2614 of 3141"
"Taylor County",48441,13.9,18871,"2611 of 3141"
"Wichita County",48485,13.9,18374,"2610 of 3141"
"Glasscock County",48173,13.9,198,"2609 of 3141"
"Sherman County",48421,14.0,429,"2599 of 3141"
"Ward County",48475,14.0,1614,"2591 of 3141"
"Anderson County",48001,14.1,8134,"2580 of 3141"
"San Patricio County",48409,14.1,9434,"2574 of 3141"
"Crockett County",48105,14.2,543,"2562 of 3141"
"Bailey County",48017,14.3,1013,"2538 of 3141"
"Karnes County",48255,14.3,2150,"2536 of 3141"
"Jim Wells County",48249,14.3,5908,"2534 of 3141"
"Mitchell County",48335,14.4,1265,"2508 of 3141"
"Dawson County",48115,14.4,1892,"2505 of 3141"
"Gregg County",48183,14.5,17844,"2502 of 3141"
"Castro County",48069,14.5,1142,"2499 of 3141"
"Wilson County",48493,14.5,6863,"2487 of 3141"
"Wise County",48497,14.6,9228,"2473 of 3141"
"Tom Green County",48451,14.6,17079,"2468 of 3141"
"Scurry County",48415,14.6,2539,"2461 of 3141"
"Jones County",48253,14.7,2927,"2458 of 3141"
"Kenedy County",48261,14.7,83,"2447 of 3141"
"Dimmit County",48127,14.7,1593,"2444 of 3141"
"Brooks County",48047,14.8,1073,"2423 of 3141"
