------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Texas",48000,31.4,1750066,"51 of 51"
"Brooks County",48047,19.5,509,"1882 of 3139"
"Bell County",48027,19.8,14177,"1928 of 3139"
"La Salle County",48283,21.2,311,"2133 of 3139"
"Zavala County",48507,21.8,900,"2202 of 3139"
"Bee County",48025,22.2,1409,"2259 of 3139"
"Dimmit County",48127,22.7,692,"2322 of 3139"
"Cass County",48067,23.2,1472,"2384 of 3139"
"Coryell County",48099,23.3,3397,"2398 of 3139"
"Jim Hogg County",48247,23.3,360,"2398 of 3139"
"Lubbock County",48303,23.3,16359,"2398 of 3139"
"Bowie County",48037,23.4,4649,"2406 of 3139"
"Duval County",48131,24.5,760,"2514 of 3139"
"Nolan County",48353,24.5,822,"2514 of 3139"
"Morris County",48343,24.6,710,"2527 of 3139"
"Marion County",48315,24.7,569,"2534 of 3139"
"Hardin County",48199,25.0,2022,"2556 of 3139"
"Taylor County",48441,25.1,7240,"2571 of 3139"
"Jim Wells County",48249,25.2,2694,"2579 of 3139"
"Lamar County",48277,25.2,2853,"2579 of 3139"
"Newton County",48351,25.2,669,"2579 of 3139"
"Brazos County",48041,25.3,15189,"2589 of 3139"
"Orange County",48361,25.5,4019,"2601 of 3139"
"Bexar County",48029,25.6,103380,"2606 of 3139"
"San Augustine County",48405,25.6,538,"2606 of 3139"
"Harrison County",48203,25.7,3494,"2612 of 3139"
