------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"United States",00000,0.7,2074097,"N/A"
"Texas",48000,0.8,217872,"43 of 51"
"Archer County",48009,0.0,0,"1 of 3140"
"Armstrong County",48011,0.0,0,"1 of 3140"
"Bailey County",48017,0.0,0,"1 of 3140"
"Baylor County",48023,0.0,0,"1 of 3140"
"Briscoe County",48045,0.0,0,"1 of 3140"
"Callahan County",48059,0.0,0,"1 of 3140"
"Carson County",48065,0.0,0,"1 of 3140"
"Childress County",48075,0.0,0,"1 of 3140"
"Collingsworth County",48087,0.0,0,"1 of 3140"
"Cottle County",48101,0.0,0,"1 of 3140"
"Crane County",48103,0.0,0,"1 of 3140"
"Crockett County",48105,0.0,0,"1 of 3140"
"Delta County",48119,0.0,0,"1 of 3140"
"Donley County",48129,0.0,0,"1 of 3140"
"Duval County",48131,0.0,0,"1 of 3140"
"Fayette County",48149,0.0,0,"1 of 3140"
"Foard County",48155,0.0,0,"1 of 3140"
"Hansford County",48195,0.0,0,"1 of 3140"
"Hemphill County",48211,0.0,0,"1 of 3140"
"Irion County",48235,0.0,0,"1 of 3140"
"Jim Hogg County",48247,0.0,0,"1 of 3140"
"Jones County",48253,0.0,0,"1 of 3140"
"Kenedy County",48261,0.0,0,"1 of 3140"
"Kent County",48263,0.0,0,"1 of 3140"
"King County",48269,0.0,0,"1 of 3140"
"Loving County",48301,0.0,0,"1 of 3140"
"Marion County",48315,0.0,0,"1 of 3140"
"Martin County",48317,0.0,0,"1 of 3140"
"Mason County",48319,0.0,0,"1 of 3140"
"McCulloch County",48307,0.0,0,"1 of 3140"
"McMullen County",48311,0.0,0,"1 of 3140"
"Medina County",48325,0.0,0,"1 of 3140"
"Menard County",48327,0.0,0,"1 of 3140"
"Motley County",48345,0.0,0,"1 of 3140"
"Oldham County",48359,0.0,0,"1 of 3140"
"Real County",48385,0.0,0,"1 of 3140"
"Roberts County",48393,0.0,0,"1 of 3140"
"Sabine County",48403,0.0,0,"1 of 3140"
"Schleicher County",48413,0.0,0,"1 of 3140"
"Shackelford County",48417,0.0,0,"1 of 3140"
"Sherman County",48421,0.0,0,"1 of 3140"
"Somervell County",48425,0.0,0,"1 of 3140"
"Sterling County",48431,0.0,0,"1 of 3140"
"Trinity County",48455,0.0,0,"1 of 3140"
"Ward County",48475,0.0,0,"1 of 3140"
"Wheeler County",48483,0.0,0,"1 of 3140"
"Hutchinson County",48233,0.0,4,"415 of 3140"
"Kendall County",48259,0.0,10,"440 of 3140"
"Refugio County",48391,0.0,2,"450 of 3140"
"Shelby County",48419,0.0,7,"450 of 3140"
"Lipscomb County",48295,0.0,1,"460 of 3140"
"Lynn County",48305,0.0,2,"495 of 3140"
"Franklin County",48159,0.0,4,"510 of 3140"
"Jasper County",48241,0.0,15,"539 of 3140"
"Newton County",48351,0.0,6,"539 of 3140"
"Cass County",48067,0.0,13,"545 of 3140"
"Culberson County",48109,0.0,1,"557 of 3140"
"Van Zandt County",48467,0.0,24,"560 of 3140"
"Chambers County",48071,0.0,18,"563 of 3140"
"Panola County",48365,0.0,11,"567 of 3140"
"Edwards County",48137,0.0,1,"570 of 3140"
"DeWitt County",48123,0.0,10,"581 of 3140"
"Tyler County",48457,0.1,11,"588 of 3140"
"Falls County",48145,0.1,9,"592 of 3140"
"Bosque County",48035,0.1,10,"610 of 3140"
"Bandera County",48019,0.1,12,"616 of 3140"
"Camp County",48063,0.1,8,"668 of 3140"
"Swisher County",48437,0.1,5,"690 of 3140"
"Crosby County",48107,0.1,4,"710 of 3140"
"Upshur County",48459,0.1,30,"756 of 3140"
"Liberty County",48291,0.1,63,"790 of 3140"
"Grimes County",48185,0.1,22,"800 of 3140"
"Andrews County",48003,0.1,14,"803 of 3140"
"Coleman County",48083,0.1,7,"819 of 3140"
"Gonzales County",48177,0.1,17,"824 of 3140"
"Hopkins County",48223,0.1,33,"881 of 3140"
"Morris County",48343,0.1,12,"902 of 3140"
"Gray County",48179,0.1,22,"903 of 3140"
"Red River County",48387,0.1,12,"908 of 3140"
"Floyd County",48153,0.1,6,"930 of 3140"
"Johnson County",48251,0.1,164,"946 of 3140"
"Jackson County",48239,0.1,16,"987 of 3140"
"Freestone County",48161,0.1,22,"1010 of 3140"
"Limestone County",48293,0.1,27,"1044 of 3140"
"Goliad County",48175,0.1,9,"1086 of 3140"
"Coke County",48081,0.1,4,"1111 of 3140"
"Fisher County",48151,0.1,5,"1153 of 3140"
"Throckmorton County",48447,0.1,2,"1153 of 3140"
"Henderson County",48213,0.1,104,"1157 of 3140"
"Burleson County",48051,0.1,24,"1189 of 3140"
"Dimmit County",48127,0.1,15,"1198 of 3140"
"Pecos County",48371,0.1,22,"1201 of 3140"
"Lamar County",48277,0.1,69,"1212 of 3140"
"Young County",48503,0.1,26,"1227 of 3140"
"Austin County",48015,0.1,43,"1244 of 3140"
"Navarro County",48349,0.1,70,"1246 of 3140"
"Cooke County",48097,0.2,63,"1347 of 3140"
"Caldwell County",48055,0.2,66,"1367 of 3140"
"Randall County",48381,0.2,216,"1381 of 3140"
"Erath County",48143,0.2,68,"1384 of 3140"
"Rusk County",48401,0.2,88,"1387 of 3140"
"Hartley County",48205,0.2,10,"1425 of 3140"
"Hardin County",48199,0.2,98,"1442 of 3140"
"Harrison County",48203,0.2,118,"1455 of 3140"
"Lee County",48287,0.2,31,"1501 of 3140"
"Atascosa County",48013,0.2,90,"1521 of 3140"
"Angelina County",48005,0.2,166,"1530 of 3140"
"Madison County",48313,0.2,27,"1546 of 3140"
"Bee County",48025,0.2,63,"1549 of 3140"
"Nacogdoches County",48347,0.2,130,"1580 of 3140"
"Bowie County",48037,0.2,186,"1582 of 3140"
"Houston County",48225,0.2,47,"1609 of 3140"
"Hill County",48217,0.2,73,"1622 of 3140"
"San Jacinto County",48407,0.2,58,"1640 of 3140"
"Burnet County",48053,0.2,101,"1705 of 3140"
"Aransas County",48007,0.2,56,"1714 of 3140"
"Colorado County",48089,0.2,47,"1715 of 3140"
"Palo Pinto County",48363,0.2,64,"1719 of 3140"
"Orange County",48361,0.2,192,"1729 of 3140"
"Ochiltree County",48357,0.2,24,"1736 of 3140"
"Deaf Smith County",48117,0.2,44,"1750 of 3140"
"Runnels County",48399,0.2,25,"1789 of 3140"
"Cherokee County",48073,0.2,125,"1795 of 3140"
"Brown County",48049,0.2,93,"1809 of 3140"
"Montague County",48337,0.3,50,"1861 of 3140"
"Waller County",48473,0.3,126,"1871 of 3140"
"Hale County",48189,0.3,91,"1893 of 3140"
"Kerr County",48265,0.3,136,"1905 of 3140"
"Brewster County",48043,0.3,25,"1908 of 3140"
"Milam County",48331,0.3,66,"1908 of 3140"
"Matagorda County",48321,0.3,101,"1929 of 3140"
"Hockley County",48219,0.3,64,"1933 of 3140"
"Leon County",48289,0.3,47,"1957 of 3140"
"Dallam County",48111,0.3,20,"1962 of 3140"
"Brazoria County",48039,0.3,971,"1967 of 3140"
