------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Texas",48000,16.0,4291384,"37 of 52"
"Borden County",48033,2.8,17,"3 of 3141"
"Roberts County",48393,3.3,29,"8 of 3141"
"King County",48269,3.5,10,"10 of 3141"
"Foard County",48155,5.7,78,"70 of 3141"
"Kendall County",48259,5.7,2255,"72 of 3141"
"Rockwall County",48397,5.8,5222,"82 of 3141"
"Carson County",48065,6.4,381,"107 of 3141"
"Sutton County",48435,6.5,251,"112 of 3141"
"Jeff Davis County",48243,6.7,145,"122 of 3141"
"Collin County",48085,6.9,62439,"133 of 3141"
"Williamson County",48491,7.0,35067,"142 of 3141"
"Martin County",48317,7.0,382,"143 of 3141"
"Edwards County",48137,7.0,147,"147 of 3141"
"McMullen County",48311,7.0,42,"147 of 3141"
"Armstrong County",48011,7.5,140,"189 of 3141"
"Mitchell County",48335,7.9,496,"227 of 3141"
"Fort Bend County",48157,8.1,56959,"246 of 3141"
"Hartley County",48205,8.1,347,"249 of 3141"
"La Salle County",48283,8.2,535,"264 of 3141"
"Denton County",48121,8.4,64503,"283 of 3141"
"Concho County",48095,8.5,221,"297 of 3141"
"Midland County",48329,8.7,13714,"311 of 3141"
"Archer County",48009,8.8,769,"321 of 3141"
"Hemphill County",48211,8.8,363,"324 of 3141"
"Fayette County",48149,9.1,2220,"369 of 3141"
"Parker County",48367,9.2,11339,"387 of 3141"
"Comal County",48091,9.2,11827,"399 of 3141"
"Randall County",48381,9.6,12247,"459 of 3141"
"Menard County",48327,9.8,201,"488 of 3141"
"Brazoria County",48039,9.9,33043,"520 of 3141"
"Wilson County",48493,10.2,4705,"561 of 3141"
"Schleicher County",48413,10.2,320,"578 of 3141"
"Montgomery County",48339,10.3,54912,"597 of 3141"
"Lavaca County",48285,10.5,2030,"617 of 3141"
"Ellis County",48139,10.5,17014,"624 of 3141"
"Lipscomb County",48295,10.5,361,"627 of 3141"
"Guadalupe County",48187,10.6,15774,"640 of 3141"
"Kinney County",48271,10.6,354,"646 of 3141"
"Blanco County",48031,10.8,1180,"679 of 3141"
"Brewster County",48043,10.9,981,"695 of 3141"
"Johnson County",48251,11.0,17201,"705 of 3141"
"Gaines County",48165,11.0,2180,"719 of 3141"
"Oldham County",48359,11.1,170,"740 of 3141"
"Pecos County",48371,11.5,1580,"819 of 3141"
"Ward County",48475,11.6,1313,"831 of 3141"
"Glasscock County",48173,11.6,165,"845 of 3141"
"Crane County",48103,11.8,551,"872 of 3141"
"Andrews County",48003,11.9,2082,"909 of 3141"
"Colorado County",48089,12.0,2466,"925 of 3141"
"Hardin County",48199,12.0,6669,"927 of 3141"
"Lampasas County",48281,12.0,2429,"928 of 3141"
"Motley County",48345,12.2,136,"955 of 3141"
"Burnet County",48053,12.3,5473,"969 of 3141"
"Ector County",48135,12.3,18882,"971 of 3141"
"Hood County",48221,12.3,6722,"973 of 3141"
"Yoakum County",48501,12.3,1043,"973 of 3141"
"Kaufman County",48257,12.4,14073,"996 of 3141"
"Gillespie County",48171,12.4,3175,"999 of 3141"
"Llano County",48299,12.5,2495,"1010 of 3141"
"Mason County",48319,12.6,518,"1036 of 3141"
"Medina County",48325,12.7,5850,"1050 of 3141"
"Scurry County",48415,12.8,1988,"1061 of 3141"
"Chambers County",48071,12.9,5031,"1086 of 3141"
"Tom Green County",48451,12.9,14339,"1090 of 3141"
"Wise County",48497,13.0,8042,"1098 of 3141"
"Ochiltree County",48357,13.0,1351,"1101 of 3141"
"Baylor County",48023,13.1,458,"1137 of 3141"
"Rains County",48379,13.1,1462,"1143 of 3141"
"Reeves County",48389,13.2,1617,"1164 of 3141"
"Washington County",48477,13.2,4298,"1174 of 3141"
"Bastrop County",48021,13.3,10322,"1180 of 3141"
"Coryell County",48099,13.3,8174,"1201 of 3141"
"Wood County",48499,13.3,5580,"1206 of 3141"
"Austin County",48015,13.4,3891,"1220 of 3141"
"Garza County",48169,13.5,646,"1234 of 3141"
"Irion County",48235,13.5,215,"1237 of 3141"
"Tarrant County",48439,13.5,264575,"1238 of 3141"
"Jackson County",48239,13.7,1962,"1274 of 3141"
"Terry County",48445,13.7,1590,"1291 of 3141"
"Kerr County",48265,13.8,6760,"1295 of 3141"
