------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Texas",48000,29.2,7996127,"50 of 52"
"United States",00000,34.5,110609456,"N/A"
"Brazos County",48041,21.0,44962,"3129 of 3141"
"Webb County",48479,22.1,59605,"3125 of 3141"
"Coryell County",48099,22.7,17205,"3120 of 3141"
"Hidalgo County",48215,23.5,197299,"3114 of 3141"
"Gaines County",48165,23.6,4703,"3113 of 3141"
"Starr County",48427,24.4,15456,"3108 of 3141"
"Bell County",48027,24.9,83730,"3101 of 3141"
"Ector County",48135,25.1,39083,"3099 of 3141"
"Travis County",48453,25.3,297658,"3096 of 3141"
"Moore County",48341,25.5,5608,"3093 of 3141"
"Maverick County",48323,25.6,14717,"3087 of 3141"
"Zapata County",48505,26.0,3754,"3073 of 3141"
"Andrews County",48003,26.1,4592,"3072 of 3141"
"Hays County",48209,26.2,51030,"3070 of 3141"
"Ochiltree County",48357,26.3,2753,"3067 of 3141"
"Harris County",48201,26.4,1193034,"3062 of 3141"
"Dallam County",48111,26.4,1901,"3061 of 3141"
"Yoakum County",48501,26.5,2248,"3058 of 3141"
"Kleberg County",48273,26.6,8392,"3054 of 3141"
"Denton County",48121,26.7,208511,"3053 of 3141"
"Dallas County",48113,26.9,687470,"3048 of 3141"
"Reeves County",48389,27.1,4006,"3042 of 3141"
"Kenedy County",48261,27.1,153,"3040 of 3141"
"Frio County",48163,27.3,5213,"3032 of 3141"
"Midland County",48329,27.3,43668,"3028 of 3141"
"Brooks County",48047,27.3,1981,"3026 of 3141"
"El Paso County",48141,27.4,228551,"3024 of 3141"
"Cameron County",48061,27.5,115442,"3019 of 3141"
"Winkler County",48495,27.6,2145,"3008 of 3141"
"Lubbock County",48303,27.7,82558,"3004 of 3141"
"Williamson County",48491,27.9,141635,"2999 of 3141"
"Willacy County",48489,28.0,6116,"2990 of 3141"
"King County",48269,28.0,81,"2987 of 3141"
"Collin County",48085,28.0,256345,"2986 of 3141"
"Bexar County",48029,28.1,530743,"2984 of 3141"
"Deaf Smith County",48117,28.2,5335,"2980 of 3141"
"Waller County",48473,28.2,13651,"2979 of 3141"
"Tarrant County",48439,28.3,561298,"2977 of 3141"
"Crane County",48103,28.4,1374,"2972 of 3141"
"Val Verde County",48465,28.5,13944,"2968 of 3141"
"Fort Bend County",48157,28.6,203580,"2964 of 3141"
"Martin County",48317,28.8,1595,"2957 of 3141"
"Potter County",48375,28.8,34859,"2956 of 3141"
"Zavala County",48507,29.1,3537,"2940 of 3141"
"Bee County",48025,29.2,9553,"2936 of 3141"
"Hemphill County",48211,29.3,1218,"2926 of 3141"
"Hale County",48189,29.4,10138,"2923 of 3141"
"Brazoria County",48039,29.4,101654,"2922 of 3141"
"Garza County",48169,29.6,1993,"2905 of 3141"
"Erath County",48143,29.6,12149,"2903 of 3141"
"Chambers County",48071,29.7,11648,"2899 of 3141"
"Reagan County",48383,29.9,1115,"2891 of 3141"
"Walker County",48471,29.9,21201,"2881 of 3141"
"Nacogdoches County",48347,30.0,19595,"2879 of 3141"
"Upton County",48461,30.2,1081,"2864 of 3141"
"Titus County",48449,30.3,9884,"2862 of 3141"
"Ward County",48475,30.3,3480,"2861 of 3141"
"Dawson County",48115,30.3,3965,"2860 of 3141"
"Taylor County",48441,30.4,41220,"2845 of 3141"
"Kaufman County",48257,30.5,34976,"2844 of 3141"
"Rockwall County",48397,30.5,27587,"2838 of 3141"
"Parmer County",48369,30.7,3028,"2829 of 3141"
"McLennan County",48309,30.8,75757,"2818 of 3141"
"Pecos County",48371,30.9,4883,"2813 of 3141"
"Childress County",48075,31.0,2193,"2805 of 3141"
"Madison County",48313,31.2,4362,"2794 of 3141"
"Ellis County",48139,31.2,51204,"2793 of 3141"
"Karnes County",48255,31.3,4705,"2791 of 3141"
"Mitchell County",48335,31.3,2749,"2784 of 3141"
"Hansford County",48195,31.3,1734,"2782 of 3141"
"Guadalupe County",48187,31.4,47322,"2779 of 3141"
"Dimmit County",48127,31.4,3397,"2778 of 3141"
"Hockley County",48219,31.5,7328,"2770 of 3141"
"Jim Wells County",48249,31.6,13058,"2761 of 3141"
"Montgomery County",48339,31.7,169459,"2758 of 3141"
