------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=30&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=30&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Montana by County

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Montana(6,10)",30000,Yes,38 ,36.5, 39.6,491,stable,-0.2 ,-5.5, 5.4
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"Roosevelt County(6,10)",30085,No,63.1 ,43, 89.2,7,stable,14.1 ,-2.5, 33.6
"Sheridan County(6,10)",30091,No,61.2 ,35.1, 102.5,4,stable,-13.0 ,-44.3, 35.9
"Phillips County(6,10)",30071,No,59.9 ,33.8, 100.4,4,stable,39.7 ,-16.2, 133.0
"Big Horn County(6,10)",30003,No,59.9 ,41.4, 83.6,7,stable,29.2 ,-7.8, 81.0
"Valley County(6,10)",30105,No,56.6 ,38.3, 81.8,7,stable,20.5 ,-23.5, 89.7
"Glacier County(6,10)",30035,No,53.7 ,36.7, 75.7,7,stable,4.2 ,-41.9, 87.1
"Blaine County(6,10)",30005,No,53.1 ,32, 83.3,4,stable,-25.7 ,-59.3, 35.7
"Mineral County(6,10)",30061,No,51.6 ,28.2, 90,4,stable,1.0 ,-65.3, 193.6
"Custer County(6,10)",30017,No,49.6 ,34.9, 68.9,8,stable,6.2 ,-55.2, 151.7
"Rosebud County(6,10)",30087,No,46.3 ,29.3, 70.1,5,stable,-6.9 ,-34.1, 31.3
"Sanders County(6,10)",30089,No,46.1 ,30.4, 67.5,7,stable,7.1 ,-30.6, 65.2
"Stillwater County(6,10)",30095,No,44.5 ,29.6, 65.5,6,stable,-22.9 ,-49.0, 16.7
"Lewis and Clark County(6,10)",30049,No,44.4 ,38, 51.6,38,stable,6.2 ,-12.4, 28.9
"Carbon County(6,10)",30009,No,43.4 ,30.1, 62.1,7,stable,-10.5 ,-53.2, 71.3
"Broadwater County(6,10)",30007,No,43 ,24.6, 71.7,4,stable,3.3 ,-50.3, 114.8
"Dawson County(6,10)",30021,No,42.2 ,27.1, 63.3,5,stable,-11.2 ,-37.1, 25.4
"Flathead County(6,10)",30029,No,41.7 ,36.5, 47.5,50,stable,-0.7 ,-13.6, 14.0
"Beaverhead County(6,10)",30001,No,40.9 ,26, 62.1,5,stable,-14.9 ,-42.2, 25.2
"Hill County(6,10)",30041,No,40.3 ,28.4, 55.8,8,stable,-1.4 ,-37.5, 55.5
"Madison County(6,10)",30057,No,40.2 ,26, 61.8,6,stable,1.3 ,-27.3, 41.0
"Powell County(6,10)",30077,Yes,38.6 ,23.2, 62.3,4,stable,19.7 ,-7.4, 54.6
"Yellowstone County(6,10)",30111,Yes,38.6 ,34.6, 43,71,stable,6.9 ,-1.8, 16.5
"Silver Bow County(6,10)",30093,Yes,38.5 ,30.8, 47.7,18,stable,-12.3 ,-42.4, 33.5
"Pondera County(6,10)",30073,Yes,38 ,20.8, 64.7,3,*,*,*,*
"Cascade County(6,10)",30013,Yes,37.8 ,32.6, 43.7,39,rising,3.3 ,1.6, 5.0
"Chouteau County(6,10)",30015,Yes,37.7 ,21.5, 63.6,3,*,*,*,*
"Teton County(6,10)",30099,Yes,37.3 ,20.6, 63.5,3,stable,-20.8 ,-59.7, 55.8
"Fergus County(6,10)",30027,Yes,36.3 ,24.6, 52.6,7,stable,-10.9 ,-52.4, 66.8
"Deer Lodge County(6,10)",30023,Yes,35.2 ,22.3, 54.4,5,stable,32.0 ,-3.8, 81.1
"Park County(6,10)",30067,Yes,34.1 ,24.2, 47.3,8,stable,5.6 ,-26.0, 50.7
"Richland County(6,10)",30083,Yes,32.2 ,19.4, 50.4,4,stable,-0.9 ,-27.8, 35.8
"Lincoln County(6,10)",30053,Yes,31.9 ,23.2, 43.5,11,stable,16.4 ,-24.9, 80.5
"Missoula County(6,10)",30063,Yes,31.4 ,27, 36.4,38,stable,-10.3 ,-22.9, 4.2
"Jefferson County(6,10)",30043,Yes,31.1 ,20, 47.4,6,stable,-21.6 ,-71.3, 114.2
"Gallatin County(6,10)",30031,Yes,30.3 ,25.3, 36,28,stable,-5.7 ,-22.9, 15.4
"Lake County(6,10)",30047,Yes,29.7 ,22.4, 38.9,12,stable,-8.5 ,-22.5, 8.1
"Ravalli County(6,10)",30081,Yes,27.7 ,21.7, 34.9,17,stable,-4.2 ,-18.8, 12.9
"Carter County(6,10)",30011,***,* ,*, *,3 or fewer,*,*,*,*
"Daniels County(6,10)",30019,***,* ,*, *,3 or fewer,*,*,*,*
"Fallon County(6,10)",30025,***,* ,*, *,3 or fewer,*,*,*,*
"Garfield County(6,10)",30033,***,* ,*, *,3 or fewer,*,*,*,*
"Golden Valley County(6,10)",30037,***,* ,*, *,3 or fewer,*,*,*,*
"Granite County(6,10)",30039,***,* ,*, *,3 or fewer,*,*,*,*
"Judith Basin County(6,10)",30045,***,* ,*, *,3 or fewer,*,*,*,*
"Liberty County(6,10)",30051,***,* ,*, *,3 or fewer,*,*,*,*
"McCone County(6,10)",30055,***,* ,*, *,3 or fewer,*,*,*,*
"Meagher County(6,10)",30059,***,* ,*, *,3 or fewer,*,*,*,*
"Musselshell County(6,10)",30065,***,* ,*, *,3 or fewer,*,*,*,*
"Petroleum County(6,10)",30069,***,* ,*, *,3 or fewer,*,*,*,*
"Powder River County(6,10)",30075,***,* ,*, *,3 or fewer,*,*,*,*
"Prairie County(6,10)",30079,***,* ,*, *,3 or fewer,*,*,*,*
"Sweet Grass County(6,10)",30097,***,* ,*, *,3 or fewer,*,*,*,*
"Toole County(6,10)",30101,***,* ,*, *,3 or fewer,*,*,*,*
"Treasure County(6,10)",30103,***,* ,*, *,3 or fewer,*,*,*,*
"Wheatland County(6,10)",30107,***,* ,*, *,3 or fewer,*,*,*,*
"Wibaux County(6,10)",30109,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission.

