------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Mississippi",28000,0.8,8477,"4 of 51"
"United States",00000,4.5,5305440,"N/A"
"Attala County",28007,0.0,0,"1 of 3140"
"Choctaw County",28019,0.0,0,"1 of 3140"
"Clarke County",28023,0.0,0,"1 of 3140"
"Covington County",28031,0.0,0,"1 of 3140"
"Franklin County",28037,0.0,0,"1 of 3140"
"Greene County",28041,0.0,0,"1 of 3140"
"Holmes County",28051,0.0,0,"1 of 3140"
"Humphreys County",28053,0.0,0,"1 of 3140"
"Issaquena County",28055,0.0,0,"1 of 3140"
"Itawamba County",28057,0.0,0,"1 of 3140"
"Jasper County",28061,0.0,0,"1 of 3140"
"Kemper County",28069,0.0,0,"1 of 3140"
"Lawrence County",28077,0.0,0,"1 of 3140"
"Perry County",28111,0.0,0,"1 of 3140"
"Quitman County",28119,0.0,0,"1 of 3140"
"Sharkey County",28125,0.0,0,"1 of 3140"
"Smith County",28129,0.0,0,"1 of 3140"
"Stone County",28131,0.0,0,"1 of 3140"
"Wilkinson County",28157,0.0,0,"1 of 3140"
"Sunflower County",28133,0.0,3,"313 of 3140"
"Simpson County",28127,0.1,9,"396 of 3140"
"Webster County",28155,0.1,4,"408 of 3140"
"Clay County",28025,0.1,9,"428 of 3140"
"Bolivar County",28011,0.1,15,"438 of 3140"
"Jefferson Davis County",28065,0.1,6,"445 of 3140"
"Chickasaw County",28017,0.2,10,"503 of 3140"
"Lamar County",28073,0.2,37,"534 of 3140"
"Wayne County",28153,0.2,14,"556 of 3140"
"Lincoln County",28085,0.2,28,"624 of 3140"
"Claiborne County",28021,0.2,7,"630 of 3140"
"Prentiss County",28117,0.2,21,"631 of 3140"
"Benton County",28009,0.2,7,"658 of 3140"
"Tippah County",28139,0.3,21,"703 of 3140"
"Coahoma County",28027,0.3,24,"720 of 3140"
"Monroe County",28095,0.3,39,"742 of 3140"
"Grenada County",28043,0.3,22,"743 of 3140"
"Amite County",28005,0.3,16,"818 of 3140"
"Jefferson County",28063,0.4,9,"913 of 3140"
"Pearl River County",28109,0.4,78,"928 of 3140"
"Panola County",28107,0.4,47,"930 of 3140"
"Tishomingo County",28141,0.4,30,"960 of 3140"
"Yalobusha County",28161,0.4,21,"982 of 3140"
"Hinds County",28049,0.4,389,"1043 of 3140"
"Tallahatchie County",28135,0.5,21,"1112 of 3140"
"Walthall County",28147,0.5,30,"1141 of 3140"
"George County",28039,0.5,38,"1166 of 3140"
"Noxubee County",28103,0.6,23,"1238 of 3140"
"Yazoo County",28163,0.6,50,"1247 of 3140"
"Carroll County",28015,0.6,21,"1255 of 3140"
"Marion County",28091,0.6,58,"1287 of 3140"
"Lauderdale County",28075,0.6,182,"1297 of 3140"
"Winston County",28159,0.6,46,"1306 of 3140"
"Alcorn County",28003,0.6,93,"1324 of 3140"
"Marshall County",28093,0.6,85,"1346 of 3140"
"Tunica County",28143,0.7,26,"1350 of 3140"
"Washington County",28151,0.7,124,"1385 of 3140"
"Rankin County",28121,0.7,392,"1423 of 3140"
"DeSoto County",28033,0.7,450,"1457 of 3140"
"Newton County",28101,0.7,59,"1458 of 3140"
"Warren County",28149,0.7,139,"1474 of 3140"
"Forrest County",28035,0.8,218,"1508 of 3140"
"Hancock County",28045,0.8,159,"1566 of 3140"
"Leflore County",28083,0.9,94,"1627 of 3140"
"Lafayette County",28071,1.0,199,"1722 of 3140"
"Neshoba County",28099,1.0,109,"1726 of 3140"
"Madison County",28089,1.0,393,"1741 of 3140"
"Lowndes County",28087,1.0,232,"1745 of 3140"
"Leake County",28079,1.0,85,"1754 of 3140"
"Lee County",28081,1.1,345,"1780 of 3140"
"Tate County",28137,1.1,110,"1802 of 3140"
"Jones County",28067,1.1,277,"1822 of 3140"
"Union County",28145,1.1,113,"1833 of 3140"
"Oktibbeha County",28105,1.2,207,"1882 of 3140"
"Copiah County",28029,1.2,120,"1906 of 3140"
"Harrison County",28047,1.3,988,"1938 of 3140"
"Jackson County",28059,1.4,701,"2005 of 3140"
"Montgomery County",28097,1.4,64,"2033 of 3140"
"Calhoun County",28013,1.4,84,"2042 of 3140"
"Pike County",28113,1.6,241,"2163 of 3140"
"Adams County",28001,2.3,261,"2426 of 3140"
"Pontotoc County",28115,2.6,281,"2538 of 3140"
"Scott County",28123,4.9,493,"2858 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
