------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Mississippi",28000,21.5,620007,"51 of 52"
"Rankin County",28121,8.5,12278,"296 of 3141"
"DeSoto County",28033,9.8,16778,"492 of 3141"
"Madison County",28089,12.0,12043,"916 of 3141"
"Carroll County",28015,14.0,1404,"1334 of 3141"
"George County",28039,14.7,3385,"1469 of 3141"
"Greene County",28041,15.1,1572,"1547 of 3141"
"Jackson County",28059,15.3,21344,"1582 of 3141"
"Lamar County",28073,16.3,9776,"1784 of 3141"
"Pontotoc County",28115,17.0,5232,"1946 of 3141"
"Hancock County",28045,17.2,7921,"1981 of 3141"
"Stone County",28131,17.3,2995,"1998 of 3141"
"Lee County",28081,17.3,14466,"2001 of 3141"
"Marshall County",28093,17.8,6032,"2092 of 3141"
"Franklin County",28037,17.9,1369,"2119 of 3141"
"Pearl River County",28109,17.9,9556,"2127 of 3141"
"Union County",28145,18.2,5055,"2181 of 3141"
"Smith County",28129,18.2,2914,"2184 of 3141"
"Itawamba County",28057,18.4,4107,"2209 of 3141"
"Clarke County",28023,18.5,2961,"2230 of 3141"
"Tishomingo County",28141,18.6,3570,"2242 of 3141"
"Monroe County",28095,19.2,6829,"2328 of 3141"
"Tate County",28137,19.3,5099,"2332 of 3141"
"Alcorn County",28003,19.6,7186,"2377 of 3141"
"Lawrence County",28077,19.8,2498,"2399 of 3141"
"Perry County",28111,19.9,2377,"2420 of 3141"
"Benton County",28009,20.2,1663,"2450 of 3141"
"Harrison County",28047,20.5,39854,"2477 of 3141"
"Panola County",28107,20.5,6979,"2488 of 3141"
"Lowndes County",28087,21.1,12243,"2553 of 3141"
"Lauderdale County",28075,21.5,16102,"2607 of 3141"
"Jones County",28067,21.6,14425,"2615 of 3141"
"Neshoba County",28099,22.1,6401,"2664 of 3141"
"Prentiss County",28117,22.5,5449,"2697 of 3141"
"Yalobusha County",28161,22.6,2756,"2703 of 3141"
"Attala County",28007,22.6,4161,"2705 of 3141"
"Tippah County",28139,22.8,4933,"2721 of 3141"
"Amite County",28005,22.8,2846,"2723 of 3141"
"Jasper County",28061,22.8,3766,"2724 of 3141"
"Chickasaw County",28017,22.9,3898,"2730 of 3141"
"Newton County",28101,23.0,4771,"2738 of 3141"
"Covington County",28031,23.1,4363,"2753 of 3141"
"Lincoln County",28085,23.6,8007,"2781 of 3141"
"Warren County",28149,23.7,11152,"2788 of 3141"
"Hinds County",28049,23.9,56200,"2804 of 3141"
"Grenada County",28043,24.2,5070,"2813 of 3141"
"Wayne County",28153,24.3,4889,"2818 of 3141"
"Copiah County",28029,24.3,6782,"2822 of 3141"
"Choctaw County",28019,24.5,1998,"2831 of 3141"
"Leake County",28079,25.1,5566,"2866 of 3141"
"Webster County",28155,25.3,2477,"2881 of 3141"
"Winston County",28159,25.3,4568,"2882 of 3141"
"Lafayette County",28071,25.3,12076,"2883 of 3141"
"Montgomery County",28097,25.6,2604,"2900 of 3141"
"Marion County",28091,25.9,6396,"2908 of 3141"
"Walthall County",28147,26.3,3762,"2925 of 3141"
"Forrest County",28035,26.3,18998,"2928 of 3141"
"Clay County",28025,26.6,5236,"2946 of 3141"
"Calhoun County",28013,26.9,3836,"2959 of 3141"
"Tunica County",28143,27.0,2746,"2963 of 3141"
"Simpson County",28127,27.1,7226,"2967 of 3141"
"Scott County",28123,27.8,7795,"2988 of 3141"
"Tallahatchie County",28135,28.3,3007,"2999 of 3141"
"Sharkey County",28125,29.0,1315,"3013 of 3141"
"Oktibbeha County",28105,29.8,13152,"3025 of 3141"
"Kemper County",28069,31.8,2905,"3061 of 3141"
"Pike County",28113,32.3,12452,"3069 of 3141"
"Sunflower County",28133,32.5,7460,"3071 of 3141"
"Jefferson Davis County",28065,32.5,3697,"3072 of 3141"
"Washington County",28151,33.7,15987,"3084 of 3141"
