------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Mississippi",28000,97.0,2897959,"49 of 52"
"Tallahatchie County",28135,85.0,12376,"514 of 3141"
"Scott County",28123,89.2,25330,"684 of 3141"
"Adams County",28001,91.6,28916,"854 of 3141"
"Pontotoc County",28115,93.8,29135,"1091 of 3141"
"Jackson County",28059,94.1,132972,"1142 of 3141"
"Calhoun County",28013,94.3,13788,"1186 of 3141"
"Yazoo County",28163,94.4,25945,"1196 of 3141"
"Harrison County",28047,94.7,189773,"1250 of 3141"
"DeSoto County",28033,95.2,165014,"1369 of 3141"
"Tippah County",28139,95.3,20967,"1385 of 3141"
"Leake County",28079,95.6,21921,"1446 of 3141"
"Chickasaw County",28017,95.6,16540,"1448 of 3141"
"Jones County",28067,95.7,65407,"1477 of 3141"
"Union County",28145,95.8,27005,"1487 of 3141"
"Hancock County",28045,96.2,44537,"1626 of 3141"
"Marshall County",28093,96.5,34725,"1701 of 3141"
"Forrest County",28035,97.0,73527,"1863 of 3141"
"Alcorn County",28003,97.0,36118,"1875 of 3141"
"Pearl River County",28109,97.0,53414,"1891 of 3141"
"Copiah County",28029,97.0,27898,"1901 of 3141"
"Tishomingo County",28141,97.1,18905,"1908 of 3141"
"Madison County",28089,97.1,99286,"1931 of 3141"
"Humphreys County",28053,97.1,8430,"1936 of 3141"
"George County",28039,97.3,22909,"2025 of 3141"
"Rankin County",28121,97.4,145680,"2050 of 3141"
"Leflore County",28083,97.4,29340,"2080 of 3141"
"Lee County",28081,97.4,82673,"2085 of 3141"
"Lamar County",28073,97.5,58974,"2088 of 3141"
"Tate County",28137,97.5,27618,"2105 of 3141"
"Lafayette County",28071,97.5,51430,"2124 of 3141"
"Benton County",28009,97.5,8102,"2141 of 3141"
"Covington County",28031,97.6,18712,"2164 of 3141"
"Montgomery County",28097,97.7,10074,"2229 of 3141"
"Lauderdale County",28075,97.8,76470,"2247 of 3141"
"Bolivar County",28011,97.9,32425,"2325 of 3141"
"Lowndes County",28087,98.0,58357,"2365 of 3141"
"Attala County",28007,98.0,18355,"2375 of 3141"
"Neshoba County",28099,98.1,28864,"2413 of 3141"
"Stone County",28131,98.1,17636,"2427 of 3141"
"Newton County",28101,98.2,21050,"2491 of 3141"
"Panola County",28107,98.3,33630,"2524 of 3141"
"Kemper County",28069,98.3,9911,"2562 of 3141"
"Oktibbeha County",28105,98.4,48579,"2584 of 3141"
"Smith County",28129,98.4,15849,"2585 of 3141"
"Sunflower County",28133,98.4,26481,"2601 of 3141"
"Pike County",28113,98.4,39141,"2627 of 3141"
"Yalobusha County",28161,98.5,12239,"2675 of 3141"
"Hinds County",28049,98.5,239607,"2684 of 3141"
"Marion County",28091,98.5,25087,"2691 of 3141"
"Itawamba County",28057,98.5,23092,"2695 of 3141"
"Webster County",28155,98.5,9723,"2704 of 3141"
"Washington County",28151,98.5,47305,"2715 of 3141"
"Perry County",28111,98.6,11875,"2734 of 3141"
"Prentiss County",28117,98.6,25036,"2761 of 3141"
"Noxubee County",28103,98.6,10794,"2774 of 3141"
"Quitman County",28119,98.7,7439,"2803 of 3141"
"Monroe County",28095,98.8,35546,"2874 of 3141"
"Winston County",28159,98.8,18267,"2879 of 3141"
"Issaquena County",28055,98.8,1281,"2882 of 3141"
"Greene County",28041,98.9,13645,"2887 of 3141"
"Lincoln County",28085,98.9,34173,"2912 of 3141"
"Clarke County",28023,99.1,15951,"2980 of 3141"
"Franklin County",28037,99.2,7707,"2986 of 3141"
"Tunica County",28143,99.3,10199,"3006 of 3141"
"Clay County",28025,99.4,19862,"3033 of 3141"
"Wayne County",28153,99.4,20327,"3033 of 3141"
"Sharkey County",28125,99.4,4603,"3041 of 3141"
"Warren County",28149,99.4,47228,"3043 of 3141"
"Walthall County",28147,99.4,14583,"3045 of 3141"
"Lawrence County",28077,99.5,12591,"3057 of 3141"
"Simpson County",28127,99.5,27078,"3067 of 3141"
"Choctaw County",28019,99.5,8319,"3069 of 3141"
"Carroll County",28015,99.5,10171,"3070 of 3141"
"Grenada County",28043,99.6,21287,"3079 of 3141"
"Claiborne County",28021,99.6,9073,"3088 of 3141"
"Jefferson Davis County",28065,99.7,11600,"3093 of 3141"
"Wilkinson County",28157,99.7,9058,"3103 of 3141"
"Holmes County",28051,99.7,18217,"3107 of 3141"
"Amite County",28005,99.8,12545,"3116 of 3141"
"Coahoma County",28027,99.9,24261,"3124 of 3141"
"Jefferson County",28063,99.9,7454,"3127 of 3141"
"Jasper County",28061,100.0,16547,"3133 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
