------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Mississippi",28000,48.5,1448717,"8 of 52"
"United States",00000,49.2,158018753,"N/A"
"Coahoma County",28027,46.1,11202,"29 of 3141"
"Montgomery County",28097,46.3,4769,"38 of 3141"
"Clay County",28025,46.4,9273,"43 of 3141"
"Leflore County",28083,46.5,14013,"46 of 3141"
"Hinds County",28049,46.7,113633,"54 of 3141"
"Newton County",28101,46.8,10043,"64 of 3141"
"Claiborne County",28021,46.9,4269,"67 of 3141"
"Tunica County",28143,46.9,4818,"69 of 3141"
"Washington County",28151,46.9,22520,"72 of 3141"
"Sharkey County",28125,47.0,2177,"81 of 3141"
"Clarke County",28023,47.1,7575,"84 of 3141"
"Bolivar County",28011,47.1,15613,"89 of 3141"
"Grenada County",28043,47.2,10097,"102 of 3141"
"Attala County",28007,47.3,8860,"111 of 3141"
"Humphreys County",28053,47.3,4108,"116 of 3141"
"Pike County",28113,47.5,18890,"138 of 3141"
"Noxubee County",28103,47.6,5206,"148 of 3141"
"Warren County",28149,47.6,22609,"153 of 3141"
"Forrest County",28035,47.6,36106,"159 of 3141"
"Holmes County",28051,47.7,8707,"169 of 3141"
"Monroe County",28095,47.7,17148,"173 of 3141"
"Lincoln County",28085,47.8,16495,"182 of 3141"
"Calhoun County",28013,47.8,6994,"201 of 3141"
"Copiah County",28029,47.9,13762,"214 of 3141"
"Neshoba County",28099,47.9,14095,"217 of 3141"
"Lee County",28081,47.9,40635,"223 of 3141"
"Lowndes County",28087,47.9,28531,"224 of 3141"
"Madison County",28089,47.9,48966,"225 of 3141"
"Lamar County",28073,47.9,29006,"228 of 3141"
"Quitman County",28119,48.0,3618,"249 of 3141"
"Covington County",28031,48.1,9219,"277 of 3141"
"Rankin County",28121,48.2,72198,"343 of 3141"
"Tishomingo County",28141,48.3,9400,"352 of 3141"
"Franklin County",28037,48.3,3752,"359 of 3141"
"Panola County",28107,48.4,16553,"403 of 3141"
"DeSoto County",28033,48.4,83838,"420 of 3141"
"Jasper County",28061,48.4,8008,"427 of 3141"
"Chickasaw County",28017,48.5,8393,"496 of 3141"
"Scott County",28123,48.5,13781,"505 of 3141"
"Lafayette County",28071,48.6,25611,"522 of 3141"
"Lawrence County",28077,48.6,6150,"535 of 3141"
"Lauderdale County",28075,48.6,38002,"536 of 3141"
"Perry County",28111,48.6,5858,"564 of 3141"
"Simpson County",28127,48.6,13234,"565 of 3141"
"Smith County",28129,48.6,7838,"578 of 3141"
"Union County",28145,48.7,13727,"600 of 3141"
"Hancock County",28045,48.7,22527,"605 of 3141"
"Prentiss County",28117,48.7,12360,"610 of 3141"
"Winston County",28159,48.7,8998,"614 of 3141"
"Jefferson Davis County",28065,48.7,5671,"635 of 3141"
"Marion County",28091,48.8,12421,"673 of 3141"
"Amite County",28005,48.8,6133,"674 of 3141"
"Jones County",28067,48.8,33332,"679 of 3141"
"Tippah County",28139,48.9,10762,"824 of 3141"
"Wayne County",28153,48.9,10011,"827 of 3141"
"Webster County",28155,49.0,4832,"863 of 3141"
"Walthall County",28147,49.0,7186,"883 of 3141"
"Tate County",28137,49.0,13879,"885 of 3141"
"Choctaw County",28019,49.0,4100,"928 of 3141"
"Yalobusha County",28161,49.1,6101,"987 of 3141"
"Jefferson County",28063,49.2,3671,"1075 of 3141"
"Pearl River County",28109,49.2,27106,"1131 of 3141"
"Alcorn County",28003,49.3,18345,"1153 of 3141"
"Kemper County",28069,49.3,4970,"1197 of 3141"
"Jackson County",28059,49.3,69696,"1220 of 3141"
"Harrison County",28047,49.3,98928,"1246 of 3141"
"Pontotoc County",28115,49.4,15346,"1315 of 3141"
"Marshall County",28093,49.5,17793,"1402 of 3141"
"Adams County",28001,49.6,15680,"1619 of 3141"
"Itawamba County",28057,49.7,11651,"1679 of 3141"
"Leake County",28079,50.3,11534,"2189 of 3141"
"Oktibbeha County",28105,50.3,24860,"2220 of 3141"
"Carroll County",28015,50.5,5157,"2301 of 3141"
"George County",28039,50.5,11894,"2333 of 3141"
"Stone County",28131,50.6,9096,"2359 of 3141"
"Benton County",28009,51.3,4257,"2625 of 3141"
"Sunflower County",28133,52.4,14114,"2848 of 3141"
"Wilkinson County",28157,53.1,4826,"2910 of 3141"
"Yazoo County",28163,54.0,14846,"2981 of 3141"
"Tallahatchie County",28135,58.4,8496,"3087 of 3141"
"Greene County",28041,58.5,8077,"3089 of 3141"
"Issaquena County",28055,58.7,761,"3093 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
