locale,fips,value (percent),people (age under 18),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type,people (age 18-39),people (age 40-64),people (age 40 and over),people (age 50 and over),people (age 65 and over)
United States,0.0,22.9,73601279.0,,999,country,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
Mississippi,28000.0,24.3,726301.0,10 of 52,999,state,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
Issaquena County,28055.0,14.0,181.0,3119 of 3141,999,county,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
Tallahatchie County,28135.0,16.8,2450.0,3001 of 3141,999,county,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
Oktibbeha County,28105.0,17.5,8644.0,2951 of 3141,999,county,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
Lafayette County,28071.0,18.2,9581.0,2869 of 3141,999,county,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
Carroll County,28015.0,19.7,2017.0,2556 of 3141,999,county,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
Greene County,28041.0,20.2,2781.0,2445 of 3141,999,county,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
Kemper County,28069.0,20.4,2056.0,2369 of 3141,999,county,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
Jefferson Davis County,28065.0,20.7,2410.0,2273 of 3141,999,county,2,demographics_013.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,28,pop,manyareacensus,,,,,
