------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Mississippi",28000,2.8,30830,"17 of 52"
"United States",00000,3.3,3975282,"N/A"
"Wilkinson County",28157,0.8,22,"2844 of 3141"
"Clarke County",28023,1.2,75,"2408 of 3141"
"Jackson County",28059,1.2,629,"2343 of 3141"
"Alcorn County",28003,1.3,187,"2297 of 3141"
"Amite County",28005,1.3,67,"2201 of 3141"
"Franklin County",28037,1.4,44,"2115 of 3141"
"Smith County",28129,1.4,84,"2100 of 3141"
"Clay County",28025,1.4,111,"2083 of 3141"
"Monroe County",28095,1.5,204,"2079 of 3141"
"George County",28039,1.5,106,"2066 of 3141"
"Jefferson Davis County",28065,1.5,71,"2051 of 3141"
"Benton County",28009,1.6,47,"1931 of 3141"
"Prentiss County",28117,1.7,158,"1854 of 3141"
"Marshall County",28093,1.7,221,"1812 of 3141"
"Lowndes County",28087,1.8,400,"1741 of 3141"
"Oktibbeha County",28105,1.8,311,"1727 of 3141"
"Yalobusha County",28161,1.9,99,"1589 of 3141"
"Hancock County",28045,1.9,370,"1565 of 3141"
"Coahoma County",28027,2.0,175,"1546 of 3141"
"Rankin County",28121,2.1,1161,"1399 of 3141"
"Madison County",28089,2.2,826,"1348 of 3141"
"Covington County",28031,2.2,150,"1328 of 3141"
"Itawamba County",28057,2.2,196,"1273 of 3141"
"Tishomingo County",28141,2.2,171,"1244 of 3141"
"Wayne County",28153,2.3,179,"1195 of 3141"
