------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Mississippi",28000,8.8,117786,"51 of 52"
"Rankin County",28121,4.5,3352,"806 of 3141"
"Smith County",28129,4.7,317,"900 of 3141"
"Madison County",28089,5.1,2746,"1082 of 3141"
"Yalobusha County",28161,5.3,296,"1189 of 3141"
"Stone County",28131,5.6,452,"1343 of 3141"
"Jasper County",28061,5.7,388,"1357 of 3141"
"Lafayette County",28071,5.7,1492,"1404 of 3141"
"DeSoto County",28033,6.1,5529,"1576 of 3141"
"Itawamba County",28057,6.1,610,"1595 of 3141"
"Marshall County",28093,6.2,942,"1635 of 3141"
"Lee County",28081,6.3,2556,"1684 of 3141"
"Pontotoc County",28115,6.3,920,"1701 of 3141"
"Walthall County",28147,6.7,398,"1909 of 3141"
"Kemper County",28069,6.8,260,"1980 of 3141"
"Prentiss County",28117,7.0,711,"2034 of 3141"
"Carroll County",28015,7.0,283,"2066 of 3141"
"Lauderdale County",28075,7.2,2494,"2117 of 3141"
"Monroe County",28095,7.4,1155,"2176 of 3141"
"Franklin County",28037,7.4,231,"2197 of 3141"
"Lincoln County",28085,7.5,1052,"2222 of 3141"
"Panola County",28107,7.6,1037,"2261 of 3141"
"Chickasaw County",28017,7.6,556,"2281 of 3141"
"Newton County",28101,7.7,676,"2317 of 3141"
"Tate County",28137,7.7,974,"2323 of 3141"
"Pike County",28113,7.7,1174,"2330 of 3141"
"Jones County",28067,7.8,2285,"2363 of 3141"
"Warren County",28149,7.9,1671,"2401 of 3141"
"George County",28039,8.2,720,"2492 of 3141"
"Jackson County",28059,8.3,5454,"2500 of 3141"
"Marion County",28091,8.3,828,"2507 of 3141"
"Union County",28145,8.3,1050,"2524 of 3141"
"Calhoun County",28013,8.4,482,"2541 of 3141"
"Neshoba County",28099,8.5,1146,"2573 of 3141"
"Alcorn County",28003,8.6,1398,"2583 of 3141"
"Hancock County",28045,8.7,1800,"2594 of 3141"
"Covington County",28031,8.8,712,"2628 of 3141"
"Tippah County",28139,8.9,891,"2659 of 3141"
"Clarke County",28023,9.1,613,"2688 of 3141"
"Montgomery County",28097,9.1,408,"2692 of 3141"
"Leake County",28079,9.2,892,"2700 of 3141"
"Lamar County",28073,9.2,2802,"2703 of 3141"
"Lawrence County",28077,9.3,486,"2737 of 3141"
"Webster County",28155,9.4,363,"2748 of 3141"
"Harrison County",28047,9.4,8777,"2757 of 3141"
"Oktibbeha County",28105,9.5,2173,"2766 of 3141"
"Jefferson County",28063,9.6,195,"2798 of 3141"
"Winston County",28159,9.9,800,"2824 of 3141"
"Simpson County",28127,9.9,1136,"2837 of 3141"
"Hinds County",28049,10.0,11700,"2840 of 3141"
"Pearl River County",28109,10.0,2354,"2862 of 3141"
"Tunica County",28143,10.2,476,"2876 of 3141"
"Perry County",28111,10.2,484,"2878 of 3141"
"Attala County",28007,10.3,781,"2896 of 3141"
"Grenada County",28043,10.4,922,"2904 of 3141"
"Choctaw County",28019,10.4,354,"2908 of 3141"
"Wayne County",28153,10.4,909,"2911 of 3141"
"Jefferson Davis County",28065,10.7,469,"2935 of 3141"
"Tishomingo County",28141,10.8,952,"2940 of 3141"
"Amite County",28005,10.8,553,"2943 of 3141"
"Scott County",28123,10.9,1336,"2946 of 3141"
"Adams County",28001,10.9,1253,"2952 of 3141"
"Clay County",28025,11.3,978,"2968 of 3141"
"Lowndes County",28087,11.4,3092,"2974 of 3141"
"Greene County",28041,11.7,525,"2997 of 3141"
"Forrest County",28035,11.9,4348,"3007 of 3141"
