------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Mississippi",28000,1.0,29456,"48 of 52"
"United States",00000,5.5,17756436,"N/A"
"Benton County",28009,0.0,0,"2927 of 3141"
"Clarke County",28023,0.0,0,"2927 of 3141"
"Greene County",28041,0.0,0,"2927 of 3141"
"Grenada County",28043,0.0,0,"2927 of 3141"
"Issaquena County",28055,0.0,0,"2927 of 3141"
"Jasper County",28061,0.0,0,"2927 of 3141"
"Jefferson Davis County",28065,0.0,0,"2927 of 3141"
"Kemper County",28069,0.0,0,"2927 of 3141"
"Stone County",28131,0.0,0,"2927 of 3141"
"Panola County",28107,0.0,4,"2918 of 3141"
"Franklin County",28037,0.0,2,"2905 of 3141"
"Lawrence County",28077,0.0,4,"2897 of 3141"
"Winston County",28159,0.0,6,"2893 of 3141"
"Noxubee County",28103,0.0,4,"2885 of 3141"
"Smith County",28129,0.0,7,"2876 of 3141"
"Wilkinson County",28157,0.1,6,"2844 of 3141"
"Quitman County",28119,0.1,6,"2822 of 3141"
"Perry County",28111,0.1,11,"2803 of 3141"
"Tishomingo County",28141,0.1,18,"2798 of 3141"
"Chickasaw County",28017,0.1,18,"2767 of 3141"
"Marshall County",28093,0.1,43,"2739 of 3141"
"Sunflower County",28133,0.1,37,"2704 of 3141"
"Prentiss County",28117,0.1,37,"2687 of 3141"
"Webster County",28155,0.2,15,"2678 of 3141"
"Humphreys County",28053,0.2,14,"2664 of 3141"
"Yalobusha County",28161,0.2,21,"2648 of 3141"
"Leake County",28079,0.2,41,"2624 of 3141"
"Hancock County",28045,0.2,85,"2615 of 3141"
"Itawamba County",28057,0.2,46,"2591 of 3141"
"Choctaw County",28019,0.2,17,"2571 of 3141"
"Copiah County",28029,0.2,65,"2530 of 3141"
"Simpson County",28127,0.2,62,"2528 of 3141"
"Monroe County",28095,0.2,87,"2503 of 3141"
"Scott County",28123,0.3,73,"2479 of 3141"
"Amite County",28005,0.3,34,"2455 of 3141"
"Alcorn County",28003,0.3,107,"2413 of 3141"
"Montgomery County",28097,0.3,30,"2405 of 3141"
"Holmes County",28051,0.3,61,"2317 of 3141"
"Covington County",28031,0.3,65,"2301 of 3141"
"Pearl River County",28109,0.3,188,"2294 of 3141"
"Tate County",28137,0.3,97,"2291 of 3141"
"Neshoba County",28099,0.4,109,"2226 of 3141"
"Yazoo County",28163,0.4,105,"2198 of 3141"
"Sharkey County",28125,0.4,19,"2127 of 3141"
"Claiborne County",28021,0.4,39,"2074 of 3141"
"Jefferson County",28063,0.4,32,"2071 of 3141"
"Attala County",28007,0.4,82,"2049 of 3141"
"Newton County",28101,0.5,97,"2005 of 3141"
"Wayne County",28153,0.5,94,"1989 of 3141"
"Walthall County",28147,0.5,68,"1981 of 3141"
"Calhoun County",28013,0.5,68,"1977 of 3141"
"Warren County",28149,0.5,229,"1925 of 3141"
"Pike County",28113,0.5,192,"1922 of 3141"
"Marion County",28091,0.5,125,"1904 of 3141"
"Tippah County",28139,0.5,116,"1818 of 3141"
"Coahoma County",28027,0.5,132,"1771 of 3141"
"Jones County",28067,0.6,413,"1655 of 3141"
"Adams County",28001,0.6,197,"1610 of 3141"
"Washington County",28151,0.6,311,"1564 of 3141"
"Clay County",28025,0.7,130,"1560 of 3141"
"Carroll County",28015,0.7,69,"1515 of 3141"
"Lauderdale County",28075,0.7,550,"1458 of 3141"
"Leflore County",28083,0.7,216,"1429 of 3141"
"Lincoln County",28085,0.7,254,"1386 of 3141"
"Pontotoc County",28115,0.8,241,"1334 of 3141"
"Lee County",28081,0.8,708,"1258 of 3141"
"George County",28039,0.9,201,"1234 of 3141"
"Hinds County",28049,0.9,2099,"1221 of 3141"
"Forrest County",28035,0.9,668,"1201 of 3141"
"Tunica County",28143,0.9,91,"1191 of 3141"
"Bolivar County",28011,0.9,309,"1142 of 3141"
"Lowndes County",28087,1.0,609,"1051 of 3141"
"Union County",28145,1.1,305,"991 of 3141"
"Rankin County",28121,1.2,1766,"916 of 3141"
"DeSoto County",28033,1.2,2116,"879 of 3141"
"Lamar County",28073,1.4,843,"773 of 3141"
"Tallahatchie County",28135,1.7,244,"635 of 3141"
"Lafayette County",28071,2.2,1135,"495 of 3141"
"Jackson County",28059,2.3,3182,"475 of 3141"
"Madison County",28089,2.5,2551,"429 of 3141"
"Oktibbeha County",28105,2.9,1457,"342 of 3141"
"Harrison County",28047,3.0,5973,"335 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
