------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Mississippi",28000,86.3,2547230,"14 of 51"
"Oktibbeha County",28105,73.5,35876,"3105 of 3140"
"Lafayette County",28071,74.0,38584,"3099 of 3140"
"Forrest County",28035,78.2,58484,"3025 of 3140"
"Harrison County",28047,79.1,156683,"2990 of 3140"
"Tunica County",28143,80.9,8244,"2860 of 3140"
"Lamar County",28073,81.2,48478,"2841 of 3140"
"Issaquena County",28055,81.8,1048,"2782 of 3140"
"Pontotoc County",28115,82.8,25334,"2648 of 3140"
"Attala County",28007,83.4,15398,"2563 of 3140"
"Lauderdale County",28075,83.8,64892,"2472 of 3140"
"Rankin County",28121,84.4,125119,"2368 of 3140"
"Hinds County",28049,84.4,202760,"2364 of 3140"
"Lee County",28081,84.8,71022,"2271 of 3140"
"Lowndes County",28087,84.9,49926,"2249 of 3140"
"Greene County",28041,85.1,11681,"2197 of 3140"
"Prentiss County",28117,85.4,21461,"2110 of 3140"
"DeSoto County",28033,85.7,146634,"2043 of 3140"
"Coahoma County",28027,85.9,20513,"1975 of 3140"
"Hancock County",28045,85.9,39341,"1961 of 3140"
"Simpson County",28127,86.2,23252,"1902 of 3140"
"Alcorn County",28003,86.4,31864,"1845 of 3140"
"Tishomingo County",28141,86.7,16692,"1716 of 3140"
"Webster County",28155,86.7,8447,"1716 of 3140"
"Grenada County",28043,86.8,18455,"1680 of 3140"
"Itawamba County",28057,86.8,20081,"1661 of 3140"
"Tate County",28137,86.9,24366,"1642 of 3140"
"Pearl River County",28109,87.1,47439,"1583 of 3140"
"Yazoo County",28163,87.3,23730,"1514 of 3140"
"Madison County",28089,87.3,88290,"1497 of 3140"
"Jackson County",28059,87.4,122231,"1476 of 3140"
"Sunflower County",28133,87.4,23222,"1456 of 3140"
"Tallahatchie County",28135,87.6,12676,"1417 of 3140"
"Union County",28145,87.8,24463,"1355 of 3140"
"Winston County",28159,87.8,16089,"1348 of 3140"
"Neshoba County",28099,87.8,25510,"1328 of 3140"
"Perry County",28111,87.9,10499,"1289 of 3140"
"Marion County",28091,88.1,22128,"1233 of 3140"
"Washington County",28151,88.1,41531,"1229 of 3140"
"Bolivar County",28011,88.1,28824,"1224 of 3140"
"Leake County",28079,88.3,19995,"1158 of 3140"
"Montgomery County",28097,88.3,9026,"1152 of 3140"
"Chickasaw County",28017,88.4,15126,"1139 of 3140"
"Benton County",28009,88.5,7311,"1102 of 3140"
"Scott County",28123,88.5,24849,"1090 of 3140"
"Choctaw County",28019,88.9,7357,"947 of 3140"
"Pike County",28113,89.0,34976,"913 of 3140"
"Yalobusha County",28161,89.0,10895,"895 of 3140"
"Quitman County",28119,89.7,6687,"724 of 3140"
"Tippah County",28139,89.8,19509,"677 of 3140"
"Calhoun County",28013,89.8,13025,"671 of 3140"
"Panola County",28107,90.0,30449,"634 of 3140"
"Sharkey County",28125,90.0,4144,"630 of 3140"
"George County",28039,90.2,21014,"590 of 3140"
"Clay County",28025,90.2,17721,"577 of 3140"
"Walthall County",28147,90.5,13028,"516 of 3140"
"Kemper County",28069,90.5,9005,"515 of 3140"
"Newton County",28101,90.7,19333,"471 of 3140"
"Noxubee County",28103,90.8,9829,"440 of 3140"
"Warren County",28149,91.0,42630,"410 of 3140"
"Jefferson Davis County",28065,91.1,10476,"397 of 3140"
"Monroe County",28095,91.2,32392,"379 of 3140"
"Leflore County",28083,91.2,27201,"370 of 3140"
"Marshall County",28093,91.6,32692,"291 of 3140"
"Lincoln County",28085,91.9,31374,"249 of 3140"
"Wilkinson County",28157,91.9,8258,"238 of 3140"
"Jasper County",28061,92.2,15127,"207 of 3140"
"Copiah County",28029,92.3,26241,"202 of 3140"
"Jones County",28067,92.7,62325,"170 of 3140"
"Lawrence County",28077,93.1,11654,"132 of 3140"
"Stone County",28131,93.4,16647,"112 of 3140"
"Adams County",28001,93.5,29208,"107 of 3140"
"Humphreys County",28053,93.8,8023,"90 of 3140"
"Clarke County",28023,93.9,14870,"83 of 3140"
"Covington County",28031,94.2,17804,"69 of 3140"
"Smith County",28129,94.3,15046,"62 of 3140"
"Franklin County",28037,94.6,7258,"51 of 3140"
"Holmes County",28051,94.7,17063,"48 of 3140"
"Carroll County",28015,94.9,9631,"41 of 3140"
"Wayne County",28153,95.2,19221,"35 of 3140"
"Claiborne County",28021,95.3,8542,"32 of 3140"
"Amite County",28005,95.6,11993,"25 of 3140"
"Jefferson County",28063,97.5,7008,"2 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
