------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Mississippi",28000,2.3,69284,"16 of 51"
"Humphreys County",28053,0.1,5,"22 of 3140"
"Smith County",28129,0.1,13,"25 of 3140"
"Sharkey County",28125,0.2,8,"38 of 3140"
"Winston County",28159,0.3,53,"74 of 3140"
"Covington County",28031,0.3,55,"75 of 3140"
"Wayne County",28153,0.3,61,"83 of 3140"
"Calhoun County",28013,0.3,45,"87 of 3140"
"Jefferson County",28063,0.3,23,"93 of 3140"
"Panola County",28107,0.4,124,"113 of 3140"
"Jones County",28067,0.4,251,"114 of 3140"
"Amite County",28005,0.4,50,"121 of 3140"
"Monroe County",28095,0.5,166,"162 of 3140"
"Holmes County",28051,0.5,86,"165 of 3140"
"Jasper County",28061,0.5,89,"210 of 3140"
"Newton County",28101,0.5,117,"213 of 3140"
"Jefferson Davis County",28065,0.6,67,"232 of 3140"
"Franklin County",28037,0.6,46,"246 of 3140"
"Carroll County",28015,0.7,69,"314 of 3140"
"Issaquena County",28055,0.9,11,"479 of 3140"
"Chickasaw County",28017,0.9,148,"488 of 3140"
"Sunflower County",28133,0.9,230,"492 of 3140"
"Lincoln County",28085,0.9,297,"494 of 3140"
"Itawamba County",28057,0.9,205,"510 of 3140"
"Clarke County",28023,0.9,141,"521 of 3140"
"Wilkinson County",28157,0.9,83,"557 of 3140"
"Lawrence County",28077,0.9,116,"561 of 3140"
"Tishomingo County",28141,1.0,184,"598 of 3140"
"Prentiss County",28117,1.0,247,"627 of 3140"
"Greene County",28041,1.0,141,"674 of 3140"
"Choctaw County",28019,1.0,86,"687 of 3140"
"Simpson County",28127,1.1,290,"727 of 3140"
"Copiah County",28029,1.1,318,"788 of 3140"
"Leflore County",28083,1.2,343,"827 of 3140"
"Bolivar County",28011,1.2,384,"860 of 3140"
"Adams County",28001,1.2,372,"883 of 3140"
"Union County",28145,1.2,336,"907 of 3140"
"Neshoba County",28099,1.2,361,"947 of 3140"
"Leake County",28079,1.3,285,"962 of 3140"
"Kemper County",28069,1.3,127,"982 of 3140"
"Marshall County",28093,1.3,459,"999 of 3140"
"Warren County",28149,1.3,619,"1037 of 3140"
"Lee County",28081,1.4,1131,"1069 of 3140"
"Claiborne County",28021,1.4,124,"1111 of 3140"
"Tate County",28137,1.5,414,"1219 of 3140"
"Scott County",28123,1.5,423,"1266 of 3140"
"Clay County",28025,1.6,306,"1326 of 3140"
"Grenada County",28043,1.6,333,"1330 of 3140"
"George County",28039,1.6,372,"1366 of 3140"
"Benton County",28009,1.6,132,"1372 of 3140"
"Montgomery County",28097,1.6,165,"1387 of 3140"
"Hinds County",28049,1.7,3969,"1437 of 3140"
"Attala County",28007,1.7,312,"1479 of 3140"
"Stone County",28131,1.7,305,"1507 of 3140"
"Washington County",28151,1.7,816,"1526 of 3140"
"Tunica County",28143,1.9,191,"1670 of 3140"
"Tippah County",28139,1.9,414,"1698 of 3140"
"Quitman County",28119,1.9,143,"1708 of 3140"
"Jackson County",28059,2.0,2829,"1804 of 3140"
"Noxubee County",28103,2.0,219,"1807 of 3140"
"Rankin County",28121,2.1,3134,"1886 of 3140"
"Coahoma County",28027,2.2,515,"1917 of 3140"
"Yalobusha County",28161,2.2,267,"1944 of 3140"
"Madison County",28089,2.2,2256,"1982 of 3140"
"Perry County",28111,2.2,268,"1987 of 3140"
"Forrest County",28035,2.3,1713,"2017 of 3140"
"Marion County",28091,2.3,579,"2029 of 3140"
"Pontotoc County",28115,2.4,741,"2110 of 3140"
"Webster County",28155,2.4,237,"2112 of 3140"
"Lowndes County",28087,2.8,1644,"2337 of 3140"
"Lamar County",28073,2.8,1671,"2340 of 3140"
"Pike County",28113,2.9,1127,"2379 of 3140"
"Lauderdale County",28075,3.0,2346,"2465 of 3140"
"Alcorn County",28003,3.2,1172,"2534 of 3140"
"Walthall County",28147,3.3,472,"2585 of 3140"
"Hancock County",28045,3.6,1636,"2689 of 3140"
"Pearl River County",28109,3.6,1964,"2703 of 3140"
"Yazoo County",28163,4.4,1197,"2882 of 3140"
"DeSoto County",28033,4.4,7537,"2884 of 3140"
"Oktibbeha County",28105,5.2,2521,"2986 of 3140"
"Harrison County",28047,5.8,11465,"3035 of 3140"
"Lafayette County",28071,7.4,3885,"3103 of 3140"
"Tallahatchie County",28135,8.5,1228,"3124 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
