------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"Mississippi",28000,16.6,325278,"49 of 52"
"Madison County",28089,9.1,6097,"806 of 3141"
"Lamar County",28073,9.4,3706,"893 of 3141"
"Rankin County",28121,10.3,10505,"1108 of 3141"
"Lafayette County",28071,10.5,3161,"1166 of 3141"
"DeSoto County",28033,10.6,11910,"1185 of 3141"
"Oktibbeha County",28105,11.9,2989,"1471 of 3141"
"Jackson County",28059,12.2,11588,"1515 of 3141"
"Warren County",28149,12.8,4068,"1641 of 3141"
"Harrison County",28047,13.0,17100,"1675 of 3141"
"Forrest County",28035,13.3,6213,"1737 of 3141"
"Lincoln County",28085,13.4,3085,"1740 of 3141"
"Hinds County",28049,13.7,21200,"1784 of 3141"
"Lauderdale County",28075,13.8,7198,"1802 of 3141"
"Webster County",28155,14.8,996,"1960 of 3141"
"Hancock County",28045,15.3,4972,"2022 of 3141"
"Lowndes County",28087,15.3,6010,"2033 of 3141"
"Franklin County",28037,15.5,837,"2056 of 3141"
"Pearl River County",28109,15.8,5881,"2104 of 3141"
"Jasper County",28061,15.9,1787,"2118 of 3141"
"Newton County",28101,16.7,2280,"2225 of 3141"
"Lee County",28081,16.8,9373,"2239 of 3141"
"Stone County",28131,17.4,2038,"2328 of 3141"
"Jones County",28067,17.8,7988,"2366 of 3141"
"Carroll County",28015,17.9,1278,"2376 of 3141"
"Covington County",28031,18.3,2299,"2406 of 3141"
"Choctaw County",28019,18.6,1075,"2431 of 3141"
"Lawrence County",28077,18.6,1563,"2432 of 3141"
"Yalobusha County",28161,19.0,1625,"2489 of 3141"
