------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Mississippi",28000,33.9,1012079,"38 of 52"
"United States",00000,34.5,110609456,"N/A"
"Oktibbeha County",28105,24.1,11908,"3109 of 3141"
"Lafayette County",28071,26.3,13882,"3064 of 3141"
"Tunica County",28143,28.1,2883,"2983 of 3141"
"Forrest County",28035,29.4,22331,"2918 of 3141"
"Lamar County",28073,29.5,17857,"2911 of 3141"
"DeSoto County",28033,30.2,52335,"2865 of 3141"
"Yazoo County",28163,30.5,8379,"2842 of 3141"
"Sunflower County",28133,30.5,8217,"2836 of 3141"
"Leflore County",28083,30.5,9198,"2835 of 3141"
"Hinds County",28049,31.3,76082,"2787 of 3141"
"Tallahatchie County",28135,31.6,4603,"2759 of 3141"
"Madison County",28089,31.9,32635,"2735 of 3141"
"Holmes County",28051,32.1,5864,"2715 of 3141"
"George County",28039,32.4,7621,"2687 of 3141"
"Coahoma County",28027,32.5,7898,"2674 of 3141"
"Greene County",28041,32.5,4487,"2673 of 3141"
"Bolivar County",28011,32.7,10825,"2655 of 3141"
"Rankin County",28121,32.7,48925,"2653 of 3141"
"Harrison County",28047,32.7,65616,"2648 of 3141"
"Claiborne County",28021,32.9,2993,"2630 of 3141"
"Lee County",28081,32.9,27929,"2627 of 3141"
"Scott County",28123,33.0,9379,"2612 of 3141"
"Pontotoc County",28115,33.2,10320,"2594 of 3141"
"Neshoba County",28099,33.6,9894,"2551 of 3141"
"Leake County",28079,33.8,7753,"2532 of 3141"
"Newton County",28101,33.8,7252,"2529 of 3141"
"Stone County",28131,34.2,6141,"2474 of 3141"
"Lowndes County",28087,34.2,20350,"2472 of 3141"
"Union County",28145,34.2,9658,"2460 of 3141"
"Panola County",28107,34.5,11809,"2438 of 3141"
"Washington County",28151,34.5,16571,"2433 of 3141"
