------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Mississippi",28000,3.7,107992,"37 of 51"
"Adams County",28001,0.5,155,"15 of 3140"
"Noxubee County",28103,0.8,89,"27 of 3140"
"Tallahatchie County",28135,1.1,161,"64 of 3140"
"Humphreys County",28053,1.2,104,"77 of 3140"
"Warren County",28149,1.4,643,"117 of 3140"
"Clarke County",28023,1.4,221,"121 of 3140"
"Washington County",28151,1.5,706,"146 of 3140"
"Coahoma County",28027,1.6,377,"174 of 3140"
"Tippah County",28139,1.7,376,"225 of 3140"
"Franklin County",28037,1.9,145,"283 of 3140"
"Jefferson County",28063,1.9,139,"304 of 3140"
"Jones County",28067,1.9,1300,"305 of 3140"
"Carroll County",28015,2.0,198,"317 of 3140"
"Jackson County",28059,2.0,2760,"325 of 3140"
"Yazoo County",28163,2.1,570,"385 of 3140"
"Leflore County",28083,2.1,626,"388 of 3140"
"Pike County",28113,2.2,846,"419 of 3140"
"Claiborne County",28021,2.2,196,"435 of 3140"
"DeSoto County",28033,2.2,3791,"455 of 3140"
"Lincoln County",28085,2.2,757,"456 of 3140"
"Pearl River County",28109,2.2,1212,"459 of 3140"
"Hancock County",28045,2.2,1028,"470 of 3140"
"Tishomingo County",28141,2.3,437,"485 of 3140"
"Lowndes County",28087,2.3,1347,"494 of 3140"
"Quitman County",28119,2.3,171,"497 of 3140"
"Clay County",28025,2.3,458,"517 of 3140"
"Walthall County",28147,2.3,338,"527 of 3140"
"Union County",28145,2.4,661,"537 of 3140"
"Wayne County",28153,2.4,482,"550 of 3140"
"Lawrence County",28077,2.4,300,"554 of 3140"
"Yalobusha County",28161,2.5,306,"623 of 3140"
"Amite County",28005,2.5,316,"636 of 3140"
"Holmes County",28051,2.5,455,"641 of 3140"
"Copiah County",28029,2.5,720,"648 of 3140"
"Lauderdale County",28075,2.6,1994,"676 of 3140"
"Smith County",28129,2.6,415,"700 of 3140"
"Stone County",28131,2.6,468,"714 of 3140"
"Grenada County",28043,2.7,572,"762 of 3140"
"Scott County",28123,2.8,789,"852 of 3140"
"Sharkey County",28125,2.8,131,"872 of 3140"
"Calhoun County",28013,2.9,415,"890 of 3140"
"Montgomery County",28097,2.9,300,"939 of 3140"
"Monroe County",28095,3.0,1059,"966 of 3140"
"Covington County",28031,3.0,571,"984 of 3140"
"Jefferson Davis County",28065,3.1,362,"1080 of 3140"
"Perry County",28111,3.2,377,"1091 of 3140"
"Bolivar County",28011,3.2,1056,"1145 of 3140"
"Panola County",28107,3.2,1094,"1149 of 3140"
"Alcorn County",28003,3.2,1197,"1158 of 3140"
"Marshall County",28093,3.3,1169,"1186 of 3140"
"Hinds County",28049,3.3,8021,"1217 of 3140"
"Neshoba County",28099,3.4,975,"1230 of 3140"
"George County",28039,3.6,847,"1452 of 3140"
"Harrison County",28047,3.7,7269,"1482 of 3140"
"Webster County",28155,3.7,359,"1496 of 3140"
"Jasper County",28061,3.9,637,"1630 of 3140"
"Leake County",28079,4.0,898,"1685 of 3140"
"Benton County",28009,4.0,334,"1730 of 3140"
"Chickasaw County",28017,4.1,696,"1747 of 3140"
"Lee County",28081,4.2,3488,"1801 of 3140"
"Marion County",28091,4.2,1050,"1811 of 3140"
"Kemper County",28069,4.4,434,"1907 of 3140"
"Choctaw County",28019,4.4,363,"1920 of 3140"
"Attala County",28007,4.7,871,"2112 of 3140"
"Winston County",28159,4.8,873,"2142 of 3140"
"Prentiss County",28117,4.8,1209,"2159 of 3140"
"Pontotoc County",28115,4.9,1485,"2180 of 3140"
"Simpson County",28127,5.0,1348,"2258 of 3140"
"Newton County",28101,5.0,1073,"2275 of 3140"
"Rankin County",28121,5.4,8047,"2456 of 3140"
"Madison County",28089,5.7,5785,"2562 of 3140"
"Sunflower County",28133,6.0,1594,"2630 of 3140"
"Wilkinson County",28157,6.1,547,"2653 of 3140"
"Lafayette County",28071,6.2,3251,"2688 of 3140"
"Tate County",28137,7.2,2029,"2864 of 3140"
"Itawamba County",28057,7.3,1699,"2878 of 3140"
"Oktibbeha County",28105,7.6,3716,"2914 of 3140"
"Forrest County",28035,8.1,6043,"2964 of 3140"
"Tunica County",28143,8.7,888,"3005 of 3140"
"Lamar County",28073,10.3,6177,"3070 of 3140"
"Greene County",28041,10.4,1431,"3076 of 3140"
"Issaquena County",28055,15.2,195,"3129 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
