------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Oregon",41000,9.8,97467,"27 of 52"
"United States",00000,10.5,8253388,"N/A"
"Gilliam County",41021,2.1,11,"23 of 3141"
"Sherman County",41055,5.9,27,"385 of 3141"
"Hood River County",41027,6.0,329,"411 of 3141"
"Clackamas County",41005,6.1,6410,"436 of 3141"
"Washington County",41067,7.1,10227,"658 of 3141"
"Clatsop County",41007,7.1,686,"662 of 3141"
"Columbia County",41009,7.7,993,"815 of 3141"
"Benton County",41003,8.0,1562,"894 of 3141"
"Deschutes County",41017,8.1,3787,"902 of 3141"
"Grant County",41023,8.6,172,"1047 of 3141"
"Tillamook County",41057,9.0,583,"1144 of 3141"
"Curry County",41015,9.2,535,"1195 of 3141"
"Polk County",41053,9.5,1880,"1286 of 3141"
"Crook County",41013,10.0,606,"1404 of 3141"
"Wasco County",41065,10.0,659,"1417 of 3141"
"Yamhill County",41071,10.5,2651,"1520 of 3141"
"Multnomah County",41051,10.5,18275,"1530 of 3141"
"Wallowa County",41063,10.6,207,"1546 of 3141"
"Lane County",41039,10.7,9370,"1563 of 3141"
"Baker County",41001,11.0,485,"1656 of 3141"
"Morrow County",41049,11.0,326,"1671 of 3141"
"Marion County",41047,11.3,8942,"1738 of 3141"
"Linn County",41043,11.3,3569,"1744 of 3141"
"Jackson County",41029,11.9,6568,"1872 of 3141"
"Douglas County",41019,12.1,3559,"1922 of 3141"
"Union County",41061,12.1,796,"1925 of 3141"
"Lincoln County",41041,12.4,1528,"1968 of 3141"
"Wheeler County",41069,12.6,51,"2024 of 3141"
"Harney County",41025,12.8,260,"2055 of 3141"
"Coos County",41011,12.9,2131,"2081 of 3141"
"Jefferson County",41031,12.9,696,"2082 of 3141"
"Klamath County",41035,13.2,2315,"2135 of 3141"
"Umatilla County",41059,13.5,2466,"2191 of 3141"
"Josephine County",41033,13.6,3095,"2216 of 3141"
"Lake County",41037,18.5,395,"2805 of 3141"
"Malheur County",41045,18.9,1315,"2829 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
