------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Oregon",41000,12.7,509507,"15 of 52"
"United States",00000,17.6,56510571,"N/A"
"Wallowa County",41063,2.7,186,"2019 of 3141"
"Grant County",41023,3.6,257,"1682 of 3141"
"Baker County",41001,3.9,631,"1577 of 3141"
"Sherman County",41055,4.5,73,"1436 of 3141"
"Union County",41061,4.6,1182,"1408 of 3141"
"Columbia County",41009,4.8,2434,"1350 of 3141"
"Harney County",41025,5.0,359,"1321 of 3141"
"Douglas County",41019,5.5,5899,"1223 of 3141"
"Wheeler County",41069,6.1,86,"1113 of 3141"
"Coos County",41011,6.3,3954,"1085 of 3141"
"Curry County",41015,6.8,1515,"1020 of 3141"
"Josephine County",41033,7.1,6031,"984 of 3141"
"Benton County",41003,7.1,6307,"982 of 3141"
"Crook County",41013,7.6,1641,"930 of 3141"
"Deschutes County",41017,7.8,13684,"905 of 3141"
"Lake County",41037,7.9,614,"900 of 3141"
"Gilliam County",41021,8.1,154,"892 of 3141"
"Clatsop County",41007,8.3,3159,"871 of 3141"
"Clackamas County",41005,8.4,33558,"861 of 3141"
"Lane County",41039,8.4,30653,"857 of 3141"
"Linn County",41043,8.7,10483,"837 of 3141"
"Lincoln County",41041,8.9,4188,"818 of 3141"
"Tillamook County",41057,10.3,2663,"710 of 3141"
"Multnomah County",41051,11.3,88966,"657 of 3141"
"Jackson County",41029,12.2,25928,"611 of 3141"
"Klamath County",41035,12.3,8126,"606 of 3141"
"Polk County",41053,13.4,10673,"563 of 3141"
"Yamhill County",41071,15.7,16097,"489 of 3141"
"Washington County",41067,16.4,94012,"467 of 3141"
"Wasco County",41065,17.4,4463,"445 of 3141"
"Jefferson County",41031,19.8,4495,"384 of 3141"
"Umatilla County",41059,26.0,19939,"280 of 3141"
"Marion County",41047,26.0,85971,"279 of 3141"
"Hood River County",41027,31.1,7136,"216 of 3141"
"Malheur County",41045,33.1,10078,"203 of 3141"
"Morrow County",41049,35.1,3912,"183 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
