------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Oregon",41000,32.6,1312838,"28 of 52"
"Benton County",41003,27.7,24401,"158 of 3141"
"Malheur County",41045,28.8,8752,"258 of 3141"
"Polk County",41053,30.0,23861,"391 of 3141"
"Marion County",41047,30.6,101030,"502 of 3141"
"Umatilla County",41059,30.7,23594,"537 of 3141"
"Union County",41061,30.9,7983,"584 of 3141"
"Lane County",41039,31.6,114783,"767 of 3141"
"Wasco County",41065,31.6,8117,"776 of 3141"
"Linn County",41043,32.0,38739,"906 of 3141"
"Yamhill County",41071,32.1,32861,"945 of 3141"
"Multnomah County",41051,32.3,255015,"1048 of 3141"
"Jefferson County",41031,32.5,7369,"1098 of 3141"
"Washington County",41067,32.5,185918,"1113 of 3141"
"Wheeler County",41069,32.9,465,"1270 of 3141"
"Jackson County",41029,33.0,69910,"1320 of 3141"
"Baker County",41001,33.0,5277,"1346 of 3141"
"Gilliam County",41021,33.2,634,"1429 of 3141"
"Klamath County",41035,33.4,22050,"1529 of 3141"
"Morrow County",41049,33.5,3738,"1603 of 3141"
"Crook County",41013,33.6,7297,"1635 of 3141"
"Harney County",41025,33.7,2424,"1701 of 3141"
"Douglas County",41019,33.7,36244,"1703 of 3141"
"Josephine County",41033,33.8,28536,"1738 of 3141"
"Coos County",41011,33.8,21282,"1773 of 3141"
"Hood River County",41027,33.8,7762,"1785 of 3141"
"Clatsop County",41007,34.4,13095,"2096 of 3141"
"Deschutes County",41017,34.5,60431,"2109 of 3141"
"Tillamook County",41057,34.8,8980,"2235 of 3141"
"Lake County",41037,34.8,2717,"2273 of 3141"
"Curry County",41015,34.9,7803,"2305 of 3141"
"Clackamas County",41005,35.2,140803,"2442 of 3141"
"Grant County",41023,35.6,2569,"2592 of 3141"
"Wallowa County",41063,35.7,2453,"2622 of 3141"
"Lincoln County",41041,36.1,17096,"2743 of 3141"
"Columbia County",41009,36.3,18246,"2797 of 3141"
"Sherman County",41055,36.9,603,"2901 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
