------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Oregon",41000,3.1,49434,"13 of 52"
"United States",00000,3.3,3975282,"N/A"
"Sherman County",41055,0.1,1,"3087 of 3141"
"Wheeler County",41069,0.3,2,"3058 of 3141"
"Lake County",41037,0.9,31,"2735 of 3141"
"Gilliam County",41021,1.1,9,"2484 of 3141"
"Columbia County",41009,1.6,316,"1865 of 3141"
"Polk County",41053,1.9,542,"1635 of 3141"
"Curry County",41015,1.9,194,"1627 of 3141"
"Wallowa County",41063,2.0,61,"1545 of 3141"
"Deschutes County",41017,2.2,1502,"1341 of 3141"
"Clatsop County",41007,2.2,351,"1304 of 3141"
"Wasco County",41065,2.2,225,"1280 of 3141"
"Benton County",41003,2.3,796,"1211 of 3141"
"Lane County",41039,2.3,3495,"1156 of 3141"
"Grant County",41023,2.4,75,"1142 of 3141"
"Harney County",41025,2.4,74,"1103 of 3141"
"Lincoln County",41041,2.4,501,"1088 of 3141"
"Clackamas County",41005,2.5,3847,"1017 of 3141"
"Douglas County",41019,2.5,1136,"996 of 3141"
"Baker County",41001,2.7,187,"918 of 3141"
"Linn County",41043,2.7,1234,"910 of 3141"
"Coos County",41011,2.8,750,"808 of 3141"
"Jackson County",41029,2.9,2501,"785 of 3141"
"Tillamook County",41057,2.9,307,"772 of 3141"
"Union County",41061,3.2,329,"636 of 3141"
"Klamath County",41035,3.2,872,"632 of 3141"
"Multnomah County",41051,3.4,10865,"549 of 3141"
"Washington County",41067,3.5,7531,"509 of 3141"
"Yamhill County",41071,3.6,1279,"500 of 3141"
"Josephine County",41033,3.8,1336,"439 of 3141"
"Jefferson County",41031,4.6,348,"272 of 3141"
"Crook County",41013,4.6,428,"267 of 3141"
"Marion County",41047,4.7,5422,"255 of 3141"
"Hood River County",41027,5.2,448,"197 of 3141"
"Malheur County",41045,5.6,572,"181 of 3141"
"Umatilla County",41059,5.6,1524,"175 of 3141"
"Morrow County",41049,8.7,343,"68 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
