------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Oregon",41000,49.5,1993822,"32 of 52"
"Wallowa County",41063,48.0,3297,"260 of 3141"
"Lincoln County",41041,48.2,22779,"298 of 3141"
"Wheeler County",41069,48.5,686,"476 of 3141"
"Polk County",41053,48.6,38699,"530 of 3141"
"Curry County",41015,48.7,10898,"621 of 3141"
"Jackson County",41029,48.8,103422,"667 of 3141"
"Josephine County",41033,48.9,41320,"783 of 3141"
"Crook County",41013,48.9,10627,"825 of 3141"
"Coos County",41011,49.0,30820,"880 of 3141"
"Clackamas County",41005,49.2,196834,"1104 of 3141"
"Lane County",41039,49.3,179116,"1177 of 3141"
"Union County",41061,49.4,12738,"1264 of 3141"
"Linn County",41043,49.4,59757,"1270 of 3141"
"Washington County",41067,49.4,282381,"1277 of 3141"
"Douglas County",41019,49.4,53134,"1333 of 3141"
"Deschutes County",41017,49.4,86629,"1356 of 3141"
"Multnomah County",41051,49.5,390542,"1500 of 3141"
"Clatsop County",41007,49.7,18909,"1703 of 3141"
"Marion County",41047,49.8,164623,"1779 of 3141"
"Wasco County",41065,49.8,12804,"1802 of 3141"
"Klamath County",41035,50.0,32995,"1926 of 3141"
"Yamhill County",41071,50.0,51188,"1953 of 3141"
"Columbia County",41009,50.2,25179,"2068 of 3141"
"Hood River County",41027,50.2,11512,"2104 of 3141"
"Gilliam County",41021,50.4,962,"2247 of 3141"
"Harney County",41025,50.5,3633,"2325 of 3141"
"Benton County",41003,50.5,44598,"2342 of 3141"
"Tillamook County",41057,50.5,13059,"2344 of 3141"
"Grant County",41023,50.6,3647,"2361 of 3141"
"Baker County",41001,51.0,8156,"2549 of 3141"
"Jefferson County",41031,51.1,11605,"2578 of 3141"
"Morrow County",41049,51.3,5724,"2638 of 3141"
"Umatilla County",41059,52.1,40006,"2803 of 3141"
"Sherman County",41055,52.8,864,"2884 of 3141"
"Lake County",41037,53.3,4165,"2930 of 3141"
"Malheur County",41045,54.3,16514,"2999 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
