------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"Oregon",41000,32.3,902927,"18 of 52"
"Morrow County",41049,9.8,694,"3040 of 3141"
"Malheur County",41045,13.2,2601,"2629 of 3141"
"Lake County",41037,14.8,860,"2352 of 3141"
"Wheeler County",41069,15.8,175,"2162 of 3141"
"Umatilla County",41059,15.9,7949,"2121 of 3141"
"Jefferson County",41031,16.9,2612,"1947 of 3141"
"Douglas County",41019,17.0,13399,"1944 of 3141"
"Josephine County",41033,17.6,10938,"1823 of 3141"
"Sherman County",41055,17.6,230,"1822 of 3141"
"Crook County",41013,17.9,2898,"1780 of 3141"
"Coos County",41011,18.6,8693,"1646 of 3141"
"Linn County",41043,18.6,15536,"1642 of 3141"
"Columbia County",41009,18.6,6632,"1641 of 3141"
"Klamath County",41035,18.9,8725,"1586 of 3141"
"Harney County",41025,19.2,995,"1540 of 3141"
"Gilliam County",41021,19.2,264,"1530 of 3141"
"Wasco County",41065,19.8,3531,"1442 of 3141"
"Grant County",41023,20.5,1133,"1308 of 3141"
"Tillamook County",41057,20.7,3978,"1269 of 3141"
"Marion County",41047,22.6,48762,"1033 of 3141"
"Baker County",41001,22.6,2677,"1032 of 3141"
"Curry County",41015,23.5,4186,"937 of 3141"
"Union County",41061,24.0,4122,"873 of 3141"
"Lincoln County",41041,24.1,8722,"865 of 3141"
"Clatsop County",41007,24.5,6699,"839 of 3141"
"Yamhill County",41071,25.4,17299,"776 of 3141"
"Wallowa County",41063,25.8,1388,"748 of 3141"
"Jackson County",41029,26.8,40372,"666 of 3141"
"Lane County",41039,29.6,73114,"510 of 3141"
"Hood River County",41027,30.2,4662,"469 of 3141"
"Polk County",41053,30.6,15602,"445 of 3141"
"Deschutes County",41017,33.7,42453,"311 of 3141"
"Clackamas County",41005,35.4,99049,"249 of 3141"
"Washington County",41067,42.4,164526,"118 of 3141"
"Multnomah County",41051,43.8,248722,"103 of 3141"
"Benton County",41003,53.8,28729,"26 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
