------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Oregon",41000,84.9,3416776,"15 of 52"
"Jefferson County",41031,70.0,15886,"2557 of 3141"
"Washington County",41067,77.4,442693,"2335 of 3141"
"Multnomah County",41051,77.8,613778,"2318 of 3141"
"Marion County",41047,82.3,271804,"2112 of 3141"
"Umatilla County",41059,85.2,65378,"1964 of 3141"
"Benton County",41003,86.6,76444,"1862 of 3141"
"Malheur County",41045,87.1,26489,"1833 of 3141"
"Wasco County",41065,87.4,22448,"1816 of 3141"
"Morrow County",41049,87.4,9748,"1815 of 3141"
"Hood River County",41027,87.4,20049,"1814 of 3141"
"Lane County",41039,87.7,318753,"1788 of 3141"
"Lincoln County",41041,88.1,41697,"1740 of 3141"
"Klamath County",41035,88.2,58231,"1731 of 3141"
"Yamhill County",41071,88.2,90333,"1725 of 3141"
"Coos County",41011,88.4,55605,"1708 of 3141"
"Clackamas County",41005,88.6,354269,"1682 of 3141"
"Polk County",41053,88.9,70830,"1655 of 3141"
"Clatsop County",41007,90.8,34512,"1486 of 3141"
"Harney County",41025,90.9,6540,"1466 of 3141"
"Lake County",41037,91.2,7117,"1432 of 3141"
"Jackson County",41029,91.4,193846,"1405 of 3141"
"Curry County",41015,91.6,20499,"1378 of 3141"
"Linn County",41043,91.7,111010,"1366 of 3141"
"Tillamook County",41057,91.8,23725,"1347 of 3141"
"Josephine County",41033,92.2,77880,"1299 of 3141"
"Union County",41061,92.2,23802,"1288 of 3141"
"Douglas County",41019,92.5,99558,"1252 of 3141"
"Crook County",41013,92.6,20118,"1240 of 3141"
"Columbia County",41009,93.0,46685,"1197 of 3141"
"Baker County",41001,93.3,14907,"1139 of 3141"
"Gilliam County",41021,93.4,1783,"1121 of 3141"
"Deschutes County",41017,93.6,164057,"1088 of 3141"
"Wheeler County",41069,94.3,1334,"970 of 3141"
"Grant County",41023,94.8,6835,"863 of 3141"
"Wallowa County",41063,95.6,6561,"715 of 3141"
"Sherman County",41055,96.1,1572,"573 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
