------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Oregon",41000,14.9,587248,"31 of 52"
"Clackamas County",41005,9.0,35549,"349 of 3141"
"Gilliam County",41021,9.9,188,"510 of 3141"
"Washington County",41067,10.3,58214,"585 of 3141"
"Deschutes County",41017,12.1,21102,"934 of 3141"
"Hood River County",41027,12.1,2756,"945 of 3141"
"Clatsop County",41007,12.2,4548,"950 of 3141"
"Columbia County",41009,12.3,6102,"965 of 3141"
"Grant County",41023,13.7,970,"1269 of 3141"
"Sherman County",41055,13.7,223,"1271 of 3141"
"Wasco County",41065,13.7,3449,"1273 of 3141"
"Yamhill County",41071,13.7,13334,"1278 of 3141"
"Wallowa County",41063,13.7,927,"1285 of 3141"
"Morrow County",41049,14.7,1635,"1480 of 3141"
"Baker County",41001,15.3,2356,"1587 of 3141"
"Crook County",41013,15.3,3311,"1601 of 3141"
"Polk County",41053,15.4,11949,"1607 of 3141"
"Curry County",41015,15.5,3429,"1626 of 3141"
"Tillamook County",41057,15.5,3894,"1634 of 3141"
"Marion County",41047,15.9,51053,"1724 of 3141"
"Linn County",41043,16.1,19278,"1754 of 3141"
"Multnomah County",41051,16.4,126836,"1805 of 3141"
"Jackson County",41029,16.7,35120,"1891 of 3141"
"Douglas County",41019,17.0,18075,"1945 of 3141"
"Union County",41061,17.4,4365,"2034 of 3141"
"Harney County",41025,17.5,1239,"2041 of 3141"
"Umatilla County",41059,17.8,12817,"2106 of 3141"
"Coos County",41011,17.9,11105,"2128 of 3141"
"Lincoln County",41041,18.4,8578,"2206 of 3141"
"Josephine County",41033,18.6,15529,"2244 of 3141"
"Klamath County",41035,18.7,12202,"2263 of 3141"
"Lane County",41039,18.8,66941,"2277 of 3141"
"Lake County",41037,20.0,1448,"2429 of 3141"
"Wheeler County",41069,20.6,287,"2492 of 3141"
"Benton County",41003,20.7,17119,"2499 of 3141"
"Jefferson County",41031,20.9,4559,"2521 of 3141"
"Malheur County",41045,25.2,6761,"2870 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
