------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=53&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=53&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Washington by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Washington(5)",53000,No,42.9 ,41.9, 43.8,1733,31.0
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Lincoln County(6)",53043,No,59.9 ,34.7, 97.7,4,36.8
"Skagit County(7)",53057,No,54 ,46.4, 62.6,41,35.5
"Stevens County(6)",53065,No,51.8 ,39.8, 66.6,15,38.1
"Thurston County(7)",53067,No,49.7 ,44.8, 55,82,35.8
"Okanogan County(6)",53047,No,48.3 ,36.2, 63.1,13,37.3
"Benton County(6)",53005,No,47.7 ,41.7, 54.2,49,34.0
"Klickitat County(6)",53039,No,47.6 ,32, 68.8,7,36.8
"Whatcom County(7)",53073,No,47.3 ,41.7, 53.4,57,32.7
"Mason County(7)",53045,No,47.2 ,37.5, 58.8,19,29.8
"Snohomish County(7)",53061,No,46.9 ,44, 50,199,33.4
"Pierce County(7)",53053,No,46.6 ,43.8, 49.6,215,32.4
"Pend Oreille County(6)",53051,No,46.3 ,26.8, 75.9,4,29.2
"Lewis County(6)",53041,No,46 ,37.7, 55.8,24,40.1
"Kitsap County(7)",53035,No,45.8 ,40.9, 51.1,71,31.7
"Pacific County(6)",53049,No,45.2 ,30.7, 65.5,8,34.8
"Grays Harbor County(7)",53027,No,45.1 ,36.8, 55,23,37.1
"Clallam County(7)",53009,No,44.9 ,36.3, 55.1,26,29.2
"King County(7)",53033,No,44.1 ,42.4, 45.9,507,30.6
"Cowlitz County(6)",53015,No,43.5 ,36.2, 51.9,28,29.9
"San Juan County(7)",53055,No,43.4 ,25.5, 70.5,5,28.0
"Grant County(6)",53025,No,43.2 ,34.9, 52.9,19,34.3
"Adams County(6)",53001,No,43 ,25.2, 68.1,4,40.9
"Clark County(6)",53011,No,42.9 ,39.3, 46.8,109,30.7
"Kittitas County(6)",53037,Yes,41.4 ,29.6, 56.4,9,35.4
"Spokane County(6)",53063,Yes,41.2 ,37.7, 44.8,116,29.4
"Chelan County(6)",53007,Yes,40.8 ,32.5, 50.6,19,33.5
"Yakima County(6)",53077,Yes,40.8 ,35.9, 46.2,52,35.5
"Walla Walla County(6)",53071,Yes,40.2 ,30.3, 52.2,13,29.8
"Island County(7)",53029,Yes,39.9 ,32.3, 49,23,30.4
"Whitman County(6)",53075,Yes,38.9 ,26.3, 55.2,7,30.8
"Franklin County(6)",53021,Yes,37.3 ,28.7, 47.7,13,38.8
