------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Oregon",41000,4.5,181508,"14 of 52"
"United States",00000,5.5,17756436,"N/A"
"Sherman County",41055,0.1,2,"2734 of 3141"
"Wheeler County",41069,0.4,5,"2271 of 3141"
"Wallowa County",41063,0.4,26,"2207 of 3141"
"Grant County",41023,0.4,28,"2179 of 3141"
"Harney County",41025,0.6,40,"1749 of 3141"
"Josephine County",41033,0.7,552,"1554 of 3141"
"Curry County",41015,0.7,147,"1550 of 3141"
"Gilliam County",41021,0.7,14,"1394 of 3141"
"Crook County",41013,0.8,165,"1351 of 3141"
"Morrow County",41049,0.9,97,"1215 of 3141"
"Umatilla County",41059,1.0,738,"1113 of 3141"
"Jefferson County",41031,1.0,229,"1066 of 3141"
"Douglas County",41019,1.0,1102,"1047 of 3141"
"Klamath County",41035,1.1,714,"991 of 3141"
"Tillamook County",41057,1.1,291,"957 of 3141"
"Baker County",41001,1.1,183,"942 of 3141"
"Lake County",41037,1.2,96,"870 of 3141"
"Clatsop County",41007,1.3,481,"843 of 3141"
"Coos County",41011,1.3,808,"832 of 3141"
"Deschutes County",41017,1.3,2252,"831 of 3141"
"Linn County",41043,1.3,1627,"801 of 3141"
"Columbia County",41009,1.4,716,"754 of 3141"
"Lincoln County",41041,1.4,680,"749 of 3141"
"Jackson County",41029,1.5,3157,"719 of 3141"
"Wasco County",41065,1.5,388,"705 of 3141"
"Yamhill County",41071,1.7,1696,"646 of 3141"
"Malheur County",41045,1.7,513,"627 of 3141"
"Hood River County",41027,1.9,436,"571 of 3141"
"Union County",41061,2.2,557,"493 of 3141"
"Polk County",41053,2.4,1907,"446 of 3141"
"Lane County",41039,2.8,10201,"364 of 3141"
"Marion County",41047,2.8,9286,"362 of 3141"
"Clackamas County",41005,4.4,17599,"195 of 3141"
"Benton County",41003,6.9,6089,"89 of 3141"
"Multnomah County",41051,7.6,60214,"74 of 3141"
"Washington County",41067,10.2,58472,"53 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
