------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Oregon",41000,21.5,864256,"40 of 52"
"United States",00000,22.9,73601279,"N/A"
"Sherman County",41055,14.9,243,"3102 of 3141"
"Curry County",41015,15.2,3408,"3090 of 3141"
"Wheeler County",41069,15.8,224,"3064 of 3141"
"Benton County",41003,16.7,14764,"3009 of 3141"
"Lincoln County",41041,17.2,8158,"2971 of 3141"
"Wallowa County",41063,17.9,1230,"2908 of 3141"
"Grant County",41023,18.3,1322,"2836 of 3141"
"Coos County",41011,18.6,11707,"2806 of 3141"
"Lake County",41037,18.8,1464,"2782 of 3141"
"Lane County",41039,19.0,68950,"2743 of 3141"
"Tillamook County",41057,19.1,4929,"2724 of 3141"
"Crook County",41013,19.5,4231,"2626 of 3141"
"Douglas County",41019,19.5,21009,"2606 of 3141"
"Multnomah County",41051,19.6,154230,"2601 of 3141"
"Clatsop County",41007,19.6,7453,"2591 of 3141"
"Baker County",41001,19.6,3136,"2588 of 3141"
"Josephine County",41033,19.6,16589,"2584 of 3141"
"Jackson County",41029,20.9,44384,"2195 of 3141"
"Deschutes County",41017,21.2,37122,"2093 of 3141"
"Harney County",41025,21.2,1525,"2088 of 3141"
"Klamath County",41035,21.7,14308,"1921 of 3141"
"Columbia County",41009,22.0,11056,"1760 of 3141"
"Clackamas County",41005,22.1,88417,"1725 of 3141"
"Union County",41061,22.2,5733,"1670 of 3141"
"Gilliam County",41021,22.3,426,"1620 of 3141"
"Wasco County",41065,22.6,5814,"1492 of 3141"
"Linn County",41043,23.1,27978,"1267 of 3141"
"Yamhill County",41071,23.1,23666,"1265 of 3141"
"Polk County",41053,23.3,18556,"1179 of 3141"
"Jefferson County",41031,23.9,5435,"908 of 3141"
"Washington County",41067,24.0,137113,"893 of 3141"
"Hood River County",41027,24.7,5663,"637 of 3141"
"Marion County",41047,25.3,83462,"486 of 3141"
"Malheur County",41045,25.4,7731,"463 of 3141"
"Umatilla County",41059,25.7,19745,"403 of 3141"
"Morrow County",41049,27.6,3075,"203 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
