------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Oregon",41000,6.8,138139,"32 of 52"
"Morrow County",41049,4.8,241,"954 of 3141"
"Sherman County",41055,4.9,39,"1007 of 3141"
"Wallowa County",41063,4.9,158,"1026 of 3141"
"Hood River County",41027,5.1,606,"1095 of 3141"
"Tillamook County",41057,5.5,581,"1264 of 3141"
"Deschutes County",41017,5.5,4873,"1285 of 3141"
"Washington County",41067,5.6,17238,"1315 of 3141"
"Clackamas County",41005,5.6,11767,"1336 of 3141"
"Lincoln County",41041,6.5,1303,"1777 of 3141"
"Clatsop County",41007,6.5,1190,"1814 of 3141"
"Wasco County",41065,6.5,783,"1816 of 3141"
"Union County",41061,6.5,788,"1840 of 3141"
"Yamhill County",41071,6.6,3244,"1881 of 3141"
"Benton County",41003,6.7,3006,"1926 of 3141"
"Multnomah County",41051,6.8,30245,"1953 of 3141"
"Marion County",41047,6.8,10657,"1956 of 3141"
"Lake County",41037,6.9,226,"2016 of 3141"
"Baker County",41001,7.3,503,"2162 of 3141"
"Gilliam County",41021,7.5,61,"2238 of 3141"
"Jackson County",41029,7.5,7512,"2239 of 3141"
"Columbia County",41009,7.5,1739,"2243 of 3141"
"Grant County",41023,7.6,246,"2283 of 3141"
"Lane County",41039,7.6,13820,"2294 of 3141"
"Wheeler County",41069,8.3,45,"2510 of 3141"
"Polk County",41053,8.3,3156,"2520 of 3141"
"Crook County",41013,8.3,802,"2526 of 3141"
"Umatilla County",41059,8.3,2917,"2531 of 3141"
"Malheur County",41045,8.6,1018,"2585 of 3141"
"Linn County",41043,8.8,4957,"2639 of 3141"
"Douglas County",41019,8.9,4008,"2651 of 3141"
"Josephine County",41033,9.0,2995,"2668 of 3141"
"Klamath County",41035,9.1,2593,"2683 of 3141"
"Coos County",41011,9.2,2447,"2704 of 3141"
"Curry County",41015,9.9,847,"2823 of 3141"
"Jefferson County",41031,11.9,1095,"3009 of 3141"
"Harney County",41025,13.1,433,"3048 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
