------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Oregon",41000,24.3,961157,"32 of 52"
"Clackamas County",41005,14.7,58455,"220 of 3141"
"Washington County",41067,17.5,98874,"437 of 3141"
"Deschutes County",41017,20.2,35275,"774 of 3141"
"Sherman County",41055,21.6,353,"966 of 3141"
"Columbia County",41009,22.1,10993,"1026 of 3141"
"Yamhill County",41071,22.1,21531,"1027 of 3141"
"Gilliam County",41021,23.5,448,"1217 of 3141"
"Polk County",41053,23.9,18627,"1275 of 3141"
"Wallowa County",41063,24.1,1627,"1298 of 3141"
"Hood River County",41027,24.1,5464,"1300 of 3141"
"Wasco County",41065,24.4,6164,"1352 of 3141"
"Clatsop County",41007,24.5,9141,"1358 of 3141"
"Multnomah County",41051,24.9,192373,"1426 of 3141"
"Grant County",41023,25.6,1818,"1536 of 3141"
"Tillamook County",41057,25.8,6487,"1559 of 3141"
"Baker County",41001,27.1,4179,"1744 of 3141"
"Linn County",41043,27.3,32771,"1781 of 3141"
"Curry County",41015,27.4,6084,"1796 of 3141"
"Morrow County",41049,27.5,3055,"1809 of 3141"
"Jackson County",41029,27.6,57827,"1818 of 3141"
"Douglas County",41019,27.6,29343,"1833 of 3141"
"Marion County",41047,28.1,90068,"1888 of 3141"
"Lane County",41039,29.2,103785,"2032 of 3141"
"Benton County",41003,29.2,24206,"2044 of 3141"
"Umatilla County",41059,29.7,21400,"2104 of 3141"
"Crook County",41013,30.1,6490,"2145 of 3141"
"Lincoln County",41041,30.3,14135,"2177 of 3141"
"Harney County",41025,30.6,2169,"2212 of 3141"
"Coos County",41011,31.2,19337,"2280 of 3141"
"Union County",41061,32.2,8055,"2377 of 3141"
"Jefferson County",41031,32.3,7065,"2389 of 3141"
"Klamath County",41035,32.9,21409,"2440 of 3141"
"Wheeler County",41069,33.3,464,"2483 of 3141"
"Josephine County",41033,34.5,28825,"2594 of 3141"
"Lake County",41037,36.1,2615,"2725 of 3141"
"Malheur County",41045,38.2,10245,"2853 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
