------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Oregon",41000,10.1,402488,"47 of 51"
"Wheeler County",41069,0.9,13,"24 of 3140"
"Hood River County",41027,3.7,835,"424 of 3140"
"Sherman County",41055,4.1,67,"572 of 3140"
"Polk County",41053,5.9,4664,"1385 of 3140"
"Crook County",41013,6.7,1451,"1769 of 3140"
"Morrow County",41049,6.8,745,"1807 of 3140"
"Yamhill County",41071,7.0,7064,"1858 of 3140"
"Columbia County",41009,7.1,3501,"1895 of 3140"
"Wasco County",41065,7.1,1801,"1908 of 3140"
"Wallowa County",41063,7.1,484,"1909 of 3140"
"Lake County",41037,7.4,574,"2057 of 3140"
"Gilliam County",41021,7.5,143,"2085 of 3140"
"Tillamook County",41057,7.6,1951,"2136 of 3140"
"Clackamas County",41005,8.0,31541,"2263 of 3140"
"Curry County",41015,8.3,1853,"2371 of 3140"
"Harney County",41025,8.5,604,"2396 of 3140"
"Jefferson County",41031,8.5,1897,"2398 of 3140"
"Lincoln County",41041,8.8,4120,"2494 of 3140"
"Josephine County",41033,8.8,7393,"2509 of 3140"
"Linn County",41043,9.1,10860,"2582 of 3140"
"Clatsop County",41007,9.4,3526,"2650 of 3140"
"Grant County",41023,9.7,691,"2718 of 3140"
"Coos County",41011,9.7,6054,"2725 of 3140"
"Marion County",41047,9.8,31893,"2736 of 3140"
"Washington County",41067,9.8,55504,"2749 of 3140"
"Umatilla County",41059,9.9,7455,"2757 of 3140"
"Baker County",41001,10.0,1584,"2794 of 3140"
"Deschutes County",41017,10.2,17806,"2829 of 3140"
"Malheur County",41045,10.4,3140,"2861 of 3140"
"Multnomah County",41051,10.8,84122,"2900 of 3140"
"Douglas County",41019,10.8,11541,"2910 of 3140"
"Klamath County",41035,10.9,7095,"2920 of 3140"
"Benton County",41003,11.5,10100,"3000 of 3140"
"Union County",41061,11.9,3033,"3031 of 3140"
"Jackson County",41029,13.2,27797,"3093 of 3140"
"Lane County",41039,13.8,49586,"3110 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
