------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"Oregon",41000,36.2,1457321,"16 of 52"
"Washington County",41067,30.4,173770,"2851 of 3141"
"Multnomah County",41051,30.5,240486,"2840 of 3141"
"Benton County",41003,32.8,28969,"2636 of 3141"
"Umatilla County",41059,32.9,25277,"2624 of 3141"
"Marion County",41047,32.9,108859,"2623 of 3141"
"Malheur County",41045,33.4,10166,"2581 of 3141"
"Morrow County",41049,34.7,3874,"2399 of 3141"
"Hood River County",41027,34.9,8013,"2370 of 3141"
"Polk County",41053,35.2,28081,"2319 of 3141"
"Yamhill County",41071,35.4,36267,"2292 of 3141"
"Lane County",41039,37.9,137932,"1799 of 3141"
"Linn County",41043,38.0,46044,"1782 of 3141"
"Clackamas County",41005,38.4,153634,"1700 of 3141"
"Jefferson County",41031,38.5,8746,"1679 of 3141"
"Union County",41061,39.2,10107,"1543 of 3141"
"Deschutes County",41017,39.6,69372,"1436 of 3141"
"Wasco County",41065,40.6,10431,"1187 of 3141"
"Columbia County",41009,40.7,20433,"1169 of 3141"
"Klamath County",41035,41.0,27090,"1098 of 3141"
"Jackson County",41029,41.6,88295,"983 of 3141"
"Clatsop County",41007,43.4,16504,"702 of 3141"
"Harney County",41025,45.8,3298,"428 of 3141"
"Douglas County",41019,46.7,50284,"357 of 3141"
"Baker County",41001,47.3,7557,"315 of 3141"
"Josephine County",41033,47.4,40024,"312 of 3141"
"Tillamook County",41057,47.4,12252,"307 of 3141"
"Crook County",41013,47.6,10348,"296 of 3141"
"Lake County",41037,47.7,3727,"288 of 3141"
"Gilliam County",41021,47.8,913,"285 of 3141"
"Coos County",41011,48.0,30217,"272 of 3141"
"Lincoln County",41041,51.3,24291,"128 of 3141"
"Grant County",41023,52.7,3801,"92 of 3141"
"Sherman County",41055,53.3,871,"78 of 3141"
"Wallowa County",41063,53.9,3699,"61 of 3141"
"Curry County",41015,57.4,12844,"28 of 3141"
"Wheeler County",41069,59.7,845,"15 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
