------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Oregon",41000,9.8,273693,"23 of 52"
"United States",00000,12.7,27437114,"N/A"
"Benton County",41003,4.6,2438,"65 of 3141"
"Deschutes County",41017,6.5,8230,"281 of 3141"
"Clackamas County",41005,6.8,19102,"324 of 3141"
"Wheeler County",41069,7.1,79,"358 of 3141"
"Sherman County",41055,7.1,93,"360 of 3141"
"Wallowa County",41063,7.1,385,"364 of 3141"
"Union County",41061,7.3,1245,"390 of 3141"
"Lane County",41039,8.5,21015,"677 of 3141"
"Clatsop County",41007,8.5,2333,"679 of 3141"
"Washington County",41067,8.7,33619,"716 of 3141"
"Multnomah County",41051,9.0,51182,"794 of 3141"
"Polk County",41053,9.3,4728,"865 of 3141"
"Columbia County",41009,9.5,3386,"920 of 3141"
"Linn County",41043,9.8,8163,"978 of 3141"
"Baker County",41001,9.9,1171,"1006 of 3141"
"Tillamook County",41057,10.1,1935,"1048 of 3141"
"Curry County",41015,10.1,1807,"1061 of 3141"
"Grant County",41023,10.2,561,"1074 of 3141"
"Harney County",41025,10.3,534,"1103 of 3141"
"Coos County",41011,10.5,4892,"1159 of 3141"
"Lincoln County",41041,10.6,3826,"1176 of 3141"
"Douglas County",41019,10.6,8360,"1180 of 3141"
"Jackson County",41029,10.7,16188,"1217 of 3141"
"Josephine County",41033,10.9,6751,"1239 of 3141"
"Gilliam County",41021,11.1,152,"1284 of 3141"
"Yamhill County",41071,11.7,7958,"1418 of 3141"
"Crook County",41013,12.1,1965,"1505 of 3141"
"Klamath County",41035,12.6,5822,"1613 of 3141"
"Wasco County",41065,13.8,2458,"1787 of 3141"
"Jefferson County",41031,14.3,2208,"1880 of 3141"
"Marion County",41047,15.1,32616,"2001 of 3141"
"Lake County",41037,15.3,894,"2035 of 3141"
"Umatilla County",41059,18.0,8991,"2387 of 3141"
"Malheur County",41045,18.9,3719,"2468 of 3141"
"Hood River County",41027,20.4,3138,"2634 of 3141"
"Morrow County",41049,24.7,1749,"2950 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
