------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Oregon",41000,12.9,90755,"19 of 51"
"Douglas County",41019,9.6,2014,"368 of 3139"
"Josephine County",41033,10.2,2034,"519 of 3139"
"Baker County",41001,10.4,307,"561 of 3139"
"Gilliam County",41021,10.8,32,"631 of 3139"
"Linn County",41043,10.9,2691,"657 of 3139"
"Wallowa County",41063,10.9,130,"657 of 3139"
"Coos County",41011,11.1,1485,"697 of 3139"
"Crook County",41013,11.1,512,"697 of 3139"
"Grant County",41023,11.3,146,"736 of 3139"
"Union County",41061,11.3,629,"736 of 3139"
"Curry County",41015,11.4,457,"756 of 3139"
"Columbia County",41009,11.5,924,"770 of 3139"
"Lane County",41039,11.5,8916,"770 of 3139"
"Harney County",41025,11.6,177,"789 of 3139"
"Deschutes County",41017,12.0,3297,"859 of 3139"
"Malheur County",41045,12.0,902,"859 of 3139"
"Yamhill County",41071,12.0,1962,"859 of 3139"
"Jackson County",41029,12.5,5359,"933 of 3139"
"Sherman County",41055,12.5,32,"933 of 3139"
"Clatsop County",41007,12.9,869,"996 of 3139"
"Benton County",41003,13.0,2241,"1003 of 3139"
"Lake County",41037,13.0,197,"1003 of 3139"
"Clackamas County",41005,13.1,5412,"1014 of 3139"
"Klamath County",41035,13.2,2018,"1030 of 3139"
"Umatilla County",41059,13.2,2025,"1030 of 3139"
"Lincoln County",41041,13.4,1304,"1067 of 3139"
"Multnomah County",41051,13.6,19160,"1094 of 3139"
"Marion County",41047,13.7,9549,"1101 of 3139"
"Wheeler County",41069,13.7,39,"1101 of 3139"
"Polk County",41053,14.3,1976,"1171 of 3139"
"Wasco County",41065,14.6,725,"1209 of 3139"
"Tillamook County",41057,14.9,692,"1239 of 3139"
"Jefferson County",41031,15.1,819,"1259 of 3139"
"Washington County",41067,15.1,10691,"1259 of 3139"
"Hood River County",41027,16.5,641,"1433 of 3139"
"Morrow County",41049,17.8,391,"1623 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
