------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '41', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=41&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oregon by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Oregon",41000,1.1,45332,"12 of 52"
"Wallowa County",41063,0.2,13,"2215 of 3141"
"Deschutes County",41017,0.5,809,"1238 of 3141"
"Benton County",41003,0.5,457,"1128 of 3141"
"Tillamook County",41057,0.6,146,"1065 of 3141"
"Washington County",41067,0.6,3467,"1011 of 3141"
"Clatsop County",41007,0.6,238,"984 of 3141"
"Hood River County",41027,0.7,159,"900 of 3141"
"Clackamas County",41005,0.7,2989,"842 of 3141"
"Sherman County",41055,0.8,13,"805 of 3141"
"Jackson County",41029,0.9,1822,"755 of 3141"
"Multnomah County",41051,0.9,6871,"748 of 3141"
"Marion County",41047,0.9,2889,"745 of 3141"
"Crook County",41013,0.9,204,"705 of 3141"
"Grant County",41023,1.0,72,"667 of 3141"
"Linn County",41043,1.0,1269,"639 of 3141"
"Lane County",41039,1.1,3822,"633 of 3141"
"Wheeler County",41069,1.1,15,"627 of 3141"
"Malheur County",41045,1.1,325,"622 of 3141"
"Columbia County",41009,1.1,551,"605 of 3141"
"Baker County",41001,1.1,177,"598 of 3141"
"Union County",41061,1.1,288,"593 of 3141"
"Yamhill County",41071,1.2,1208,"567 of 3141"
"Douglas County",41019,1.2,1304,"553 of 3141"
"Josephine County",41033,1.4,1225,"483 of 3141"
"Polk County",41053,1.6,1237,"450 of 3141"
"Morrow County",41049,1.8,199,"419 of 3141"
"Lake County",41037,2.1,167,"369 of 3141"
"Coos County",41011,2.2,1394,"360 of 3141"
"Curry County",41015,2.4,528,"341 of 3141"
"Umatilla County",41059,3.1,2396,"281 of 3141"
"Lincoln County",41041,3.2,1503,"278 of 3141"
"Harney County",41025,3.2,232,"275 of 3141"
"Klamath County",41035,3.4,2246,"266 of 3141"
"Wasco County",41065,3.9,1002,"239 of 3141"
"Gilliam County",41021,5.2,99,"200 of 3141"
"Jefferson County",41031,17.6,3996,"65 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
